# mu values:
1.414214
# num_x_vals
36
# x, apfel++, lhapdf, ratio
0.0001, 15.7288, 15.68, 1.00312
0.0002, 12.8299, 12.7969, 1.00258
0.0003, 11.3501, 11.3239, 1.00231
0.0004, 10.3877, 10.3657, 1.00211
0.0005, 9.68825, 9.66911, 1.00198
0.0006, 9.146, 9.12875, 1.00189
0.0007, 8.70692, 8.6913, 1.0018
0.0008, 8.34067, 8.32625, 1.00173
0.0009, 8.02814, 8.01472, 1.00167
0.001, 7.75659, 7.74406, 1.00162
0.002, 6.14937, 6.14122, 1.00133
0.003, 5.34073, 5.33434, 1.0012
0.004, 4.81972, 4.81447, 1.00109
0.005, 4.44374, 4.43924, 1.00101
0.006, 4.15386, 4.1498, 1.00098
0.007, 3.92017, 3.9166, 1.00091
0.008, 3.72608, 3.72282, 1.00087
0.009, 3.56103, 3.55817, 1.0008
0.01, 3.41793, 3.41527, 1.00078
0.02, 2.57977, 2.5785, 1.00049
0.03, 2.16358, 2.16297, 1.00028
0.04, 1.89726, 1.89709, 1.00009
0.05, 1.70585, 1.70598, 0.999922
0.06, 1.55863, 1.55891, 0.999819
0.07, 1.44009, 1.44056, 0.999674
0.08, 1.34172, 1.34229, 0.999575
0.09, 1.25797, 1.25868, 0.999436
0.1, 1.18558, 1.18626, 0.999426
0.2, 0.759365, 0.759445, 0.999895
0.3, 0.543624, 0.543636, 0.999977
0.4, 0.402046, 0.402124, 0.999806
0.5, 0.296514, 0.296805, 0.999019
0.6, 0.211411, 0.211855, 0.997903
0.7, 0.139183, 0.139799, 0.995593
0.8, 0.0774693, 0.0779978, 0.993224
0.9, 0.0281985, 0.0283648, 0.994137
0.0001, 0.257471, 0.257165, 1.00119
0.0002, 0.217189, 0.216975, 1.00099
0.0003, 0.196628, 0.19644, 1.00096
0.0004, 0.183326, 0.18315, 1.00096
0.0005, 0.173729, 0.173558, 1.00098
0.0006, 0.166351, 0.166179, 1.00103
0.0007, 0.16043, 0.16026, 1.00106
0.0008, 0.15554, 0.155368, 1.0011
0.0009, 0.151407, 0.151234, 1.00114
0.001, 0.147853, 0.14768, 1.00117
0.002, 0.127863, 0.127674, 1.00148
0.003, 0.118921, 0.118721, 1.00169
0.004, 0.113833, 0.113629, 1.0018
0.005, 0.110625, 0.110416, 1.00189
0.006, 0.108492, 0.10828, 1.00195
0.007, 0.107036, 0.106823, 1.00199
0.008, 0.106038, 0.105823, 1.00203
0.009, 0.105366, 0.105155, 1.00201
0.01, 0.104922, 0.104709, 1.00204
0.02, 0.106027, 0.105809, 1.00205
0.03, 0.109978, 0.109753, 1.00205
0.04, 0.114263, 0.114026, 1.00208
0.05, 0.118402, 0.11815, 1.00213
0.06, 0.122276, 0.122008, 1.00219
0.07, 0.125864, 0.125581, 1.00225
0.08, 0.129178, 0.128881, 1.00231
0.09, 0.132233, 0.131923, 1.00235
0.1, 0.135053, 0.134729, 1.0024
0.2, 0.153638, 0.153289, 1.00228
0.3, 0.161085, 0.160898, 1.00116
0.4, 0.161841, 0.161921, 0.999507
0.5, 0.157887, 0.158242, 0.997755
0.6, 0.150191, 0.150713, 0.996537
0.7, 0.139005, 0.13952, 0.996304
0.8, 0.123753, 0.124003, 0.997981
0.9, 0.101444, 0.101153, 1.00288
0.0001, 0.255712, 0.255709, 1.00001
0.0002, 0.214974, 0.214619, 1.00165
0.0003, 0.194572, 0.1941, 1.00243
0.0004, 0.181545, 0.18103, 1.00285
0.0005, 0.172247, 0.171715, 1.0031
0.0006, 0.165162, 0.164625, 1.00326
0.0007, 0.159521, 0.15899, 1.00334
0.0008, 0.154895, 0.154372, 1.00339
0.0009, 0.151012, 0.1505, 1.0034
0.001, 0.147693, 0.147195, 1.00338
0.002, 0.129482, 0.129124, 1.00277
0.003, 0.121727, 0.121484, 1.002
0.004, 0.11753, 0.11738, 1.00128
0.005, 0.115036, 0.114961, 1.00066
0.006, 0.113502, 0.113488, 1.00013
0.007, 0.112565, 0.112602, 0.999666
0.008, 0.112026, 0.112106, 0.999283
0.009, 0.111769, 0.11189, 0.998913
0.01, 0.111703, 0.111855, 0.998638
0.02, 0.115625, 0.115944, 0.997251
