#     x,    uval,    dval,       u,       d,       s,       c,     glue, singlet
0.00010, 0.00000, 0.00000, 0.91879, 0.92279, 0.92133, 0.49695, 21.34250, 6.51972
0.00020, 0.00000, 0.00000, 0.75588, 0.75695, 0.75378, 0.39797, 17.30257, 5.32915
0.00030, 0.00000, 0.00000, 0.67238, 0.67216, 0.66769, 0.34792, 15.24815, 4.72032
0.00040, 0.00000, 0.00000, 0.61831, 0.61735, 0.61179, 0.31578, 13.92324, 4.32645
0.00050, 0.00000, 0.00000, 0.57925, 0.57778, 0.57130, 0.29269, 12.96839, 4.04205
0.00060, 0.00000, 0.00000, 0.54832, 0.54647, 0.53915, 0.27448, 12.21321, 3.81686
0.00070, 0.00000, 0.00000, 0.52375, 0.52161, 0.51354, 0.26007, 11.61374, 3.63794
0.00080, 0.00000, 0.00000, 0.50312, 0.50073, 0.49198, 0.24799, 11.11038, 3.48763
0.00090, 0.00000, 0.00000, 0.48575, 0.48316, 0.47378, 0.23784, 10.68668, 3.36107
0.00100, 0.00000, 0.00000, 0.47078, 0.46801, 0.45803, 0.22911, 10.32106, 3.25185
0.00200, 0.00000, 0.00000, 0.38160, 0.37759, 0.36305, 0.17724,  8.13221, 2.59895
0.00300, 0.00000, 0.00000, 0.33773, 0.33277, 0.31496, 0.15170,  7.03612, 2.27429
0.00400, 0.00000, 0.00000, 0.31018, 0.30433, 0.28386, 0.13554,  6.33211, 2.06781
0.00500, 0.00000, 0.00000, 0.29065, 0.28393, 0.26119, 0.12397,  5.82076, 1.91948
0.00600, 0.00000, 0.00000, 0.27632, 0.26873, 0.24400, 0.11537,  5.43424, 1.80884
0.00700, 0.00000, 0.00000, 0.26501, 0.25654, 0.23001, 0.10849,  5.12021, 1.72008
0.00800, 0.00000, 0.00000, 0.25589, 0.24655, 0.21837, 0.10287,  4.85925, 1.64734
0.00900, 0.00000, 0.00000, 0.24835, 0.23814, 0.20843, 0.09814,  4.63662, 1.58614
0.01000, 0.00000, 0.00000, 0.24194, 0.23086, 0.19971, 0.09406,  4.44123, 1.53314
0.02000, 0.00000, 0.00000, 0.21149, 0.19190, 0.14987, 0.07266,  3.31828, 1.25184
0.03000, 0.00000, 0.00000, 0.20321, 0.17553, 0.12584, 0.06429,  2.76307, 1.13774
0.04000, 0.00000, 0.00000, 0.20199, 0.16666, 0.11092, 0.06029,  2.40595, 1.07973
0.05000, 0.00000, 0.00000, 0.20404, 0.16148, 0.10079, 0.05846,  2.15235, 1.04955
0.06000, 0.00000, 0.00000, 0.20755, 0.15812, 0.09317, 0.05769,  1.95292, 1.03306
0.07000, 0.00000, 0.00000, 0.21193, 0.15597, 0.08735, 0.05763,  1.79249, 1.02578
0.08000, 0.00000, 0.00000, 0.21679, 0.15465, 0.08285, 0.05803,  1.66043, 1.02465
0.09000, 0.00000, 0.00000, 0.22187, 0.15385, 0.07927, 0.05874,  1.54875, 1.02745
0.10000, 0.00000, 0.00000, 0.22701, 0.15338, 0.07634, 0.05962,  1.45141, 1.03272
0.20000, 0.00000, 0.00000, 0.27424, 0.15504, 0.06448, 0.07193,  0.87243, 1.13143
0.30000, 0.00000, 0.00000, 0.31447, 0.15827, 0.06535, 0.08680,  0.58192, 1.25007
0.40000, 0.00000, 0.00000, 0.35711, 0.16162, 0.07261, 0.10689,  0.40177, 1.39725
0.50000, 0.00000, 0.00000, 0.40714, 0.16538, 0.08471, 0.13506,  0.27647, 1.58602
0.60000, 0.00000, 0.00000, 0.45995, 0.16815, 0.09962, 0.17245,  0.18522, 1.80242
0.70000, 0.00000, 0.00000, 0.49852, 0.16599, 0.11250, 0.21620,  0.11649, 1.98884
0.80000, 0.00000, 0.00000, 0.49254, 0.15193, 0.11509, 0.25613,  0.06445, 2.03327
0.90000, 0.00000, 0.00000, 0.38967, 0.11296, 0.09337, 0.25768,  0.02622, 1.70691
