#     x,    uval,    dval,       u,       d,       s,       c,     glue, singlet
0.00010, 0.00000, 0.00000, 0.89393, 0.89528, 0.88921, 0.62556, 42.09223, 6.60796
0.00020, 0.00000, 0.00000, 0.71106, 0.71315, 0.70666, 0.48644, 32.35194, 5.23460
0.00030, 0.00000, 0.00000, 0.62083, 0.62275, 0.61554, 0.41793, 27.60951, 4.55410
0.00040, 0.00000, 0.00000, 0.56388, 0.56544, 0.55750, 0.37468, 24.63630, 4.12299
0.00050, 0.00000, 0.00000, 0.52355, 0.52471, 0.51604, 0.34401, 22.53859, 3.81662
0.00060, 0.00000, 0.00000, 0.49208, 0.49284, 0.48348, 0.32003, 20.90483, 3.57686
0.00070, 0.00000, 0.00000, 0.46746, 0.46783, 0.45780, 0.30122, 19.62769, 3.38862
0.00080, 0.00000, 0.00000, 0.44702, 0.44702, 0.43635, 0.28557, 18.56777, 3.23191
0.00090, 0.00000, 0.00000, 0.43002, 0.42967, 0.41838, 0.27252, 17.68584, 3.10117
0.00100, 0.00000, 0.00000, 0.41551, 0.41482, 0.40295, 0.26134, 16.93222, 2.98923
0.00200, 0.00000, 0.00000, 0.33212, 0.32876, 0.31194, 0.19622, 12.56604, 2.33808
0.00300, 0.00000, 0.00000, 0.29346, 0.28817, 0.26747, 0.16503, 10.48662, 2.02826
0.00400, 0.00000, 0.00000, 0.27022, 0.26337, 0.23939, 0.14564,  9.19370, 1.83723
0.00500, 0.00000, 0.00000, 0.25432, 0.24613, 0.21927, 0.13193,  8.27680, 1.70330
0.00600, 0.00000, 0.00000, 0.24305, 0.23368, 0.20426, 0.12185,  7.59828, 1.60567
0.00700, 0.00000, 0.00000, 0.23440, 0.22396, 0.19219, 0.11384,  7.05568, 1.52877
0.00800, 0.00000, 0.00000, 0.22763, 0.21619, 0.18226, 0.10733,  6.61123, 1.46681
0.00900, 0.00000, 0.00000, 0.22218, 0.20981, 0.17387, 0.10190,  6.23678, 1.41551
0.01000, 0.00000, 0.00000, 0.21767, 0.20440, 0.16657, 0.09722,  5.91159, 1.37171
0.02000, 0.00000, 0.00000, 0.19916, 0.17846, 0.12622, 0.07305,  4.12109, 1.15380
0.03000, 0.00000, 0.00000, 0.19696, 0.17002, 0.10772, 0.06374,  3.29038, 1.07689
0.04000, 0.00000, 0.00000, 0.19937, 0.16672, 0.09660, 0.05929,  2.77820, 1.04395
0.05000, 0.00000, 0.00000, 0.20367, 0.16566, 0.08921, 0.05722,  2.42692, 1.03152
0.06000, 0.00000, 0.00000, 0.20870, 0.16555, 0.08373, 0.05632,  2.15771, 1.02860
0.07000, 0.00000, 0.00000, 0.21408, 0.16600, 0.07959, 0.05619,  1.94641, 1.03172
0.08000, 0.00000, 0.00000, 0.21957, 0.16674, 0.07640, 0.05657,  1.77642, 1.03857
0.09000, 0.00000, 0.00000, 0.22502, 0.16762, 0.07387, 0.05728,  1.63554, 1.04758
0.10000, 0.00000, 0.00000, 0.23038, 0.16854, 0.07178, 0.05817,  1.51484, 1.05775
0.20000, 0.00000, 0.00000, 0.27512, 0.17523, 0.06230, 0.07005,  0.84169, 1.16540
0.30000, 0.00000, 0.00000, 0.30550, 0.17558, 0.06022, 0.08150,  0.53524, 1.24559
0.40000, 0.00000, 0.00000, 0.32677, 0.17132, 0.06133, 0.09359,  0.35580, 1.30602
0.50000, 0.00000, 0.00000, 0.34435, 0.16452, 0.06525, 0.10955,  0.23507, 1.36735
0.60000, 0.00000, 0.00000, 0.36256, 0.15644, 0.07226, 0.13262,  0.14943, 1.44776
0.70000, 0.00000, 0.00000, 0.38497, 0.14768, 0.08218, 0.16505,  0.08696, 1.55974
0.80000, 0.00000, 0.00000, 0.41205, 0.13762, 0.09370, 0.20715,  0.04219, 1.70105
0.90000, 0.00000, 0.00000, 0.42675, 0.12189, 0.10144, 0.25265,  0.01299, 1.80546
