# mu value:
1.300000
# num_x_vals
36
# x, INITIALPDFS_SAL5, SAL, ratio
0.0001, 2.99918, 4.936, 0.607614
0.0002, 2.48162, 3.3053, 0.750801
0.0003, 2.22108, 2.61153, 0.850488
0.0004, 2.05276, 2.20805, 0.929671
0.0005, 1.93092, 1.93776, 0.996474
0.0006, 1.83669, 1.74119, 1.05484
0.0007, 1.76049, 1.59013, 1.10713
0.0008, 1.69699, 1.46966, 1.15469
0.0009, 1.64283, 1.37075, 1.19849
0.001, 1.59579, 1.2877, 1.23925
0.002, 1.31684, 0.849915, 1.54938
0.003, 1.1754, 0.663341, 1.77194
0.004, 1.08339, 0.554636, 1.95333
0.005, 1.01632, 0.481685, 2.10993
0.006, 0.964098, 0.428543, 2.24971
0.007, 0.921592, 0.387637, 2.37746
0.008, 0.885938, 0.354963, 2.49586
0.009, 0.855328, 0.3281, 2.60691
0.01, 0.82857, 0.305514, 2.71206
0.02, 0.66522, 0.18585, 3.57933
0.03, 0.577512, 0.134498, 4.29384
0.04, 0.517564, 0.104526, 4.95154
0.05, 0.47193, 0.0844523, 5.58812
0.06, 0.435003, 0.0699025, 6.22299
0.07, 0.40391, 0.0587852, 6.87096
0.08, 0.377031, 0.0499854, 7.54283
0.09, 0.35333, 0.0428906, 8.23794
0.1, 0.332121, 0.0369497, 8.98846
0.2, 0.193064, 0.00727105, 26.5524
0.3, 0.115792, -0.00249263, -46.4538
0.4, 0.0674136, -0.00653645, -10.3135
0.5, 0.036708, -0.00817786, -4.48871
0.6, 0.0178824, -0.00872019, -2.05069
0.7, 0.00723341, -0.00829121, -0.87242
0.8, 0.00206655, -0.00708242, -0.291786
0.9, 0.000250149, -0.00481583, -0.0519431
0.0001, 0.00213471, 0.263074, 0.00811448
0.0002, 0.00326134, 0.239443, 0.0136205
0.0003, 0.00417899, 0.226175, 0.0184768
0.0004, 0.0049828, 0.217061, 0.0229558
0.0005, 0.00571129, 0.210179, 0.0271735
0.0006, 0.00638486, 0.204683, 0.0311938
0.0007, 0.00701598, 0.200127, 0.0350576
