# mu values:
1.414214
# num_x_vals
36
# x, apfel++, lhapdf, ratio
0.0001, 7.05731, 7.05731, 1
0.0002, 6.09395, 6.09394, 1
0.0003, 5.58045, 5.58039, 1.00001
0.0004, 5.23696, 5.23695, 1
0.0005, 4.982, 4.98199, 1
0.0006, 4.78089, 4.78085, 1.00001
0.0007, 4.61568, 4.61567, 1
0.0008, 4.47613, 4.47611, 1
0.0009, 4.35571, 4.35568, 1
0.001, 4.25003, 4.25003, 1
0.002, 3.60151, 3.60151, 1
0.003, 3.25716, 3.25713, 1.00001
0.004, 3.02719, 3.02718, 1
0.005, 2.85658, 2.85658, 1
0.006, 2.72202, 2.72198, 1.00001
0.007, 2.61142, 2.61141, 1
0.008, 2.51796, 2.51794, 1.00001
0.009, 2.43727, 2.43727, 1
0.01, 2.36634, 2.36634, 1
0.02, 1.92882, 1.92881, 1
0.03, 1.69341, 1.69339, 1.00001
0.04, 1.53409, 1.53409, 1
0.05, 1.41439, 1.41439, 1
0.06, 1.31883, 1.31881, 1.00002
0.07, 1.23939, 1.23939, 1
0.08, 1.17154, 1.17153, 1.00001
0.09, 1.11233, 1.11233, 1.00001
0.1, 1.05984, 1.05984, 1
0.2, 0.723278, 0.723278, 1
0.3, 0.531537, 0.531537, 1
0.4, 0.397423, 0.397422, 1
0.5, 0.294514, 0.294514, 1
0.6, 0.211019, 0.211019, 1
0.7, 0.14078, 0.14078, 1
0.8, 0.080988, 0.0809877, 1
0.9, 0.0321836, 0.0321835, 1
0.0001, 0.417463, 0.417463, 1
0.0002, 0.35352, 0.353519, 1
0.0003, 0.320218, 0.320214, 1.00001
0.0004, 0.298312, 0.298312, 1
0.0005, 0.282274, 0.282274, 1
0.0006, 0.269774, 0.269771, 1.00001
0.0007, 0.259613, 0.259612, 1
0.0008, 0.251113, 0.251112, 1
0.0009, 0.243844, 0.243843, 1.00001
0.001, 0.237519, 0.237519, 1
0.002, 0.200016, 0.200016, 1
0.003, 0.181283, 0.18128, 1.00001
0.004, 0.169387, 0.169387, 1
0.005, 0.160956, 0.160956, 1
0.006, 0.154586, 0.154584, 1.00001
0.007, 0.14956, 0.14956, 1
0.008, 0.14548, 0.145478, 1.00001
0.009, 0.142095, 0.142096, 0.999995
0.01, 0.139227, 0.139227, 1
0.02, 0.124478, 0.124477, 1
0.03, 0.119318, 0.119318, 1
0.04, 0.117316, 0.117316, 1
0.05, 0.116753, 0.116753, 1
0.06, 0.116948, 0.116945, 1.00002
0.07, 0.117567, 0.117567, 1
0.08, 0.118443, 0.118443, 1
0.09, 0.119464, 0.119464, 1
0.1, 0.12057, 0.12057, 1
0.2, 0.131311, 0.131311, 1
0.3, 0.138626, 0.138626, 1
0.4, 0.143531, 0.143531, 1
0.5, 0.147159, 0.147159, 1
0.6, 0.148793, 0.148793, 1
0.7, 0.144795, 0.144795, 1
0.8, 0.127654, 0.127656, 0.999984
0.9, 0.0851197, 0.0851198, 1
0.0001, 0.41254, 0.41254, 1
0.0002, 0.351514, 0.351513, 1
0.0003, 0.319465, 0.319462, 1.00001
0.0004, 0.298275, 0.298274, 1
0.0005, 0.282702, 0.282702, 1
0.0006, 0.270529, 0.270526, 1.00001
0.0007, 0.260612, 0.260611, 1
0.0008, 0.252301, 0.2523, 1
0.0009, 0.245182, 0.245181, 1.00001
0.001, 0.23898, 0.23898, 1
0.002, 0.202098, 0.202098, 1
0.003, 0.183674, 0.183672, 1.00001
0.004, 0.17204, 0.17204, 1
0.005, 0.163868, 0.163868, 1
0.006, 0.157764, 0.157763, 1.00001
0.007, 0.153018, 0.153017, 1
0.008, 0.149225, 0.149224, 1.00001
0.009, 0.146142, 0.146143, 0.999992
0.01, 0.143579, 0.143579, 1
0.02, 0.13218, 0.13218, 1
0.03, 0.130575, 0.130576, 0.999995
0.04, 0.132153, 0.132153, 1
0.05, 0.135128, 0.135127, 1
0.06, 0.138788, 0.138784, 1.00003
0.07, 0.142785, 0.142785, 0.999999
