# mu values:
1.414214
# num_x_vals
36
# x, GRVEvolved, GRVExact, SAL, SAL3Evolved, SAL5Evolved
0.0001, 7.15671, 7.05731, 3.89112, 1.55987, 4.36355
0.0002, 6.17241, 6.09394, 3.18852, 1.36337, 3.57215
0.0003, 5.6482, 5.58039, 2.83756, 1.25976, 3.17691
0.0004, 5.29775, 5.23695, 2.61201, 1.19081, 2.92285
0.0005, 5.03772, 4.98199, 2.44931, 1.13977, 2.73962
0.0006, 4.83269, 4.78085, 2.32381, 1.09957, 2.59832
0.0007, 4.6643, 4.61567, 2.22262, 1.06657, 2.48435
0.0008, 4.5221, 4.47611, 2.13845, 1.03871, 2.38957
0.0009, 4.39942, 4.35568, 2.06678, 1.01467, 2.30888
0.001, 4.29179, 4.25003, 2.00465, 0.99357, 2.2389
0.002, 3.63174, 3.60151, 1.63824, 0.863649, 1.82636
0.003, 3.28167, 3.25713, 1.45398, 0.793975, 1.61893
0.004, 3.04808, 3.02718, 1.33478, 0.746933, 1.48473
0.005, 2.87489, 2.85658, 1.24825, 0.711653, 1.38732
0.006, 2.73837, 2.72198, 1.18108, 0.683532, 1.31172
0.007, 2.62622, 2.61141, 1.12658, 0.660186, 1.25037
0.008, 2.53149, 2.51794, 1.08097, 0.640261, 1.19904
0.009, 2.44972, 2.43727, 1.0419, 0.62289, 1.15508
0.01, 2.3779, 2.36634, 1.00782, 0.607495, 1.11672
0.02, 1.93543, 1.92881, 0.801313, 0.508669, 0.884504
0.03, 1.6979, 1.69339, 0.691712, 0.451658, 0.761483
0.04, 1.53741, 1.53409, 0.617424, 0.410908, 0.67825
0.05, 1.41697, 1.41439, 0.56123, 0.378879, 0.615432
0.06, 1.3209, 1.31881, 0.515988, 0.35232, 0.564979
0.07, 1.24111, 1.23939, 0.478079, 0.32952, 0.52278
0.08, 1.17299, 1.17153, 0.445429, 0.309492, 0.486521
0.09, 1.11356, 1.11233, 0.416741, 0.291589, 0.45471
0.1, 1.06094, 1.05984, 0.39115, 0.275399, 0.426419
0.2, 0.723915, 0.723278, 0.225181, 0.165335, 0.244517
0.3, 0.532038, 0.531537, 0.134289, 0.101586, 0.146254
0.4, 0.397947, 0.397422, 0.0778683, 0.0609411, 0.0859763
