# mu values:
1.300000
# num_x_vals
36
# x, apfel++, lhapdf, ratio
0.0001, 6.08373, 6.08373, 1
0.0002, 5.29523, 5.29522, 1
0.0003, 4.87238, 4.87233, 1.00001
0.0004, 4.58843, 4.58842, 1
0.0005, 4.37704, 4.37704, 1
0.0006, 4.20992, 4.20988, 1.00001
0.0007, 4.07235, 4.07234, 1
0.0008, 3.95595, 3.95593, 1
0.0009, 3.85535, 3.85534, 1
0.001, 3.76696, 3.76696, 1
0.002, 3.22184, 3.22183, 1
0.003, 2.93032, 2.9303, 1.00001
0.004, 2.73473, 2.73472, 1
0.005, 2.58911, 2.58911, 1
0.006, 2.47392, 2.47389, 1.00001
0.007, 2.37901, 2.379, 1
0.008, 2.29863, 2.29862, 1.00001
0.009, 2.2291, 2.2291, 1
0.01, 2.16789, 2.16789, 1
0.02, 1.78779, 1.78778, 1
0.03, 1.58126, 1.58124, 1.00001
0.04, 1.44054, 1.44053, 1
0.05, 1.33423, 1.33423, 1
0.06, 1.24897, 1.24895, 1.00002
0.07, 1.17781, 1.17781, 1
0.08, 1.11681, 1.1168, 1.00001
0.09, 1.06341, 1.0634, 1.00001
0.1, 1.01592, 1.01592, 1
0.2, 0.707701, 0.707701, 1
0.3, 0.528502, 0.528502, 1
0.4, 0.401007, 0.401007, 1
0.5, 0.301506, 0.301506, 1
0.6, 0.219253, 0.219253, 1
0.7, 0.148553, 0.148553, 1
0.8, 0.0868681, 0.0868679, 1
0.9, 0.0351288, 0.0351288, 1
0.0001, 0.372379, 0.372379, 1
0.0002, 0.31713, 0.317129, 1
0.0003, 0.288249, 0.288246, 1.00001
0.0004, 0.26921, 0.269209, 1
0.0005, 0.255247, 0.255247, 1
0.0006, 0.244352, 0.244349, 1.00001
0.0007, 0.235487, 0.235486, 1
0.0008, 0.228066, 0.228065, 1
0.0009, 0.221715, 0.221714, 1.00001
0.001, 0.216186, 0.216186, 1
0.002, 0.183352, 0.183351, 1
0.003, 0.166929, 0.166927, 1.00001
0.004, 0.156505, 0.156504, 1
0.005, 0.149124, 0.149124, 1
0.006, 0.143555, 0.143554, 1.00001
0.007, 0.139171, 0.139171, 1
0.008, 0.135619, 0.135618, 1.00001
0.009, 0.132681, 0.132682, 0.999995
0.01, 0.130197, 0.130197, 1
0.02, 0.11765, 0.11765, 1
0.03, 0.113547, 0.113547, 0.999999
0.04, 0.112211, 0.11221, 1
0.05, 0.112123, 0.112122, 1
0.06, 0.112682, 0.11268, 1.00002
0.07, 0.113597, 0.113597, 1
0.08, 0.11472, 0.114719, 1
0.09, 0.115952, 0.115952, 1
0.1, 0.117244, 0.117244, 1
0.2, 0.129105, 0.129105, 1
