# mu values:
1.414214
# num_x_vals
36
# x, apfel++, SAL, ratio
0.0001, 1.55987, 1.2397, 1.25827
0.0002, 1.36337, 1.08071, 1.26156
0.0003, 1.25976, 0.997206, 1.26329
0.0004, 1.19081, 0.941822, 1.26437
0.0005, 1.13977, 0.900929, 1.2651
0.0006, 1.09957, 0.868792, 1.26563
0.0007, 1.06657, 0.842476, 1.266
0.0008, 1.03871, 0.820293, 1.26627
0.0009, 1.01467, 0.801184, 1.26647
0.001, 0.99357, 0.784442, 1.2666
0.002, 0.863649, 0.68199, 1.26637
0.003, 0.793975, 0.627595, 1.26511
0.004, 0.746933, 0.591134, 1.26356
0.005, 0.711653, 0.563936, 1.26194
0.006, 0.683532, 0.542344, 1.26033
0.007, 0.660186, 0.524488, 1.25872
0.008, 0.640261, 0.50929, 1.25716
0.009, 0.62289, 0.496071, 1.25565
0.01, 0.607495, 0.484382, 1.25417
0.02, 0.508669, 0.409715, 1.24152
0.03, 0.451658, 0.366713, 1.23164
0.04, 0.410908, 0.335846, 1.2235
0.05, 0.378879, 0.311422, 1.21661
0.06, 0.35232, 0.291016, 1.21065
0.07, 0.32952, 0.273373, 1.20539
0.08, 0.309492, 0.257758, 1.20071
0.09, 0.291589, 0.243705, 1.19648
0.1, 0.275399, 0.230902, 1.19271
0.2, 0.165335, 0.141414, 1.16916
0.3, 0.101586, 0.0874428, 1.16175
0.4, 0.0609411, 0.0520233, 1.17142
0.5, 0.03495, 0.0288076, 1.21322
0.6, 0.018996, 0.0142276, 1.33515
0.7, 0.00994645, 0.00582221, 1.70836
0.8, 0.00532109, 0.00168018, 3.16698
0.9, 0.00291547, 0.000205191, 14.2085
0.0001, 0.0519987, 0.0378837, 1.37259
0.0002, 0.0580617, 0.0457415, 1.26934
0.0003, 0.0624313, 0.0510713, 1.22243
0.0004, 0.0659389, 0.0552237, 1.19403
0.0005, 0.0689087, 0.0586743, 1.17443
0.0006, 0.0715051, 0.0616521, 1.15982
0.0007, 0.0738253, 0.0642863, 1.14838
0.0008, 0.0759305, 0.0666581, 1.1391
0.0009, 0.0778635, 0.0688219, 1.13138
0.001, 0.0796547, 0.0708162, 1.12481
0.002, 0.0930011, 0.0854278, 1.08865
0.003, 0.10218, 0.0952956, 1.07224
0.004, 0.109367, 0.102951, 1.06233
0.005, 0.115348, 0.109285, 1.05548
0.006, 0.120507, 0.114727, 1.05038
0.007, 0.125066, 0.119521, 1.0464
0.008, 0.129161, 0.123818, 1.04316
0.009, 0.132888, 0.127721, 1.04046
0.01, 0.136314, 0.131303, 1.03816
0.02, 0.160945, 0.156952, 1.02544
0.03, 0.176857, 0.173468, 1.01953
0.04, 0.1886, 0.185657, 1.01585
0.05, 0.197801, 0.195223, 1.01321
0.06, 0.205255, 0.202992, 1.01115
0.07, 0.211419, 0.209434, 1.00948
0.08, 0.216577, 0.214848, 1.00805
0.09, 0.220926, 0.219433, 1.00681
0.1, 0.224605, 0.223332, 1.0057
0.2, 0.239255, 0.239718, 0.99807
0.3, 0.232591, 0.234217, 0.993057
0.4, 0.21487, 0.217102, 0.989721
0.5, 0.190041, 0.192242, 0.98855
0.6, 0.160139, 0.161615, 0.990867
0.7, 0.126332, 0.126403, 0.99944
0.8, 0.089206, 0.0873863, 1.02082
0.9, 0.0484504, 0.045116, 1.07391
0.0001, 0.0520008, 0.0378837, 1.37264
0.0002, 0.0580662, 0.0457415, 1.26944
0.0003, 0.0624382, 0.0510713, 1.22257
0.0004, 0.0659483, 0.0552237, 1.1942
0.0005, 0.0689206, 0.0586743, 1.17463
0.0006, 0.0715196, 0.0616521, 1.16005
0.0007, 0.0738423, 0.0642863, 1.14865
0.0008, 0.0759502, 0.0666581, 1.1394
0.0009, 0.0778858, 0.0688219, 1.1317
0.001, 0.0796796, 0.0708162, 1.12516
0.002, 0.0930529, 0.0854278, 1.08926
0.003, 0.10226, 0.0952956, 1.07308
0.004, 0.109475, 0.102951, 1.06337
0.005, 0.115484, 0.109285, 1.05672
0.006, 0.120671, 0.114727, 1.05181
0.007, 0.125257, 0.119521, 1.048
0.008, 0.129381, 0.123818, 1.04493
0.009, 0.133136, 0.127721, 1.0424
0.01, 0.13659, 0.131303, 1.04027
0.02, 0.161497, 0.156952, 1.02896
0.03, 0.177672, 0.173468, 1.02423
0.04, 0.189665, 0.185657, 1.02159
0.05, 0.199104, 0.195223, 1.01988
0.06, 0.206783, 0.202992, 1.01868
0.07, 0.21316, 0.209434, 1.01779
0.08, 0.21852, 0.214848, 1.01709
0.09, 0.223061, 0.219433, 1.01653
0.1, 0.226922, 0.223332, 1.01608
0.2, 0.243051, 0.239718, 1.01391
0.3, 0.237705, 0.234217, 1.01489
0.4, 0.221683, 0.217102, 1.0211
0.5, 0.199294, 0.192242, 1.03668
0.6, 0.172714, 0.161615, 1.06867
0.7, 0.142908, 0.126403, 1.13058
0.8, 0.109531, 0.0873863, 1.25341
0.9, 0.0689114, 0.045116, 1.52743
0.0001, 0.0251604, 0.0113651, 2.21383
0.0002, 0.0256606, 0.0137225, 1.86997
0.0003, 0.0262585, 0.0153214, 1.71384
0.0004, 0.0268281, 0.0165671, 1.61936
0.0005, 0.0273571, 0.0176023, 1.55418
0.0006, 0.027848, 0.0184956, 1.50565
0.0007, 0.0283056, 0.0192859, 1.46768
0.0008, 0.0287343, 0.0199974, 1.4369
0.0009, 0.029138, 0.0206466, 1.41128
0.001, 0.0295199, 0.0212449, 1.38951
0.002, 0.0325497, 0.0256283, 1.27007
0.003, 0.0347711, 0.0285887, 1.21625
0.004, 0.0365661, 0.0308852, 1.18393
0.005, 0.03809, 0.0327854, 1.1618
0.006, 0.0394235, 0.0344181, 1.14543
0.007, 0.0406147, 0.0358562, 1.13271
0.008, 0.0416943, 0.0371454, 1.12246
0.009, 0.0426839, 0.0383163, 1.11399
0.01, 0.043599, 0.0393908, 1.10683
0.02, 0.0503141, 0.0470855, 1.06857
0.03, 0.0547565, 0.0520405, 1.05219
0.04, 0.0580793, 0.0556972, 1.04277
0.05, 0.0607076, 0.0585669, 1.03655
0.06, 0.062852, 0.0608975, 1.03209
0.07, 0.0646356, 0.0628303, 1.02873
0.08, 0.0661358, 0.0644543, 1.02609
0.09, 0.067406, 0.0658298, 1.02394
0.1, 0.0684852, 0.0669997, 1.02217
0.2, 0.0728756, 0.0719154, 1.01335
0.3, 0.0710593, 0.070265, 1.0113
0.4, 0.0660873, 0.0651305, 1.01469
0.5, 0.0591855, 0.0576726, 1.02623
0.6, 0.0509807, 0.0484845, 1.05149
0.7, 0.041769, 0.0379209, 1.10148
0.8, 0.0315047, 0.0262159, 1.20174
0.9, 0.0193094, 0.0135348, 1.42664
0.0001, 0.0136604, 0, inf
0.0002, 0.0117789, 0, inf
0.0003, 0.0107627, 0, inf
0.0004, 0.0100757, 0, inf
0.0005, 0.00956121, 0, inf
0.0006, 0.0091523, 0, inf
0.0007, 0.00881419, 0, inf
0.0008, 0.00852701, 0, inf
0.0009, 0.00827797, 0, inf
0.001, 0.00805852, 0, inf
0.002, 0.00669379, 0, inf
0.003, 0.00596089, 0, inf
0.004, 0.00547288, 0, inf
0.005, 0.00511475, 0, inf
0.006, 0.00483681, 0, inf
0.007, 0.00461295, 0, inf
0.008, 0.00442815, 0, inf
0.009, 0.0042727, 0, inf
0.01, 0.00414005, 0, inf
0.02, 0.00345241, 0, inf
0.03, 0.003243, 0, inf
0.04, 0.00320769, 0, inf
0.05, 0.00325612, 0, inf
0.06, 0.00334986, 0, inf
0.07, 0.00346932, 0, inf
0.08, 0.00360378, 0, inf
0.09, 0.00374649, 0, inf
0.1, 0.00389403, 0, inf
0.2, 0.00536617, 0, inf
0.3, 0.00694639, 0, inf
0.4, 0.00913653, 0, inf
0.5, 0.0123581, 0, inf
0.6, 0.0167735, 0, inf
0.7, 0.0221041, 0, inf
0.8, 0.0271009, 0, inf
0.9, 0.0272813, 0, inf
0.0001, -5.20417e-18, 0, -inf
0.0002, -3.38563e-18, 0, -inf
0.0003, 1.34347e-18, 0, inf
0.0004, -5.02627e-18, 0, -inf
0.0005, -8.29941e-19, 0, -inf
0.0006, -6.9882e-18, 0, -inf
0.0007, -3.45087e-18, 0, -inf
0.0008, -6.17747e-18, 0, -inf
0.0009, -5.74537e-18, 0, -inf
0.001, -4.33681e-18, 0, -inf
0.002, -1.79445e-18, 0, -inf
0.003, -4.16654e-18, 0, -inf
0.004, -5.52976e-18, 0, -inf
0.005, -5.29655e-18, 0, -inf
0.006, -6.35916e-18, 0, -inf
0.007, -3.29981e-18, 0, -inf
0.008, -8.75036e-18, 0, -inf
0.009, -1.11666e-17, 0, -inf
0.01, -1.04083e-17, 0, -inf
0.02, -9.11197e-18, 0, -inf
0.03, -1.87155e-18, 0, -inf
0.04, -2.04254e-17, 0, -inf
0.05, -1.56889e-17, 0, -inf
0.06, -9.05165e-18, 0, -inf
0.07, -1.70046e-17, 0, -inf
0.08, -1.73451e-17, 0, -inf
0.09, -1.42297e-17, 0, -inf
0.1, -6.93889e-18, 0, -inf
0.2, -7.51754e-18, 0, -inf
0.3, -1.2025e-17, 0, -inf
0.4, -5.80755e-18, 0, -inf
0.5, -5.03102e-18, 0, -inf
0.6, -1.41322e-17, 0, -inf
0.7, -6.89516e-18, 0, -inf
0.8, -4.60905e-18, 0, -inf
0.9, -7.78578e-18, 0, -inf
0.0001, 0, 0, -nan
0.0002, 0, 0, -nan
0.0003, 0, 0, -nan
0.0004, 0, 0, -nan
0.0005, 0, 0, -nan
0.0006, 0, 0, -nan
0.0007, 0, 0, -nan
0.0008, 0, 0, -nan
0.0009, 0, 0, -nan
0.001, 0, 0, -nan
0.002, 0, 0, -nan
0.003, 0, 0, -nan
0.004, 0, 0, -nan
0.005, 0, 0, -nan
0.006, 0, 0, -nan
0.007, 0, 0, -nan
0.008, 0, 0, -nan
0.009, 0, 0, -nan
0.01, 0, 0, -nan
0.02, 0, 0, -nan
0.03, 0, 0, -nan
0.04, 0, 0, -nan
0.05, 0, 0, -nan
0.06, 0, 0, -nan
0.07, 0, 0, -nan
0.08, 0, 0, -nan
0.09, 0, 0, -nan
0.1, 0, 0, -nan
0.2, 0, 0, -nan
0.3, 0, 0, -nan
0.4, 0, 0, -nan
0.5, 0, 0, -nan
0.6, 0, 0, -nan
0.7, 0, 0, -nan
0.8, 0, 0, -nan
0.9, 0, 0, -nan
