# mu values:
1.414214
# num_x_vals
36
# x, GRVEvolved, GRVExact, SAL, SAL3Evolved, SAL5Evolved
0.0001, 15.2708, 15.68, 3.11292, 5.8475, 3.63257
0.0002, 12.4758, 12.7969, 2.73291, 4.58327, 3.1662
0.0003, 11.0472, 11.3239, 2.53219, 3.97423, 2.92009
0.0004, 10.1173, 10.3657, 2.39857, 3.59141, 2.75633
0.0005, 9.44106, 9.66911, 2.29965, 3.3198, 2.63517
0.0006, 8.91653, 9.12875, 2.22174, 3.11306, 2.53982
0.0007, 8.49164, 8.6913, 2.15783, 2.94806, 2.4616
0.0008, 8.13708, 8.32625, 2.10387, 2.81211, 2.3956
0.0009, 7.83444, 8.01472, 2.05732, 2.69728, 2.3387
0.001, 7.5714, 7.74406, 2.01649, 2.5984, 2.28879
0.002, 6.01307, 6.14122, 1.76555, 2.02965, 1.9826
0.003, 5.22792, 5.33434, 1.63145, 1.75367, 1.81951
0.004, 4.72159, 4.81447, 1.54118, 1.57908, 1.71
0.005, 4.35596, 4.43924, 1.47362, 1.45448, 1.62825
0.006, 4.07391, 4.1498, 1.41983, 1.35909, 1.56335
0.007, 3.84642, 3.9166, 1.37524, 1.28257, 1.50966
0.008, 3.65741, 3.72282, 1.33721, 1.21919, 1.46397
0.009, 3.49665, 3.55817, 1.30406, 1.16539, 1.42425
0.01, 3.3572, 3.41527, 1.2747, 1.11883, 1.38913
0.02, 2.5396, 2.5785, 1.08585, 0.845386, 1.16545
0.03, 2.13296, 2.16297, 0.975902, 0.707299, 1.03752
0.04, 1.87248, 1.89709, 0.896378, 0.617015, 0.946282
0.05, 1.68511, 1.70598, 0.833082, 0.550728, 0.874534
0.06, 1.54089, 1.55891, 0.779942, 0.498721, 0.814927
0.07, 1.42471, 1.44056, 0.733807, 0.456094, 0.763627
0.08, 1.32823, 1.34229, 0.692833, 0.420124, 0.718436
0.09, 1.24606, 1.25868, 0.655848, 0.389077, 0.677911
0.1, 1.17497, 1.18626, 0.62206, 0.361857, 0.641162
0.2, 0.755668, 0.759445, 0.383674, 0.195987, 0.38794
0.3, 0.5428, 0.543636, 0.238225, 0.112875, 0.238111
0.4, 0.402731, 0.402124, 0.142146, 0.0640582, 0.141072
0.5, 0.298034, 0.296805, 0.0788913, 0.0343976, 0.0780876
0.6, 0.213299, 0.211855, 0.0390356, 0.0167619, 0.0388373
0.7, 0.141074, 0.139799, 0.0159992, 0.00694051, 0.0162479
0.8, 0.0789834, 0.0779978, 0.00462335, 0.00215462, 0.00502497
0.9, 0.0290025, 0.0283648, 0.000565303, 0.000363176, 0.000823074
0.0001, 0.248906, 0.257165, 0.00118324, 0.0562093, 0.00895573
0.0002, 0.210269, 0.216975, 0.00186585, 0.0620441, 0.00867432
0.0003, 0.19054, 0.19644, 0.00243563, 0.0663963, 0.00873842
0.0004, 0.177776, 0.18315, 0.00294266, 0.0699229, 0.00891079
0.0005, 0.168568, 0.173558, 0.0034076, 0.0729176, 0.00912939
0.0006, 0.16149, 0.166179, 0.00384153, 0.0755374, 0.00937037
0.0007, 0.155812, 0.16026, 0.00425127, 0.0778773, 0.00962259
0.0008, 0.151123, 0.155368, 0.00464137, 0.0799983, 0.00988038
0.0009, 0.147162, 0.151234, 0.00501506, 0.0819431, 0.0101405
0.001, 0.143757, 0.14768, 0.00537476, 0.0837429, 0.010401
0.002, 0.124638, 0.127674, 0.00847671, 0.0970556, 0.0129061
0.003, 0.116128, 0.118721, 0.0110634, 0.1061, 0.0151867
0.004, 0.111316, 0.113629, 0.0133621, 0.113115, 0.0172869
0.005, 0.108304, 0.110416, 0.0154668, 0.118911, 0.0192481
0.006, 0.106322, 0.10828, 0.0174278, 0.123879, 0.0210986
0.007, 0.104987, 0.106823, 0.0192763, 0.128247, 0.0228583
0.008, 0.10409, 0.105823, 0.021033, 0.132152, 0.0245415
0.009, 0.103504, 0.105155, 0.0227127, 0.135692, 0.026159
0.01, 0.103133, 0.104709, 0.0243264, 0.138933, 0.0277191
0.02, 0.104666, 0.105809, 0.0380912, 0.161909, 0.041178
0.03, 0.108832, 0.109753, 0.0493168, 0.176446, 0.0522567
0.04, 0.113258, 0.114026, 0.0590583, 0.187014, 0.0619028
0.05, 0.117501, 0.11815, 0.0677577, 0.195189, 0.0705287
0.06, 0.121459, 0.122008, 0.075655, 0.201732, 0.0783624
0.07, 0.125117, 0.125581, 0.0828997, 0.207078, 0.0855486
