# mu values:
1.414214
# num_x_vals
36
# x, apfel++, lhapdf, ratio
0.0001, 7.15671, 7.05731, 1.01408
0.0002, 6.17241, 6.09394, 1.01288
0.0003, 5.6482, 5.58039, 1.01215
0.0004, 5.29775, 5.23695, 1.01161
0.0005, 5.03772, 4.98199, 1.01119
0.0006, 4.83269, 4.78085, 1.01084
0.0007, 4.6643, 4.61567, 1.01054
0.0008, 4.5221, 4.47611, 1.01027
0.0009, 4.39942, 4.35568, 1.01004
0.001, 4.29179, 4.25003, 1.00983
0.002, 3.63174, 3.60151, 1.00839
0.003, 3.28167, 3.25713, 1.00754
0.004, 3.04808, 3.02718, 1.0069
0.005, 2.87489, 2.85658, 1.00641
0.006, 2.73837, 2.72198, 1.00602
0.007, 2.62622, 2.61141, 1.00567
0.008, 2.53149, 2.51794, 1.00538
0.009, 2.44972, 2.43727, 1.00511
0.01, 2.3779, 2.36634, 1.00488
0.02, 1.93543, 1.92881, 1.00343
0.03, 1.6979, 1.69339, 1.00267
0.04, 1.53741, 1.53409, 1.00217
0.05, 1.41697, 1.41439, 1.00182
0.06, 1.3209, 1.31881, 1.00159
0.07, 1.24111, 1.23939, 1.00139
0.08, 1.17299, 1.17153, 1.00124
0.09, 1.11356, 1.11233, 1.00111
0.1, 1.06094, 1.05984, 1.00103
0.2, 0.723915, 0.723278, 1.00088
0.3, 0.532038, 0.531537, 1.00094
0.4, 0.397947, 0.397422, 1.00132
0.5, 0.295099, 0.294514, 1.00198
0.6, 0.211607, 0.211019, 1.00279
0.7, 0.141271, 0.14078, 1.00348
0.8, 0.0813454, 0.0809877, 1.00442
0.9, 0.0324907, 0.0321835, 1.00954
0.0001, 0.417998, 0.417463, 1.00128
0.0002, 0.354723, 0.353519, 1.00341
0.0003, 0.321681, 0.320214, 1.00458
0.0004, 0.299909, 0.298312, 1.00535
0.0005, 0.283947, 0.282274, 1.00593
0.0006, 0.271493, 0.269771, 1.00638
0.0007, 0.26136, 0.259612, 1.00673
0.0008, 0.252878, 0.251112, 1.00703
0.0009, 0.245618, 0.243843, 1.00728
0.001, 0.239298, 0.237519, 1.00749
0.002, 0.201737, 0.200016, 1.0086
0.003, 0.18291, 0.18128, 1.00899
0.004, 0.170928, 0.169387, 1.0091
0.005, 0.162421, 0.160956, 1.0091
0.006, 0.155983, 0.154584, 1.00905
0.007, 0.150898, 0.14956, 1.00895
0.008, 0.146764, 0.145478, 1.00884
0.009, 0.143331, 0.142096, 1.00869
0.01, 0.140419, 0.139227, 1.00857
0.02, 0.125385, 0.124477, 1.00729
0.03, 0.120073, 0.119318, 1.00633
0.04, 0.117976, 0.117316, 1.00563
0.05, 0.117347, 0.116753, 1.00509
0.06, 0.117493, 0.116945, 1.00468
