# mu values:
1.414214
# num_x_vals
36
# x, apfel++, lhapdf, ratio
0.0001, 15.2708, 15.68, 0.973907
0.0002, 12.4758, 12.7969, 0.974911
0.0003, 11.0472, 11.3239, 0.975565
0.0004, 10.1173, 10.3657, 0.976031
0.0005, 9.44106, 9.66911, 0.976415
0.0006, 8.91653, 9.12875, 0.976753
0.0007, 8.49164, 8.6913, 0.977027
0.0008, 8.13708, 8.32625, 0.97728
0.0009, 7.83444, 8.01472, 0.977506
0.001, 7.5714, 7.74406, 0.977704
0.002, 6.01307, 6.14122, 0.979133
0.003, 5.22792, 5.33434, 0.980049
0.004, 4.72159, 4.81447, 0.980708
0.005, 4.35596, 4.43924, 0.98124
0.006, 4.07391, 4.1498, 0.98171
0.007, 3.84642, 3.9166, 0.982081
0.008, 3.65741, 3.72282, 0.98243
0.009, 3.49665, 3.55817, 0.98271
0.01, 3.3572, 3.41527, 0.982996
0.02, 2.5396, 2.5785, 0.984912
0.03, 2.13296, 2.16297, 0.986128
0.04, 1.87248, 1.89709, 0.987028
0.05, 1.68511, 1.70598, 0.987767
0.06, 1.54089, 1.55891, 0.988445
0.07, 1.42471, 1.44056, 0.988994
0.08, 1.32823, 1.34229, 0.989523
0.09, 1.24606, 1.25868, 0.989973
0.1, 1.17497, 1.18626, 0.990483
0.2, 0.755668, 0.759445, 0.995027
0.3, 0.5428, 0.543636, 0.998461
0.4, 0.402731, 0.402124, 1.00151
0.5, 0.298034, 0.296805, 1.00414
0.6, 0.213299, 0.211855, 1.00681
0.7, 0.141074, 0.139799, 1.00912
0.8, 0.0789834, 0.0779978, 1.01264
0.9, 0.0290025, 0.0283648, 1.02248
0.0001, 0.248906, 0.257165, 0.967885
0.0002, 0.210269, 0.216975, 0.969092
0.0003, 0.19054, 0.19644, 0.969967
0.0004, 0.177776, 0.18315, 0.970655
0.0005, 0.168568, 0.173558, 0.971248
0.0006, 0.16149, 0.166179, 0.971782
0.0007, 0.155812, 0.16026, 0.972245
0.0008, 0.151123, 0.155368, 0.972676
0.0009, 0.147162, 0.151234, 0.973072
0.001, 0.143757, 0.14768, 0.973436
0.002, 0.124638, 0.127674, 0.97622
0.003, 0.116128, 0.118721, 0.978159
0.004, 0.111316, 0.113629, 0.979644
0.005, 0.108304, 0.110416, 0.980869
0.006, 0.106322, 0.10828, 0.981916
0.007, 0.104987, 0.106823, 0.982813
0.008, 0.10409, 0.105823, 0.983618
0.009, 0.103504, 0.105155, 0.984298
0.01, 0.103133, 0.104709, 0.984952
0.02, 0.104666, 0.105809, 0.989193
0.03, 0.108832, 0.109753, 0.991604
0.04, 0.113258, 0.114026, 0.993265
0.05, 0.117501, 0.11815, 0.994507
0.06, 0.121459, 0.122008, 0.9955
0.07, 0.125117, 0.125581, 0.996305
0.08, 0.128493, 0.128881, 0.996987
0.09, 0.131602, 0.131923, 0.99757
0.1, 0.134471, 0.134729, 0.99808
0.2, 0.153414, 0.153289, 1.00081
0.3, 0.161126, 0.160898, 1.00142
0.4, 0.162112, 0.161921, 1.00118
0.5, 0.158365, 0.158242, 1.00078
0.6, 0.150857, 0.150713, 1.00095
0.7, 0.139847, 0.13952, 1.00234
0.8, 0.124763, 0.124003, 1.00613
0.9, 0.102627, 0.101153, 1.01458
0.0001, 0.24716, 0.255709, 0.966568
0.0002, 0.208041, 0.214619, 0.969349
0.0003, 0.188462, 0.1941, 0.97095
0.0004, 0.175969, 0.18103, 0.972042
0.0005, 0.167057, 0.171715, 0.972876
0.0006, 0.160271, 0.164625, 0.973556
0.0007, 0.154873, 0.15899, 0.974103
0.0008, 0.150448, 0.154372, 0.974578
0.0009, 0.146736, 0.1505, 0.974988
0.001, 0.143565, 0.147195, 0.975344
0.002, 0.12623, 0.129124, 0.977587
0.003, 0.11891, 0.121484, 0.978816
0.004, 0.114992, 0.11738, 0.979649
0.005, 0.112696, 0.114961, 0.980302
0.006, 0.111315, 0.113488, 0.980853
0.007, 0.110499, 0.112602, 0.981323
0.008, 0.110061, 0.112106, 0.981757
0.009, 0.109889, 0.11189, 0.982116
0.01, 0.109897, 0.111855, 0.982491
0.02, 0.11424, 0.115944, 0.985305
0.03, 0.120544, 0.122082, 0.987403
0.04, 0.126914, 0.128309, 0.989132
0.05, 0.133035, 0.1343, 0.990577
0.06, 0.138848, 0.139993, 0.991821
0.07, 0.144357, 0.145394, 0.992864
0.08, 0.14959, 0.150527, 0.993773
0.09, 0.15456, 0.155407, 0.994551
0.1, 0.159302, 0.160064, 0.99524
0.2, 0.197178, 0.197495, 0.998392
0.3, 0.223389, 0.223791, 0.998204
0.4, 0.241723, 0.242337, 0.997464
0.5, 0.253859, 0.254427, 0.997768
0.6, 0.261169, 0.261085, 1.00032
0.7, 0.265902, 0.264603, 1.00491
0.8, 0.272513, 0.269914, 1.00963
0.9, 0.281874, 0.279136, 1.00981
0.0001, 0.24345, 0.251511, 0.967952
0.0002, 0.204724, 0.211306, 0.968849
0.0003, 0.184524, 0.190337, 0.96946
0.0004, 0.171213, 0.176525, 0.969909
0.0005, 0.161448, 0.166393, 0.970282
0.0006, 0.153822, 0.15848, 0.97061
0.0007, 0.147611, 0.152038, 0.97088
0.0008, 0.142404, 0.146638, 0.971128
0.0009, 0.137944, 0.142012, 0.97135
0.001, 0.134054, 0.13798, 0.971546
0.002, 0.110776, 0.113856, 0.972943
0.003, 0.0989127, 0.101572, 0.973815
0.004, 0.0912308, 0.0936248, 0.97443
0.005, 0.0856774, 0.0878817, 0.974917
0.006, 0.081396, 0.0834544, 0.975335
0.007, 0.0779485, 0.0798926, 0.975666
0.008, 0.0750906, 0.0769394, 0.97597
0.009, 0.0726668, 0.0744373, 0.976216
0.01, 0.0705703, 0.0722715, 0.97646
0.02, 0.0584964, 0.0598049, 0.97812
0.03, 0.0527395, 0.0538558, 0.979272
0.04, 0.0492027, 0.0501939, 0.980253
0.05, 0.0467581, 0.0476557, 0.981164
0.06, 0.0449461, 0.0457673, 0.982057
0.07, 0.0435366, 0.0442947, 0.982885
0.08, 0.0424048, 0.0431074, 0.983701
0.09, 0.0414704, 0.0421239, 0.984487
0.1, 0.0406847, 0.0412937, 0.985253
0.2, 0.0365634, 0.0368804, 0.991405
0.3, 0.0350754, 0.0352599, 0.994767
0.4, 0.0350057, 0.0351314, 0.996422
0.5, 0.0364595, 0.0365486, 0.997561
0.6, 0.0397756, 0.0398003, 0.999378
0.7, 0.0451816, 0.0451084, 1.00162
0.8, 0.0525192, 0.0522873, 1.00444
0.9, 0.0600862, 0.0596242, 1.00775
0.0001, 0.0306963, 0, inf
0.0002, 0.024924, 0, inf
0.0003, 0.0219829, 0, inf
0.0004, 0.0200729, 0, inf
0.0005, 0.0186867, 0, inf
0.0006, 0.0176134, 0, inf
0.0007, 0.0167452, 0, inf
0.0008, 0.016022, 0, inf
0.0009, 0.0154055, 0, inf
0.001, 0.0148704, 0, inf
0.002, 0.0117207, 0, inf
0.003, 0.0101551, 0, inf
0.004, 0.0091592, 0, inf
0.005, 0.00845028, 0, inf
0.006, 0.00791163, 0, inf
0.007, 0.00748405, 0, inf
0.008, 0.00713457, 0, inf
0.009, 0.00684228, 0, inf
0.01, 0.00659356, 0, inf
0.02, 0.00527041, 0, inf
0.03, 0.00476922, 0, inf
0.04, 0.00455225, 0, inf
0.05, 0.00447156, 0, inf
0.06, 0.00446672, 0, inf
0.07, 0.00450745, 0, inf
0.08, 0.0045771, 0, inf
0.09, 0.00466527, 0, inf
0.1, 0.00476565, 0, inf
0.2, 0.00589053, 0, inf
0.3, 0.00687367, 0, inf
0.4, 0.00786895, 0, inf
0.5, 0.0092247, 0, inf
0.6, 0.0113332, 0, inf
0.7, 0.0145827, 0, inf
0.8, 0.0193582, 0, inf
0.9, 0.0259758, 0, inf
0.0001, -6.93889e-18, 0, -inf
0.0002, 2.90003e-21, 0, inf
0.0003, -1.16093e-17, 0, -inf
0.0004, -2.90756e-18, 0, -inf
0.0005, -1.02622e-17, 0, -inf
0.0006, -1.19254e-17, 0, -inf
0.0007, -7.45399e-18, 0, -inf
0.0008, -4.68773e-18, 0, -inf
0.0009, -1.54315e-17, 0, -inf
0.001, -1.56125e-17, 0, -inf
0.002, 3.35965e-18, 0, inf
0.003, -1.86054e-18, 0, -inf
0.004, 1.19234e-19, 0, inf
0.005, -8.61155e-18, 0, -inf
0.006, -8.57581e-18, 0, -inf
0.007, -1.69646e-18, 0, -inf
0.008, -4.78907e-18, 0, -inf
0.009, -1.88168e-18, 0, -inf
0.01, -3.46945e-18, 0, -inf
0.02, -5.22622e-18, 0, -inf
0.03, -4.74318e-18, 0, -inf
0.04, -1.92422e-18, 0, -inf
0.05, -1.73208e-18, 0, -inf
0.06, -6.43935e-18, 0, -inf
0.07, -4.97517e-18, 0, -inf
0.08, -7.27483e-18, 0, -inf
0.09, -4.43599e-18, 0, -inf
0.1, -1.38778e-17, 0, -inf
0.2, -1.0437e-17, 0, -inf
0.3, -1.21833e-17, 0, -inf
0.4, -1.3605e-17, 0, -inf
0.5, -4.55105e-18, 0, -inf
0.6, -2.07621e-17, 0, -inf
0.7, -9.69919e-18, 0, -inf
0.8, -1.97264e-17, 0, -inf
0.9, -3.20397e-20, 0, -inf
0.0001, 0, 0, -nan
0.0002, 0, 0, -nan
0.0003, 0, 0, -nan
0.0004, 0, 0, -nan
0.0005, 0, 0, -nan
0.0006, 0, 0, -nan
0.0007, 0, 0, -nan
0.0008, 0, 0, -nan
0.0009, 0, 0, -nan
0.001, 0, 0, -nan
0.002, 0, 0, -nan
0.003, 0, 0, -nan
0.004, 0, 0, -nan
0.005, 0, 0, -nan
0.006, 0, 0, -nan
0.007, 0, 0, -nan
0.008, 0, 0, -nan
0.009, 0, 0, -nan
0.01, 0, 0, -nan
0.02, 0, 0, -nan
0.03, 0, 0, -nan
0.04, 0, 0, -nan
0.05, 0, 0, -nan
0.06, 0, 0, -nan
0.07, 0, 0, -nan
0.08, 0, 0, -nan
0.09, 0, 0, -nan
0.1, 0, 0, -nan
0.2, 0, 0, -nan
0.3, 0, 0, -nan
0.4, 0, 0, -nan
0.5, 0, 0, -nan
0.6, 0, 0, -nan
0.7, 0, 0, -nan
0.8, 0, 0, -nan
0.9, 0, 0, -nan
