# mu values:
1.414214
# num_x_vals
36
# x, apfel++, SAL, ratio
0.0001, 5.8475, 5.31268, 1.10067
0.0002, 4.58327, 4.15689, 1.10257
0.0003, 3.97423, 3.60072, 1.10373
0.0004, 3.59141, 3.25157, 1.10452
0.0005, 3.3198, 3.00403, 1.10512
0.0006, 3.11306, 2.81568, 1.10562
0.0007, 2.94806, 2.66555, 1.10599
0.0008, 2.81211, 2.54189, 1.10631
0.0009, 2.69728, 2.43749, 1.10658
0.001, 2.5984, 2.34767, 1.1068
0.002, 2.02965, 1.83197, 1.10791
0.003, 1.75367, 1.58257, 1.10811
0.004, 1.57908, 1.42524, 1.10794
0.005, 1.45448, 1.31317, 1.1076
0.006, 1.35909, 1.2275, 1.10721
0.007, 1.28257, 1.15889, 1.10672
0.008, 1.21919, 1.10212, 1.10622
0.009, 1.16539, 1.05398, 1.1057
0.01, 1.11883, 1.01238, 1.10515
0.02, 0.845386, 0.768601, 1.0999
0.03, 0.707299, 0.645787, 1.09525
0.04, 0.617015, 0.565485, 1.09112
0.05, 0.550728, 0.506431, 1.08747
0.06, 0.498721, 0.459984, 1.08421
0.07, 0.456094, 0.421834, 1.08122
0.08, 0.420124, 0.389544, 1.0785
0.09, 0.389077, 0.361605, 1.07597
0.1, 0.361857, 0.337025, 1.07368
0.2, 0.195987, 0.185263, 1.05788
0.3, 0.112875, 0.107539, 1.04962
0.4, 0.0640582, 0.0611728, 1.04717
0.5, 0.0343976, 0.0327157, 1.05141
0.6, 0.0167619, 0.0157049, 1.0673
0.7, 0.00694051, 0.00627413, 1.10621
0.8, 0.00215462, 0.00177329, 1.21504
0.9, 0.000363176, 0.000212621, 1.70809
0.0001, 0.0562093, 0.0446571, 1.25869
0.0002, 0.0620441, 0.0528884, 1.17311
0.0003, 0.0663963, 0.0583874, 1.13717
0.0004, 0.0699229, 0.0626306, 1.11643
0.0005, 0.0729176, 0.0661315, 1.10261
0.0006, 0.0755374, 0.0691356, 1.0926
0.0007, 0.0778773, 0.0717806, 1.08494
0.0008, 0.0799983, 0.0741524, 1.07884
0.0009, 0.0819431, 0.0763086, 1.07384
0.001, 0.0837429, 0.0782897, 1.06965
0.002, 0.0970556, 0.0926366, 1.0477
0.003, 0.1061, 0.102176, 1.0384
0.004, 0.113115, 0.109503, 1.03299
0.005, 0.118911, 0.115519, 1.02936
0.006, 0.123879, 0.120657, 1.0267
0.007, 0.128247, 0.12516, 1.02466
0.008, 0.132152, 0.129178, 1.02302
0.009, 0.135692, 0.132814, 1.02167
0.01, 0.138933, 0.136138, 1.02053
0.02, 0.161909, 0.159618, 1.01435
0.03, 0.176446, 0.174434, 1.01154
0.04, 0.187014, 0.1852, 1.0098
0.05, 0.195189, 0.193535, 1.00855
0.06, 0.201732, 0.200217, 1.00757
0.07, 0.207078, 0.205686, 1.00677
0.08, 0.211497, 0.210218, 1.00608
0.09, 0.215174, 0.214001, 1.00548
0.1, 0.218239, 0.217166, 1.00494
0.2, 0.228864, 0.22864, 1.00098
0.3, 0.220432, 0.220883, 0.997958
0.4, 0.202189, 0.203108, 0.995478
0.5, 0.177656, 0.178736, 0.993958
0.6, 0.148688, 0.149499, 0.994575
0.7, 0.116455, 0.116425, 1.00026
0.8, 0.0818117, 0.0801896, 1.02023
0.9, 0.0454843, 0.0412648, 1.10226
0.0001, 0.0562121, 0.0446571, 1.25875
0.0002, 0.0620497, 0.0528884, 1.17322
0.0003, 0.0664047, 0.0583874, 1.13731
0.0004, 0.069934, 0.0626306, 1.11661
0.0005, 0.0729315, 0.0661315, 1.10283
0.0006, 0.0755541, 0.0691356, 1.09284
0.0007, 0.0778967, 0.0717806, 1.08521
0.0008, 0.0800205, 0.0741524, 1.07913
0.0009, 0.0819681, 0.0763086, 1.07417
0.001, 0.0837706, 0.0782897, 1.07001
0.002, 0.0971107, 0.0926366, 1.0483
0.003, 0.106182, 0.102176, 1.0392
0.004, 0.113225, 0.109503, 1.03399
0.005, 0.119047, 0.115519, 1.03054
0.006, 0.124042, 0.120657, 1.02805
0.007, 0.128436, 0.12516, 1.02618
0.008, 0.132368, 0.129178, 1.02469
0.009, 0.135934, 0.132814, 1.02349
0.01, 0.139201, 0.136138, 1.0225
0.02, 0.162433, 0.159618, 1.01763
0.03, 0.177216, 0.174434, 1.01595
0.04, 0.188019, 0.1852, 1.01522
0.05, 0.196418, 0.193535, 1.0149
0.06, 0.203176, 0.200217, 1.01478
0.07, 0.208729, 0.205686, 1.0148
0.08, 0.213346, 0.210218, 1.01488
0.09, 0.217211, 0.214001, 1.015
