# mu value:
1.414214
# numXVals
36
# x, SAL, SAL3HO, SAL5HO, GRVHO
0.0001, 5.1432, 1.55987, 4.36355, 7.05731
0.0002, 3.46351, 1.36337, 3.57215, 6.09394
0.0003, 2.74798, 1.25976, 3.17691, 5.58039
0.0004, 2.33168, 1.19081, 2.92285, 5.23695
0.0005, 2.05258, 1.13977, 2.73962, 4.98199
0.0006, 1.84942, 1.09957, 2.59832, 4.78085
0.0007, 1.69335, 1.06657, 2.48435, 4.61567
0.0008, 1.56877, 1.03871, 2.38957, 4.47611
0.0009, 1.46647, 1.01467, 2.30888, 4.35568
0.001, 1.38058, 0.99357, 2.2389, 4.25003
0.002, 0.927189, 0.863649, 1.82636, 3.60151
0.003, 0.733652, 0.793975, 1.61893, 3.25713
0.004, 0.620823, 0.746933, 1.48473, 3.02718
0.005, 0.54503, 0.711653, 1.38732, 2.85658
0.006, 0.489753, 0.683532, 1.31172, 2.72198
0.007, 0.447204, 0.660186, 1.25037, 2.61141
0.008, 0.413178, 0.640261, 1.19904, 2.51794
0.009, 0.385182, 0.62289, 1.15508, 2.43727
0.01, 0.361634, 0.607495, 1.11672, 2.36634
0.02, 0.236295, 0.508669, 0.884504, 1.92881
0.03, 0.181853, 0.451658, 0.761483, 1.69339
0.04, 0.149625, 0.410908, 0.67825, 1.53409
0.05, 0.12768, 0.378879, 0.615432, 1.41439
0.06, 0.111481, 0.35232, 0.564979, 1.31881
0.07, 0.0988796, 0.32952, 0.52278, 1.23939
0.08, 0.0887086, 0.309492, 0.486521, 1.17153
0.09, 0.080273, 0.291589, 0.45471, 1.11233
0.1, 0.0731293, 0.275399, 0.426419, 1.05984
0.2, 0.0345977, 0.165335, 0.244517, 0.723278
0.3, 0.018395, 0.101586, 0.146254, 0.531537
0.4, 0.00983203, 0.0609411, 0.0859763, 0.397422
0.5, 0.00501027, 0.03495, 0.0483612, 0.294514
0.6, 0.00231205, 0.018996, 0.0256368, 0.211019
0.7, 0.00089335, 0.00994645, 0.0128412, 0.14078
0.8, 0.000245297, 0.00532109, 0.00635607, 0.0809877
0.9, 2.86712e-05, 0.00291547, 0.00317577, 0.0321835
0.0001, 0.283756, 0.0519987, 0.0276068, 0.417463
0.0002, 0.253998, 0.0580617, 0.0239924, 0.353519
0.0003, 0.238075, 0.0624313, 0.022553, 0.320214
0.0004, 0.227398, 0.0659389, 0.0218471, 0.298312
0.0005, 0.219457, 0.0689087, 0.0214903, 0.282274
0.0006, 0.213183, 0.0715051, 0.0213292, 0.269771
0.0007, 0.208025, 0.0738253, 0.0212887, 0.259612
0.0008, 0.203663, 0.0759305, 0.0213284, 0.251112
0.0009, 0.199898, 0.0778635, 0.0214234, 0.243843
0.001, 0.196593, 0.0796547, 0.0215579, 0.237519
0.002, 0.17632, 0.0930011, 0.0237603, 0.200016
0.003, 0.165627, 0.10218, 0.0263068, 0.18128
0.004, 0.158566, 0.109367, 0.0288076, 0.169387
0.005, 0.153398, 0.115348, 0.0312071, 0.160956
0.006, 0.149384, 0.120507, 0.0335018, 0.154584
0.007, 0.146141, 0.125066, 0.0356993, 0.14956
