# mu value:
1.414214
# numXVals
36
# x, SAL, SAL3LO, SAL5LO, GRVLO
0.0001, 5.1432, 5.8475, 3.63257, 15.68
0.0002, 3.46351, 4.58327, 3.1662, 12.7969
0.0003, 2.74798, 3.97423, 2.92009, 11.3239
0.0004, 2.33168, 3.59141, 2.75633, 10.3657
0.0005, 2.05258, 3.3198, 2.63517, 9.66911
0.0006, 1.84942, 3.11306, 2.53982, 9.12875
0.0007, 1.69335, 2.94806, 2.4616, 8.6913
0.0008, 1.56877, 2.81211, 2.3956, 8.32625
0.0009, 1.46647, 2.69728, 2.3387, 8.01472
0.001, 1.38058, 2.5984, 2.28879, 7.74406
0.002, 0.927189, 2.02965, 1.9826, 6.14122
0.003, 0.733652, 1.75367, 1.81951, 5.33434
0.004, 0.620823, 1.57908, 1.71, 4.81447
0.005, 0.54503, 1.45448, 1.62825, 4.43924
0.006, 0.489753, 1.35909, 1.56335, 4.1498
0.007, 0.447204, 1.28257, 1.50966, 3.9166
0.008, 0.413178, 1.21919, 1.46397, 3.72282
0.009, 0.385182, 1.16539, 1.42425, 3.55817
0.01, 0.361634, 1.11883, 1.38913, 3.41527
0.02, 0.236295, 0.845386, 1.16545, 2.5785
0.03, 0.181853, 0.707299, 1.03752, 2.16297
0.04, 0.149625, 0.617015, 0.946282, 1.89709
0.05, 0.12768, 0.550728, 0.874534, 1.70598
0.06, 0.111481, 0.498721, 0.814927, 1.55891
0.07, 0.0988796, 0.456094, 0.763627, 1.44056
0.08, 0.0887086, 0.420124, 0.718436, 1.34229
0.09, 0.080273, 0.389077, 0.677911, 1.25868
0.1, 0.0731293, 0.361857, 0.641162, 1.18626
0.2, 0.0345977, 0.195987, 0.38794, 0.759445
0.3, 0.018395, 0.112875, 0.238111, 0.543636
0.4, 0.00983203, 0.0640582, 0.141072, 0.402124
0.5, 0.00501027, 0.0343976, 0.0780876, 0.296805
0.6, 0.00231205, 0.0167619, 0.0388373, 0.211855
0.7, 0.00089335, 0.00694051, 0.0162479, 0.139799
0.8, 0.000245297, 0.00215462, 0.00502497, 0.0779978
0.9, 2.86712e-05, 0.000363176, 0.000823074, 0.0283648
0.0001, 0.283756, 0.0562093, 0.00895573, 0.257165
0.0002, 0.253998, 0.0620441, 0.00867432, 0.216975
0.0003, 0.238075, 0.0663963, 0.00873842, 0.19644
0.0004, 0.227398, 0.0699229, 0.00891079, 0.18315
0.0005, 0.219457, 0.0729176, 0.00912939, 0.173558
0.0006, 0.213183, 0.0755374, 0.00937037, 0.166179
0.0007, 0.208025, 0.0778773, 0.00962259, 0.16026
0.0008, 0.203663, 0.0799983, 0.00988038, 0.155368
0.0009, 0.199898, 0.0819431, 0.0101405, 0.151234
0.001, 0.196593, 0.0837429, 0.010401, 0.14768
0.002, 0.17632, 0.0970556, 0.0129061, 0.127674
0.003, 0.165627, 0.1061, 0.0151867, 0.118721
0.004, 0.158566, 0.113115, 0.0172869, 0.113629
0.005, 0.153398, 0.118911, 0.0192481, 0.110416
0.006, 0.149384, 0.123879, 0.0210986, 0.10828
0.007, 0.146141, 0.128247, 0.0228583, 0.106823
0.008, 0.143449, 0.132152, 0.0245415, 0.105823
0.009, 0.141167, 0.135692, 0.026159, 0.105155
0.01, 0.139202, 0.138933, 0.0277191, 0.104709
0.02, 0.128267, 0.161909, 0.041178, 0.105809
0.03, 0.123702, 0.176446, 0.0522567, 0.109753
0.04, 0.121382, 0.187014, 0.0619028, 0.114026
0.05, 0.120111, 0.195189, 0.0705287, 0.11815
0.06, 0.119389, 0.201732, 0.0783624, 0.122008
0.07, 0.118965, 0.207078, 0.0855486, 0.125581
0.08, 0.118699, 0.211497, 0.0921851, 0.128881
0.09, 0.118508, 0.215174, 0.0983433, 0.131923
0.1, 0.11834, 0.218239, 0.104078, 0.134729
0.2, 0.114496, 0.228864, 0.144586, 0.153289
0.3, 0.106447, 0.220432, 0.164287, 0.160898
0.4, 0.0973483, 0.202189, 0.169738, 0.161921
0.5, 0.0896619, 0.177656, 0.164162, 0.158242
0.6, 0.0844964, 0.148688, 0.149543, 0.150713
0.7, 0.0817072, 0.116455, 0.127194, 0.13952
0.8, 0.079757, 0.0818117, 0.0979674, 0.124003
0.9, 0.0745, 0.0454843, 0.062155, 0.101153
0.0001, 0.283905, 0.0562121, 0.00897139, 0.255709
0.0002, 0.254295, 0.0620497, 0.00870542, 0.214619
0.0003, 0.23852, 0.0664047, 0.00878488, 0.1941
0.0004, 0.227991, 0.069934, 0.00897255, 0.18103
0.0005, 0.220197, 0.0729315, 0.00920639, 0.171715
