# mu value:
1.414214
# num_x_vals
36
# x, apfel++, SAL, ratio
0.0001, 1.55987, 5.1432, 0.303288
0.0002, 1.36337, 3.46351, 0.393639
0.0003, 1.25976, 2.74798, 0.458432
0.0004, 1.19081, 2.33168, 0.510708
0.0005, 1.13977, 2.05258, 0.555285
0.0006, 1.09957, 1.84942, 0.594548
0.0007, 1.06657, 1.69335, 0.629862
0.0008, 1.03871, 1.56877, 0.662119
0.0009, 1.01467, 1.46647, 0.691916
0.001, 0.99357, 1.38058, 0.719678
0.002, 0.863649, 0.927189, 0.93147
0.003, 0.793975, 0.733652, 1.08222
0.004, 0.746933, 0.620823, 1.20313
0.005, 0.711653, 0.54503, 1.30571
0.006, 0.683532, 0.489753, 1.39567
0.007, 0.660186, 0.447204, 1.47625
0.008, 0.640261, 0.413178, 1.5496
0.009, 0.62289, 0.385182, 1.61713
0.01, 0.607495, 0.361634, 1.67986
0.02, 0.508669, 0.236295, 2.15268
0.03, 0.451658, 0.181853, 2.48365
0.04, 0.410908, 0.149625, 2.74626
0.05, 0.378879, 0.12768, 2.96742
0.06, 0.35232, 0.111481, 3.16036
0.07, 0.32952, 0.0988796, 3.33253
0.08, 0.309492, 0.0887086, 3.48886
0.09, 0.291589, 0.080273, 3.63246
0.1, 0.275399, 0.0731293, 3.76592
0.2, 0.165335, 0.0345977, 4.7788
0.3, 0.101586, 0.018395, 5.5225
0.4, 0.0609411, 0.00983203, 6.19822
0.5, 0.03495, 0.00501027, 6.97567
0.6, 0.018996, 0.00231205, 8.21609
0.7, 0.00994645, 0.00089335, 11.1339
0.8, 0.00532109, 0.000245297, 21.6924
0.9, 0.00291547, 2.86712e-05, 101.686
0.0001, 0.0519987, 0.283756, 0.183251
0.0002, 0.0580617, 0.253998, 0.228591
0.0003, 0.0624313, 0.238075, 0.262233
0.0004, 0.0659389, 0.227398, 0.289971
0.0005, 0.0689087, 0.219457, 0.313996
0.0006, 0.0715051, 0.213183, 0.335417
0.0007, 0.0738253, 0.208025, 0.354887
0.0008, 0.0759305, 0.203663, 0.372824
0.0009, 0.0778635, 0.199898, 0.389516
0.001, 0.0796547, 0.196593, 0.405175
0.002, 0.0930011, 0.17632, 0.527455
0.003, 0.10218, 0.165627, 0.616931
0.004, 0.109367, 0.158566, 0.689728
0.005, 0.115348, 0.153398, 0.751953
0.006, 0.120507, 0.149384, 0.806695
0.007, 0.125066, 0.146141, 0.855787
0.008, 0.129161, 0.143449, 0.900401
0.009, 0.132888, 0.141167, 0.941357
0.01, 0.136314, 0.139202, 0.979251
0.02, 0.160945, 0.128267, 1.25476
0.03, 0.176857, 0.123702, 1.42971
0.04, 0.1886, 0.121382, 1.55377
0.05, 0.197801, 0.120111, 1.64682
0.06, 0.205255, 0.119389, 1.71921
0.07, 0.211419, 0.118965, 1.77715
0.08, 0.216577, 0.118699, 1.8246
0.09, 0.220926, 0.118508, 1.86423
0.1, 0.224605, 0.11834, 1.89796
