# mu value:
1.414214
# num_x_vals
36
# x, apfel++, SAL, ratio
0.0001, 5.8475, 5.1432, 1.13694
0.0002, 4.58327, 3.46351, 1.3233
0.0003, 3.97423, 2.74798, 1.44624
0.0004, 3.59141, 2.33168, 1.54027
0.0005, 3.3198, 2.05258, 1.61738
0.0006, 3.11306, 1.84942, 1.68326
0.0007, 2.94806, 1.69335, 1.74097
0.0008, 2.81211, 1.56877, 1.79256
0.0009, 2.69728, 1.46647, 1.83931
0.001, 2.5984, 1.38058, 1.88212
0.002, 2.02965, 0.927189, 2.18904
0.003, 1.75367, 0.733652, 2.39032
0.004, 1.57908, 0.620823, 2.54352
0.005, 1.45448, 0.54503, 2.66862
0.006, 1.35909, 0.489753, 2.77506
0.007, 1.28257, 0.447204, 2.86797
0.008, 1.21919, 0.413178, 2.95075
0.009, 1.16539, 0.385182, 3.02554
0.01, 1.11883, 0.361634, 3.09383
0.02, 0.845386, 0.236295, 3.57767
0.03, 0.707299, 0.181853, 3.88941
0.04, 0.617015, 0.149625, 4.12375
0.05, 0.550728, 0.12768, 4.31336
0.06, 0.498721, 0.111481, 4.4736
0.07, 0.456094, 0.0988796, 4.61262
0.08, 0.420124, 0.0887086, 4.73599
0.09, 0.389077, 0.080273, 4.84693
0.1, 0.361857, 0.0731293, 4.94818
0.2, 0.195987, 0.0345977, 5.66474
0.3, 0.112875, 0.018395, 6.1362
0.4, 0.0640582, 0.00983203, 6.51525
0.5, 0.0343976, 0.00501027, 6.86542
0.6, 0.0167619, 0.00231205, 7.24979
0.7, 0.00694051, 0.00089335, 7.76908
0.8, 0.00215462, 0.000245297, 8.78371
0.9, 0.000363176, 2.86712e-05, 12.6669
0.0001, 0.0562093, 0.283756, 0.19809
0.0002, 0.0620441, 0.253998, 0.24427
0.0003, 0.0663963, 0.238075, 0.278888
0.0004, 0.0699229, 0.227398, 0.307491
0.0005, 0.0729176, 0.219457, 0.332264
0.0006, 0.0755374, 0.213183, 0.354332
0.0007, 0.0778773, 0.208025, 0.374366
0.0008, 0.0799983, 0.203663, 0.392796
0.0009, 0.0819431, 0.199898, 0.409925
0.001, 0.0837429, 0.196593, 0.425971
0.002, 0.0970556, 0.17632, 0.55045
0.003, 0.1061, 0.165627, 0.640594
0.004, 0.113115, 0.158566, 0.713366
0.005, 0.118911, 0.153398, 0.775178
0.006, 0.123879, 0.149384, 0.829268
0.007, 0.128247, 0.146141, 0.877552
0.008, 0.132152, 0.143449, 0.92125
0.009, 0.135692, 0.141167, 0.961216
