# mu value:
1.414214
# num_x_vals
36
# x, INITIALPDFS_SAL4VADIM, SAL, ratio
0.0001, 2.28035, 5.14321, 0.443371
0.0002, 1.96058, 3.46353, 0.566063
0.0003, 1.79428, 2.74811, 0.652915
0.0004, 1.68462, 2.3317, 0.722487
0.0005, 1.60403, 2.05258, 0.781469
0.0006, 1.54093, 1.8495, 0.83316
0.0007, 1.48939, 1.69337, 0.879546
0.0008, 1.44607, 1.5688, 0.921768
0.0009, 1.40883, 1.4665, 0.960674
0.001, 1.37626, 1.38058, 0.996871
0.002, 1.17836, 0.927195, 1.27089
0.003, 1.07435, 0.733686, 1.46432
0.004, 1.00507, 0.62083, 1.61892
0.005, 0.95366, 0.545031, 1.74974
0.006, 0.913033, 0.489774, 1.86419
0.007, 0.879548, 0.447209, 1.96675
0.008, 0.85115, 0.413185, 2.05997
0.009, 0.826529, 0.385191, 2.14577
0.01, 0.804815, 0.361634, 2.22549
0.02, 0.667819, 0.236297, 2.82619
0.03, 0.590572, 0.181862, 3.24737
0.04, 0.536045, 0.149627, 3.58255
0.05, 0.493528, 0.12768, 3.86535
0.06, 0.458463, 0.111487, 4.11225
0.07, 0.428477, 0.098881, 4.33326
0.08, 0.402217, 0.0887105, 4.53405
0.09, 0.378769, 0.0802748, 4.71841
0.1, 0.357653, 0.0731294, 4.89069
0.2, 0.214699, 0.0345977, 6.2056
0.3, 0.132046, 0.018395, 7.17838
0.4, 0.079372, 0.0098321, 8.07274
0.5, 0.0456334, 0.00501035, 9.10781
0.6, 0.0248893, 0.00231219, 10.7644
0.7, 0.0129571, 0.000893502, 14.5014
0.8, 0.00674939, 0.000245384, 27.5055
0.9, 0.00350374, 2.85672e-05, 122.649
0.0001, 0.0211849, 0.283756, 0.0746589
0.0002, 0.0206531, 0.253999, 0.081312
0.0003, 0.0208679, 0.238077, 0.0876519
0.0004, 0.0212906, 0.227399, 0.0936267
0.0005, 0.0217901, 0.219457, 0.0992911
0.0006, 0.0223195, 0.213184, 0.104696
0.0007, 0.0228581, 0.208025, 0.109882
0.0008, 0.0233966, 0.203664, 0.114879
0.0009, 0.0239301, 0.199898, 0.119711
0.001, 0.024456, 0.196593, 0.124399
0.002, 0.0292247, 0.176321, 0.165748
0.003, 0.0332695, 0.165628, 0.200869
0.004, 0.0368261, 0.158566, 0.232244
0.005, 0.0400337, 0.153398, 0.260979
0.006, 0.0429766, 0.149385, 0.28769
0.007, 0.04571, 0.146142, 0.312779
0.008, 0.0482717, 0.143449, 0.336507
0.009, 0.0506895, 0.141167, 0.359074
0.01, 0.0529844, 0.139202, 0.380629
0.02, 0.0715824, 0.128267, 0.558072
0.03, 0.0856858, 0.123702, 0.692677
0.04, 0.0973044, 0.121382, 0.801638
0.05, 0.107257, 0.120111, 0.892983
0.06, 0.115978, 0.11939, 0.971424
0.07, 0.123734, 0.118965, 1.04008
0.08, 0.130698, 0.118699, 1.10108
0.09, 0.136994, 0.118508, 1.15599
0.1, 0.142718, 0.11834, 1.206
0.2, 0.178877, 0.114496, 1.5623
0.3, 0.191617, 0.106447, 1.80011
0.4, 0.190137, 0.0973483, 1.95316
0.5, 0.1786, 0.0896619, 1.99193
0.6, 0.159477, 0.0844964, 1.88738
0.7, 0.13437, 0.0817073, 1.64452
0.8, 0.104282, 0.079757, 1.3075
0.9, 0.0691795, 0.0744999, 0.928585
0.0001, 0.0211971, 0.283905, 0.0746629
0.0002, 0.0206773, 0.254295, 0.0813122
0.0003, 0.0209039, 0.238521, 0.0876395
0.0004, 0.0213384, 0.227991, 0.0935933
0.0005, 0.0218498, 0.220197, 0.0992282
0.0006, 0.0223909, 0.214072, 0.104595
0.0007, 0.0229414, 0.209061, 0.109735
0.0008, 0.0234916, 0.204847, 0.114679
0.0009, 0.0240368, 0.201229, 0.11945
