# mu value:
1.414214
# num_x_vals
36
# x, INITIALPDFS_SAL4VADIM, SAL, ratio
0.0001, 3.86765, 5.14321, 0.751993
0.0002, 3.29335, 3.46353, 0.950866
0.0003, 2.99639, 2.74811, 1.09035
0.0004, 2.80131, 2.3317, 1.2014
0.0005, 2.65832, 2.05258, 1.29511
0.0006, 2.54664, 1.8495, 1.37693
0.0007, 2.45559, 1.69337, 1.45013
0.0008, 2.37919, 1.5688, 1.51657
0.0009, 2.31361, 1.4665, 1.57764
0.001, 2.25634, 1.38058, 1.63435
0.002, 1.91017, 0.927195, 2.06016
0.003, 1.7297, 0.733686, 2.35755
0.004, 1.6102, 0.62083, 2.59363
0.005, 1.52195, 0.545031, 2.79241
0.006, 1.4525, 0.489775, 2.96564
0.007, 1.39546, 0.447209, 3.12037
0.008, 1.34724, 0.413185, 3.26063
0.009, 1.30557, 0.385191, 3.38941
0.01, 1.26892, 0.361634, 3.50884
0.02, 1.04021, 0.236297, 4.40214
0.03, 0.91345, 0.181862, 5.02277
0.04, 0.825027, 0.149627, 5.51391
0.05, 0.756696, 0.12768, 5.9265
0.06, 0.700743, 0.111487, 6.28542
0.07, 0.653173, 0.098881, 6.60564
0.08, 0.611717, 0.0887105, 6.89565
0.09, 0.574868, 0.0802748, 7.16124
0.1, 0.541771, 0.0731293, 7.40839
0.2, 0.32041, 0.0345977, 9.26103
0.3, 0.194248, 0.018395, 10.5598
0.4, 0.114303, 0.00983206, 11.6255
0.5, 0.0631496, 0.00501027, 12.604
0.6, 0.031613, 0.00231206, 13.6731
0.7, 0.0135117, 0.000893351, 15.1248
0.8, 0.00447067, 0.000245301, 18.2253
0.9, 0.000933694, 2.86758e-05, 32.5604
0.0001, 0.0103875, 0.283756, 0.0366071
0.0002, 0.0103249, 0.253999, 0.0406494
0.0003, 0.0106068, 0.238077, 0.0445521
0.0004, 0.0109772, 0.227399, 0.0482729
0.0005, 0.0113755, 0.219457, 0.0518348
0.0006, 0.0117809, 0.213184, 0.0552618
0.0007, 0.0121849, 0.208025, 0.058574
0.0008, 0.0125836, 0.203664, 0.0617863
0.0009, 0.0129756, 0.199898, 0.0649109
0.001, 0.0133601, 0.196593, 0.0679579
0.002, 0.0168239, 0.176321, 0.0954164
0.003, 0.0197777, 0.165628, 0.11941
0.004, 0.0224002, 0.158566, 0.141267
0.005, 0.0247875, 0.153398, 0.161589
0.006, 0.0269963, 0.149385, 0.180716
0.007, 0.0290635, 0.146142, 0.198872
0.008, 0.0310144, 0.143449, 0.216205
0.009, 0.0328675, 0.141167, 0.232826
0.01, 0.0346366, 0.139202, 0.248822
0.02, 0.0493228, 0.128267, 0.384531
0.03, 0.0608437, 0.123702, 0.491855
0.04, 0.0705677, 0.121382, 0.581369
0.05, 0.0790617, 0.120111, 0.658237
0.06, 0.0866297, 0.11939, 0.725603
0.07, 0.0934603, 0.118965, 0.78561
0.08, 0.099678, 0.118699, 0.839754
0.09, 0.105373, 0.118508, 0.889165
0.1, 0.110613, 0.11834, 0.934705
0.2, 0.145729, 0.114496, 1.27279
0.3, 0.160746, 0.106447, 1.5101
0.4, 0.162923, 0.0973483, 1.67361
0.5, 0.155757, 0.0896619, 1.73716
0.6, 0.141483, 0.0844964, 1.67443
0.7, 0.121725, 0.0817072, 1.48978
0.8, 0.0978085, 0.079757, 1.22633
0.9, 0.0708074, 0.0745, 0.950435
0.0001, 0.010402, 0.283905, 0.0366392
0.0002, 0.0103538, 0.254295, 0.0407156
0.0003, 0.01065, 0.238521, 0.04465
0.0004, 0.0110346, 0.227991, 0.0483991
0.0005, 0.0114471, 0.220197, 0.0519855
0.0006, 0.0118666, 0.214072, 0.0554328
0.0007, 0.0122847, 0.209061, 0.0587612
0.0008, 0.0126975, 0.204847, 0.0619853
0.0009, 0.0131035, 0.201229, 0.0651175
0.001, 0.013502, 0.198071, 0.0681678
0.002, 0.0171053, 0.179264, 0.0954197
0.003, 0.0201974, 0.170026, 0.11879
0.004, 0.0229571, 0.164408, 0.139635
0.005, 0.0254807, 0.160672, 0.158588
0.006, 0.027825, 0.158079, 0.176019
0.007, 0.0300269, 0.156246, 0.192178
0.008, 0.0321118, 0.154952, 0.207237
0.009, 0.0340981, 0.154058, 0.221333
0.01, 0.0359998, 0.153469, 0.234574
0.02, 0.0519769, 0.155717, 0.33379
0.03, 0.0647302, 0.16332, 0.39634
0.04, 0.0756327, 0.172216, 0.439174
0.05, 0.0852541, 0.181272, 0.470311
0.06, 0.0939011, 0.190044, 0.4941
0.07, 0.101764, 0.198336, 0.513091
0.08, 0.108971, 0.206058, 0.528834
0.09, 0.115611, 0.213177, 0.542325
0.1, 0.121758, 0.219686, 0.554236
0.2, 0.164114, 0.256165, 0.640657
0.3, 0.184224, 0.26029, 0.707765
0.4, 0.190981, 0.253919, 0.752135
0.5, 0.189457, 0.249712, 0.758702
0.6, 0.183443, 0.253343, 0.724091
0.7, 0.17598, 0.264893, 0.664342
0.8, 0.169743, 0.27861, 0.609247
0.9, 0.166685, 0.278168, 0.599224
0.0001, 0.00876205, 0.0851616, 0.102887
0.0002, 0.00791139, 0.0762688, 0.10373
0.0003, 0.00756575, 0.0715268, 0.105775
0.0004, 0.00739436, 0.0683579, 0.108171
0.0005, 0.00730699, 0.0660099, 0.110695
0.0006, 0.00726724, 0.0641625, 0.113263
0.0007, 0.00725707, 0.0626492, 0.115837
0.0008, 0.00726668, 0.0613753, 0.118398
0.0009, 0.00729004, 0.06028, 0.120936
0.001, 0.00732327, 0.0593227, 0.123448
0.002, 0.00787296, 0.0535831, 0.14693
0.003, 0.00851357, 0.0507147, 0.167872
0.004, 0.00914537, 0.0489328, 0.186896
0.005, 0.00975337, 0.0477167, 0.204402
0.006, 0.0103362, 0.0468442, 0.22065
0.007, 0.0108953, 0.0462001, 0.235829
0.008, 0.011433, 0.0457187, 0.250073
0.009, 0.0119514, 0.045358, 0.26349
0.01, 0.0124523, 0.0450896, 0.276167
0.02, 0.0167722, 0.0448852, 0.373668
0.03, 0.0202981, 0.0463548, 0.437885
0.04, 0.0233392, 0.0482758, 0.483455
0.05, 0.0260356, 0.0503041, 0.517564
0.06, 0.0284658, 0.052303, 0.544247
0.07, 0.0306796, 0.0542093, 0.565947
0.08, 0.0327109, 0.0559935, 0.584191
0.09, 0.0345841, 0.0576418, 0.599984
0.1, 0.0363187, 0.0591493, 0.614018
0.2, 0.0482562, 0.0674049, 0.715915
0.3, 0.0538235, 0.0678309, 0.793496
0.4, 0.0554817, 0.0657376, 0.843988
0.5, 0.054616, 0.0642436, 0.850139
0.6, 0.0522455, 0.0647464, 0.806925
0.7, 0.04918, 0.0672556, 0.73124
0.8, 0.0461278, 0.0703262, 0.655912
0.9, 0.0436138, 0.0698726, 0.62419
0.0001, 0.00806433, 1.29096e-07, 62467.5
0.0002, 0.00687487, 9.77822e-08, 70308.1
0.0003, 0.00625922, 8.25362e-08, 75836.1
0.0004, 0.0058546, 7.29189e-08, 80289.2
0.0005, 0.00555805, 6.60915e-08, 84096.2
0.0006, 0.00532648, 6.08996e-08, 87463.4
0.0007, 0.00513782, 5.67642e-08, 90511.6
0.0008, 0.00497963, 5.33657e-08, 93311.4
0.0009, 0.004844, 5.05038e-08, 95913.6
0.001, 0.00472569, 4.80476e-08, 98354.3
0.002, 0.00401648, 3.4176e-08, 117523
0.003, 0.0036559, 2.77301e-08, 131839
0.004, 0.00342485, 2.38251e-08, 143750
0.005, 0.00326072, 2.11541e-08, 154141
0.006, 0.00313715, 1.91933e-08, 163451
0.007, 0.00304056, 1.76832e-08, 171947
0.008, 0.00296326, 1.64824e-08, 179783
0.009, 0.00290032, 1.55033e-08, 187077
0.01, 0.00284847, 1.46893e-08, 193915
0.02, 0.00263675, 1.0712e-08, 246150
0.03, 0.00265205, 9.40618e-09, 281948
0.04, 0.00274908, 8.89074e-09, 309207
0.05, 0.00288473, 8.70741e-09, 331296
0.06, 0.00304043, 8.6878e-09, 349965
0.07, 0.0032065, 8.74753e-09, 366560
0.08, 0.0033775, 8.85709e-09, 381333
0.09, 0.0035499, 8.98962e-09, 394889
0.1, 0.0037218, 9.03984e-09, 411712
0.2, 0.0052457, 1.04007e-08, 504362
0.3, 0.00642583, 1.10611e-08, 580938
0.4, 0.00755579, 1.06928e-08, 706625
0.5, 0.00901522, 9.28831e-09, 970598
0.6, 0.0112053, 6.39936e-09, 1.751e+06
0.7, 0.014516, 4.9647e-09, 2.92384e+06
0.8, 0.0193323, 1.17578e-08, 1.64421e+06
0.9, 0.0259708, 3.90806e-08, 664545
0.0001, -8.67362e-19, -2.77556e-17, 0.03125
0.0002, -8.62555e-19, -1.04358e-17, 0.0826534
0.0003, -5.38793e-19, -1.60103e-17, 0.0336529
0.0004, -5.01977e-19, -2.03506e-17, 0.0246665
0.0005, -8.83135e-19, -3.54403e-18, 0.249189
0.0006, -1.17519e-18, -8.33082e-18, 0.141065
0.0007, -4.55025e-19, -1.06551e-17, 0.042705
0.0008, -6.12013e-19, -6.93998e-18, 0.0881865
0.0009, -4.54261e-19, -9.01747e-18, 0.0503757
0.001, -8.67362e-19, -1.21431e-17, 0.0714286
0.002, -1.09466e-18, -1.33983e-17, 0.0817011
0.003, -3.5893e-19, -1.48388e-17, 0.0241886
0.004, -1.11333e-18, -1.78813e-18, 0.622623
0.005, -2.16166e-18, -1.6162e-18, 1.33749
0.006, -1.1471e-18, -1.78298e-18, 0.643361
0.007, -1.25779e-18, -1.03695e-17, 0.121297
0.008, -1.05485e-18, -5.31011e-18, 0.198649
0.009, 8.09821e-19, -4.90386e-18, -0.165139
0.01, -1.41126e-32, -3.46945e-18, 4.06768e-15
0.02, -2.60142e-18, -5.26468e-18, 0.494127
0.03, -3.32663e-18, -8.72362e-18, 0.381336
0.04, -2.42924e-18, -1.05554e-17, 0.230143
0.05, -5.96127e-18, 3.42934e-18, -1.73831
0.06, -7.93164e-18, -9.03743e-19, 8.77643
0.07, -2.84964e-18, -4.46459e-18, 0.638277
0.08, -2.25575e-18, -1.3907e-17, 0.162203
0.09, -5.04322e-18, -8.92432e-18, 0.56511
0.1, -1.73472e-18, -1.04083e-17, 0.166667
0.2, -8.33194e-18, -6.44741e-18, 1.29229
0.3, -1.89268e-17, -1.46896e-17, 1.28845
0.4, -9.00561e-18, -1.01843e-17, 0.884264
