# mu value:
1.414214
# num_x_vals
36
# x, INITIALPDFS_SAL5, SAL, ratio
0.0001, 3.39937, 5.14321, 0.660943
0.0002, 2.81123, 3.46353, 0.811667
0.0003, 2.51518, 2.74811, 0.915242
0.0004, 2.32394, 2.3317, 0.99667
0.0005, 2.18551, 2.05258, 1.06476
0.0006, 2.07844, 1.8495, 1.12379
0.0007, 1.99188, 1.69337, 1.17628
0.0008, 1.91974, 1.5688, 1.2237
0.0009, 1.85821, 1.4665, 1.2671
0.001, 1.80476, 1.38058, 1.30725
0.002, 1.48785, 0.927195, 1.60467
0.003, 1.32714, 0.733686, 1.80887
0.004, 1.22258, 0.62083, 1.96926
0.005, 1.14636, 0.545031, 2.10329
0.006, 1.087, 0.489774, 2.21939
0.007, 1.03868, 0.447209, 2.32259
0.008, 0.998148, 0.413185, 2.41574
0.009, 0.963346, 0.385191, 2.50096
0.01, 0.932921, 0.361634, 2.57974
0.02, 0.747172, 0.236297, 3.16201
0.03, 0.647483, 0.181862, 3.5603
0.04, 0.579419, 0.149627, 3.87244
0.05, 0.527679, 0.12768, 4.13282
0.06, 0.485877, 0.111487, 4.35814
0.07, 0.450736, 0.098881, 4.55837
0.08, 0.42041, 0.0887105, 4.73912
0.09, 0.393698, 0.0802748, 4.90438
0.1, 0.369865, 0.0731294, 5.05768
0.2, 0.214746, 0.0345977, 6.20695
0.3, 0.129559, 0.018395, 7.04315
0.4, 0.0767816, 0.0098321, 7.80928
0.5, 0.0436066, 0.00501035, 8.70329
0.6, 0.0234384, 0.00231219, 10.1369
0.7, 0.012002, 0.000893502, 13.4325
0.8, 0.00613137, 0.000245384, 24.9869
0.9, 0.00314809, 2.85672e-05, 110.2
0.0001, 0.0229811, 0.283756, 0.0809889
0.0002, 0.0203937, 0.253999, 0.0802907
0.0003, 0.0194458, 0.238077, 0.0816785
0.0004, 0.0190471, 0.227399, 0.0837606
0.0005, 0.0189071, 0.219457, 0.0861539
0.0006, 0.0189105, 0.213184, 0.088705
0.0007, 0.019001, 0.208025, 0.0913401
0.0008, 0.0191484, 0.203664, 0.0940198
0.0009, 0.0193344, 0.199898, 0.0967212
0.001, 0.0195473, 0.196593, 0.0994304
0.002, 0.0222063, 0.176321, 0.125943
0.003, 0.0249871, 0.165628, 0.150863
0.004, 0.027648, 0.158566, 0.174363
0.005, 0.0301723, 0.153398, 0.196692
0.006, 0.0325715, 0.149385, 0.218037
0.007, 0.0348606, 0.146142, 0.23854
0.008, 0.037053, 0.143449, 0.258301
0.009, 0.03916, 0.141167, 0.277402
0.01, 0.0411912, 0.139202, 0.295909
0.02, 0.0585805, 0.128267, 0.456706
0.03, 0.0726641, 0.123702, 0.58741
0.04, 0.0847542, 0.121382, 0.698244
0.05, 0.0954356, 0.120111, 0.794559
0.06, 0.105034, 0.11939, 0.879751
0.07, 0.113755, 0.118965, 0.956203
0.08, 0.121739, 0.118699, 1.02561
0.09, 0.129087, 0.118508, 1.08927
0.1, 0.135878, 0.11834, 1.1482
0.2, 0.182156, 0.114496, 1.59094
0.3, 0.202659, 0.106447, 1.90385
0.4, 0.206165, 0.0973483, 2.11781
0.5, 0.196769, 0.0896619, 2.19456
0.6, 0.176846, 0.0844964, 2.09295
0.7, 0.14785, 0.0817073, 1.80951
0.8, 0.110532, 0.079757, 1.38586
0.9, 0.0645065, 0.0744999, 0.86586
