# mu value:
1.414214
# num_x_vals
36
# x, INITIALPDFS_SAL5, SAL, ratio
0.0001, 3.59731, 5.14321, 0.69943
0.0002, 3.10684, 3.46353, 0.897016
0.0003, 2.85011, 2.74811, 1.03712
0.0004, 2.68016, 2.3317, 1.14944
0.0005, 2.55489, 2.05258, 1.24472
0.0006, 2.4566, 1.8495, 1.32825
0.0007, 2.37617, 1.69337, 1.40323
0.0008, 2.30846, 1.5688, 1.47149
0.0009, 2.25019, 1.4665, 1.5344
0.001, 2.19916, 1.38058, 1.59293
0.002, 1.88799, 0.927195, 2.03624
0.003, 1.72367, 0.733686, 2.34933
0.004, 1.61395, 0.62083, 2.59966
0.005, 1.53239, 0.545031, 2.81157
0.006, 1.46788, 0.489775, 2.99704
0.007, 1.41465, 0.447209, 3.16329
0.008, 1.36949, 0.413185, 3.31447
0.009, 1.33031, 0.385191, 3.45365
0.01, 1.29575, 0.361634, 3.58303
0.02, 1.07739, 0.236297, 4.5595
0.03, 0.954058, 0.181862, 5.24606
0.04, 0.866867, 0.149627, 5.79354
0.05, 0.798775, 0.12768, 6.25607
0.06, 0.742529, 0.111487, 6.66022
0.07, 0.694356, 0.098881, 7.02213
0.08, 0.6521, 0.0887105, 7.35087
0.09, 0.614346, 0.0802748, 7.65303
0.1, 0.580225, 0.0731293, 7.93424
0.2, 0.347883, 0.0345977, 10.0551
0.3, 0.212471, 0.018395, 11.5505
0.4, 0.125513, 0.00983206, 12.7657
0.5, 0.0693777, 0.00501027, 13.8471
0.6, 0.0345148, 0.00231206, 14.9282
0.7, 0.0144792, 0.000893351, 16.2077
0.8, 0.00451402, 0.000245301, 18.402
0.9, 0.000756565, 2.86758e-05, 26.3834
0.0001, 0.00878063, 0.283756, 0.0309443
0.0002, 0.00844745, 0.253999, 0.0332579
0.0003, 0.00848959, 0.238077, 0.035659
0.0004, 0.00865029, 0.227399, 0.0380402
0.0005, 0.00886227, 0.219457, 0.0403827
0.0006, 0.0090996, 0.213184, 0.0426842
0.0007, 0.00935007, 0.208025, 0.0449469
0.0008, 0.00960743, 0.203664, 0.047173
0.0009, 0.00986808, 0.199898, 0.0493654
0.001, 0.0101299, 0.196593, 0.051527
0.002, 0.0126665, 0.176321, 0.0718377
0.003, 0.0149912, 0.165628, 0.0905111
0.004, 0.0171391, 0.158566, 0.108088
0.005, 0.0191495, 0.153398, 0.124835
0.006, 0.0210497, 0.149385, 0.140909
0.007, 0.0228592, 0.146142, 0.156418
0.008, 0.024592, 0.143449, 0.171434
0.009, 0.0262589, 0.141167, 0.186013
0.01, 0.0278681, 0.139202, 0.200199
0.02, 0.0417968, 0.128267, 0.325857
0.03, 0.0533105, 0.123702, 0.430958
0.04, 0.0633631, 0.121382, 0.522014
0.05, 0.0723713, 0.120111, 0.602535
0.06, 0.0805662, 0.11939, 0.674815
0.07, 0.0880951, 0.118965, 0.740511
0.08, 0.0950572, 0.118699, 0.800826
0.09, 0.101526, 0.118508, 0.8567
0.1, 0.107556, 0.11834, 0.908873
0.2, 0.150369, 0.114496, 1.31332
0.3, 0.171441, 0.106447, 1.61057
0.4, 0.177503, 0.0973483, 1.82338
0.5, 0.171865, 0.0896619, 1.91682
0.6, 0.156563, 0.0844964, 1.8529
0.7, 0.132946, 0.0817072, 1.6271
0.8, 0.101901, 0.079757, 1.27765
0.9, 0.0637884, 0.0745, 0.856221
0.0001, 0.00879615, 0.283905, 0.0309827
0.0002, 0.00847826, 0.254295, 0.0333403
0.0003, 0.00853561, 0.238521, 0.0357855
0.0004, 0.00871146, 0.227991, 0.0382096
0.0005, 0.00893856, 0.220197, 0.0405934
0.0006, 0.00919096, 0.214072, 0.0429339
0.0007, 0.00945647, 0.209061, 0.0452331
0.0008, 0.00972884, 0.204847, 0.0474932
0.0009, 0.0100045, 0.201229, 0.0497168
0.001, 0.0102812, 0.198071, 0.0519067
0.002, 0.0129663, 0.179264, 0.0723308
0.003, 0.015438, 0.170026, 0.0907979
0.004, 0.0177317, 0.164408, 0.107852
0.005, 0.0198867, 0.160672, 0.123772
0.006, 0.0219305, 0.158079, 0.138731
0.007, 0.0238827, 0.156246, 0.152853
0.008, 0.0257572, 0.154952, 0.166227
0.009, 0.0275648, 0.154058, 0.178925
0.01, 0.0293139, 0.153469, 0.191008
0.02, 0.0445965, 0.155717, 0.286393
0.03, 0.057388, 0.16332, 0.351384
0.04, 0.0686482, 0.172216, 0.398617
0.05, 0.0787978, 0.181272, 0.434695
0.06, 0.0880716, 0.190044, 0.463427
0.07, 0.0966198, 0.198336, 0.487153
0.08, 0.104545, 0.206058, 0.507356
0.09, 0.111922, 0.213177, 0.525019
0.1, 0.11881, 0.219686, 0.54082
0.2, 0.16792, 0.256165, 0.655515
0.3, 0.192587, 0.26029, 0.739895
0.4, 0.201277, 0.253919, 0.792682
0.5, 0.198626, 0.249712, 0.795419
0.6, 0.187611, 0.253343, 0.740541
0.7, 0.170049, 0.264893, 0.641951
0.8, 0.146687, 0.27861, 0.526495
0.9, 0.116348, 0.278168, 0.418264
0.0001, 0.00795378, 0.0851616, 0.0933963
0.0002, 0.00713724, 0.0762688, 0.0935801
0.0003, 0.00677472, 0.0715268, 0.0947158
0.0004, 0.0065747, 0.0683579, 0.0961805
0.0005, 0.00645553, 0.0660099, 0.0977963
0.0006, 0.00638353, 0.0641625, 0.0994901
0.0007, 0.00634171, 0.0626492, 0.101226
0.0008, 0.00632066, 0.0613753, 0.102984
0.0009, 0.00631448, 0.06028, 0.104753
0.001, 0.00631934, 0.0593227, 0.106525
0.002, 0.00663802, 0.0535831, 0.123883
0.003, 0.00711173, 0.0507147, 0.14023
0.004, 0.00761456, 0.0489328, 0.155612
0.005, 0.00811885, 0.0477167, 0.170147
0.006, 0.00861611, 0.0468442, 0.183931
0.007, 0.00910355, 0.0462001, 0.197046
0.008, 0.00958044, 0.0457187, 0.209552
0.009, 0.0100468, 0.045358, 0.221501
0.01, 0.0105031, 0.0450896, 0.232939
0.02, 0.0146154, 0.0448852, 0.325618
0.03, 0.018148, 0.0463548, 0.391503
0.04, 0.0212913, 0.0482758, 0.441036
0.05, 0.0241418, 0.0503041, 0.479917
0.06, 0.0267566, 0.052303, 0.511568
0.07, 0.0291735, 0.0542093, 0.538164
0.08, 0.0314189, 0.0559935, 0.561117
0.09, 0.0335126, 0.0576418, 0.581394
0.1, 0.0354703, 0.0591493, 0.599673
0.2, 0.0494767, 0.0674049, 0.734022
0.3, 0.0565, 0.0678309, 0.832954
0.4, 0.058862, 0.0657376, 0.895409
0.5, 0.0578319, 0.0642436, 0.900197
0.6, 0.0542242, 0.0647464, 0.837486
0.7, 0.0485443, 0.0672556, 0.721788
0.8, 0.041021, 0.0703262, 0.583297
0.9, 0.0314004, 0.0698726, 0.449395
0.0001, 0.00759799, 1.29096e-07, 58855.2
0.0002, 0.00657292, 9.77822e-08, 67220
0.0003, 0.00603561, 8.25362e-08, 73126.8
0.0004, 0.00567964, 7.29189e-08, 77889.8
0.0005, 0.00541719, 6.60915e-08, 81965
0.0006, 0.00521129, 6.08996e-08, 85571.8
