# mu value:
1.414214
# num_x_vals
36
# x, INITIALPDFS_SAL3, SAL, ratio, DeltaPDFs
0.0001, 1.14765, 5.14321, 0.223139, 8352.32
0.0002, 1.01547, 3.46353, 0.293189, 2784.2
0.0003, 0.945065, 2.74811, 0.343897, 1464.44
0.0004, 0.897903, 2.3317, 0.385085, 927.796
0.0005, 0.862819, 2.05258, 0.420358, 651.228
0.0006, 0.835077, 1.8495, 0.451514, 487.827
0.0007, 0.812225, 1.69337, 0.479652, 381.895
0.0008, 0.792873, 1.5688, 0.505402, 308.978
0.0009, 0.776128, 1.4665, 0.529239, 256.303
0.001, 0.761396, 1.38058, 0.551506, 216.796
0.002, 0.669876, 0.927195, 0.722476, 72.067
0.003, 0.620132, 0.733686, 0.845229, 37.8065
0.004, 0.586237, 0.62083, 0.94428, 23.894
0.005, 0.560635, 0.545031, 1.02863, 16.7345
0.006, 0.540107, 0.489774, 1.10277, 12.5115
0.007, 0.522978, 0.447209, 1.16943, 9.77871
0.008, 0.508295, 0.413185, 1.23019, 7.90149
0.009, 0.495442, 0.385191, 1.28623, 6.54848
0.01, 0.484011, 0.361634, 1.3384, 5.53625
0.02, 0.409643, 0.236297, 1.7336, 1.88021
0.03, 0.365917, 0.181862, 2.01206, 1.06137
0.04, 0.334284, 0.149627, 2.23412, 0.751299
0.05, 0.309202, 0.12768, 2.42169, 0.600735
0.06, 0.288262, 0.111487, 2.58561, 0.514145
0.07, 0.270189, 0.098881, 2.73247, 0.457378
0.08, 0.254242, 0.0887105, 2.86598, 0.416454
0.09, 0.23993, 0.0802748, 2.98886, 0.384711
0.1, 0.226949, 0.0731294, 3.10339, 0.358752
0.2, 0.137723, 0.0345977, 3.98071, 0.214304
0.3, 0.0853322, 0.018395, 4.63887, 0.139999
0.4, 0.0516668, 0.0098321, 5.25491, 0.091702
0.5, 0.0300184, 0.00501035, 5.99127, 0.05724
0.6, 0.0166661, 0.00231219, 7.20791, 0.0321128
0.7, 0.00904502, 0.000893502, 10.1231, 0.0148635
0.8, 0.00508335, 0.000245384, 20.7159, 0.00478203
0.9, 0.0028929, 2.85672e-05, 101.266, 0.000630067
0.0001, 0.0464466, 0.283756, 0.163685, 12.2499
