# mu value:
1.414214
# num_x_vals
36
# x, INITIALPDFS_SAL4VADIM, SAL, ratio, DeltaPDFs
0.0001, 2.28033, 5.14321, 0.443368, 184.979
0.0002, 1.96056, 3.46353, 0.566059, 84.5681
0.0003, 1.79427, 2.74811, 0.652911, 53.5113
0.0004, 1.68461, 2.3317, 0.722482, 38.6684
0.0005, 1.60402, 2.05258, 0.781463, 30.0597
0.0006, 1.54092, 1.8495, 0.833154, 24.4758
0.0007, 1.48938, 1.69337, 0.87954, 20.5689
0.0008, 1.44606, 1.5688, 0.921762, 17.6962
0.0009, 1.40882, 1.4665, 0.960667, 15.4988
0.001, 1.37625, 1.38058, 0.996864, 13.7655
0.002, 1.17835, 0.927195, 1.27088, 6.33847
0.003, 1.07434, 0.733686, 1.46431, 4.05641
0.004, 1.00506, 0.62083, 1.6189, 2.97485
0.005, 0.953654, 0.545031, 1.74972, 2.35359
0.006, 0.913027, 0.489774, 1.86418, 1.95482
0.007, 0.879542, 0.447209, 1.96674, 1.67886
0.008, 0.851144, 0.413185, 2.05996, 1.47816
0.009, 0.826523, 0.385191, 2.14575, 1.3263
0.01, 0.804809, 0.361634, 2.22548, 1.20775
0.02, 0.667814, 0.236297, 2.82617, 0.715516
0.03, 0.590568, 0.181862, 3.24734, 0.565528
0.04, 0.536042, 0.149627, 3.58253, 0.488952
0.05, 0.493525, 0.12768, 3.86532, 0.439672
0.06, 0.45846, 0.111487, 4.11223, 0.403738
0.07, 0.428475, 0.098881, 4.33324, 0.375471
0.08, 0.402215, 0.0887105, 4.53402, 0.35217
0.09, 0.378766, 0.0802748, 4.71837, 0.332306
0.1, 0.357651, 0.0731294, 4.89066, 0.314972
0.2, 0.214698, 0.0345977, 6.20556, 0.205843
0.3, 0.132046, 0.018395, 7.17833, 0.141248
0.4, 0.0793715, 0.0098321, 8.07269, 0.0937038
0.5, 0.0456331, 0.00501035, 9.10776, 0.0574781
0.6, 0.0248892, 0.00231219, 10.7643, 0.0311024
0.7, 0.012957, 0.000893502, 14.5014, 0.0137644
0.8, 0.00674938, 0.000245384, 27.5054, 0.00425607
0.9, 0.00350373, 2.85672e-05, 122.649, 0.000682074
0.0001, 0.0211848, 0.283756, 0.0746585, 0.362063
0.0002, 0.0206531, 0.253999, 0.0813117, 0.170468
0.0003, 0.0208678, 0.238077, 0.0876516, 0.113934
0.0004, 0.0212905, 0.227399, 0.0936264, 0.089053
0.0005, 0.0217901, 0.219457, 0.0992908, 0.0762171
0.0006, 0.0223194, 0.213184, 0.104695, 0.0690408
0.0007, 0.0228581, 0.208025, 0.109881, 0.0648371
0.0008, 0.0233966, 0.203664, 0.114878, 0.0623296
0.0009, 0.0239301, 0.199898, 0.119711, 0.0608328
0.001, 0.024456, 0.196593, 0.124399, 0.0599626
