ALEPH1,      Xi90Rescaled:  7.840238, Xi90:  8.637504, Xi50:  5.170499
ALEPH2,      Xi90Rescaled: 21.932069, Xi90: 11.770914, Xi50:  7.669249
AMY,         Xi90Rescaled: 14.585463, Xi90:  6.680783, Xi50:  3.672061
DELPHI,      Xi90Rescaled:  8.197710, Xi90:  3.889720, Xi50:  1.678347
JADE,        Xi90Rescaled: 29.540135, Xi90:  6.680783, Xi50:  3.672061
L3,          Xi90Rescaled: 29.692000, Xi90: 16.003450, Xi50: 11.168439
OPAL1,       Xi90Rescaled: 16.558974, Xi90: 21.292373, Xi50: 15.667930
OPAL2_less,  Xi90Rescaled: 19.480966, Xi90:  7.993590, Xi50:  4.670909
PLUTO,       Xi90Rescaled: 11.210654, Xi90: 13.601786, Xi50:  9.168826
TASSO,       Xi90Rescaled: 16.681688, Xi90:  4.618178, Xi50:  2.175730
TOPAZ,       Xi90Rescaled: 28.730855, Xi90:  6.680783, Xi50:  3.672061
