# mu value:
3.162278
# num_x_vals
36
# x, apfel++, lhapdf, ratio
0.0001, 17.0365, 17.9745, 0.947817
0.0002, 13.9843, 14.6941, 0.951697
0.0003, 12.4197, 13.022, 0.953749
0.0004, 11.3992, 11.9354, 0.955074
0.0005, 10.6559, 11.1457, 0.956047
0.0006, 10.0785, 10.5334, 0.956814
0.0007, 9.6102, 10.0377, 0.957411
0.0008, 9.21906, 9.62403, 0.957921
0.0009, 8.88484, 9.27099, 0.958348
0.001, 8.59413, 8.96424, 0.958713
0.002, 6.86602, 7.14579, 0.960849
0.003, 5.99074, 6.22802, 0.961902
0.004, 5.42414, 5.63514, 0.962558
0.005, 5.01373, 5.20613, 0.963044
0.006, 4.69631, 4.87443, 0.963458
0.007, 4.43974, 4.60657, 0.963783
0.008, 4.22605, 4.38352, 0.964078
0.009, 4.04389, 4.19358, 0.964306
0.01, 3.88577, 4.02844, 0.964584
0.02, 2.95163, 3.05332, 0.966695
0.03, 2.48133, 2.56183, 0.968575
0.04, 2.17714, 2.24369, 0.970339
0.05, 1.95651, 2.01278, 0.972044
0.06, 1.78547, 1.83362, 0.973736
0.07, 1.64681, 1.68843, 0.975348
0.08, 1.53095, 1.56713, 0.976917
0.09, 1.43175, 1.46336, 0.978397
0.1, 1.34599, 1.37307, 0.980275
0.2, 0.829988, 0.833962, 0.995235
0.3, 0.565398, 0.56096, 1.00791
0.4, 0.39586, 0.38744, 1.02173
0.5, 0.276058, 0.266231, 1.03691
0.6, 0.186671, 0.177543, 1.05141
0.7, 0.117969, 0.111257, 1.06033
0.8, 0.0650361, 0.061562, 1.05643
0.9, 0.0258878, 0.0249469, 1.03772
0.0001, 0.747342, 0.880565, 0.848707
0.0002, 0.619764, 0.717081, 0.864288
0.0003, 0.554127, 0.634328, 0.873564
0.0004, 0.511257, 0.580869, 0.880158
0.0005, 0.480021, 0.542224, 0.885282
0.0006, 0.455763, 0.512399, 0.889468
0.0007, 0.436098, 0.488364, 0.892976
0.0008, 0.419684, 0.468391, 0.896011
0.0009, 0.405671, 0.451414, 0.898669
0.001, 0.393496, 0.436718, 0.901029
0.002, 0.321561, 0.351017, 0.916083
0.003, 0.285678, 0.309072, 0.924312
0.004, 0.262827, 0.28268, 0.929771
0.005, 0.246551, 0.264039, 0.93377
0.006, 0.234177, 0.249951, 0.936891
0.007, 0.224346, 0.23882, 0.939391
0.008, 0.216301, 0.229745, 0.941483
0.009, 0.209563, 0.222181, 0.94321
0.01, 0.203814, 0.215726, 0.944782
0.02, 0.172674, 0.180958, 0.954219
0.03, 0.159852, 0.166538, 0.959852
0.04, 0.153198, 0.158858, 0.964371
0.05, 0.14944, 0.154324, 0.968353
0.06, 0.14727, 0.151513, 0.971996
0.07, 0.146047, 0.149746, 0.9753
0.08, 0.145429, 0.148652, 0.978316
0.09, 0.1452, 0.148005, 0.98105
0.1, 0.145248, 0.147671, 0.98359
0.2, 0.149721, 0.150237, 0.996563
0.3, 0.153888, 0.154663, 0.994989
0.4, 0.157414, 0.159375, 0.987694
