# mu value:
3.162278
# num_x_vals
36
# x, apfel++, lhapdf, ratio
0.0001, 35.9925, 35.5373, 1.01281
0.0002, 27.9188, 27.6526, 1.00963
0.0003, 23.9662, 23.7783, 1.0079
0.0004, 21.4632, 21.3205, 1.0067
0.0005, 19.6801, 19.5666, 1.0058
0.0006, 18.3196, 18.2264, 1.00511
0.0007, 17.2324, 17.155, 1.00451
0.0008, 16.3359, 16.2706, 1.00402
0.0009, 15.5786, 15.523, 1.00358
0.001, 14.9265, 14.8791, 1.00319
0.002, 11.1871, 11.1788, 1.00074
0.003, 9.39134, 9.39718, 0.999378
0.004, 8.26829, 8.28173, 0.998378
0.005, 7.47575, 7.49381, 0.997591
0.006, 6.8756, 6.8965, 0.996969
0.007, 6.39901, 6.4222, 0.99639
0.008, 6.00822, 6.03308, 0.995879
0.009, 5.6796, 5.70615, 0.995347
0.01, 5.39782, 5.4251, 0.994973
0.02, 3.80561, 3.83691, 0.991843
0.03, 3.05683, 3.08898, 0.989593
0.04, 2.59446, 2.62678, 0.987698
0.05, 2.27113, 2.30324, 0.986057
0.06, 2.02805, 2.05961, 0.984677
0.07, 1.83621, 1.86716, 0.983423
0.08, 1.6797, 1.70998, 0.982293
0.09, 1.54852, 1.57816, 0.981223
0.1, 1.43831, 1.46553, 0.981424
0.2, 0.816909, 0.83483, 0.978534
0.3, 0.529423, 0.543448, 0.974193
0.4, 0.356231, 0.367184, 0.970169
0.5, 0.238494, 0.247016, 0.965497
0.6, 0.154254, 0.159701, 0.965898
0.7, 0.0908402, 0.0944797, 0.961479
0.8, 0.0447336, 0.0464714, 0.962606
0.9, 0.0140911, 0.014381, 0.979836
0.0001, 0.73709, 0.727114, 1.01372
0.0002, 0.592501, 0.587869, 1.00788
0.0003, 0.520474, 0.517856, 1.00505
0.0004, 0.474429, 0.47287, 1.0033
0.0005, 0.441434, 0.440507, 1.0021
0.0006, 0.41616, 0.41564, 1.00125
0.0007, 0.395912, 0.395683, 1.00058
0.0008, 0.379191, 0.379166, 1.00007
0.0009, 0.365051, 0.365178, 0.999651
0.001, 0.352872, 0.353117, 0.999306
0.002, 0.28328, 0.283905, 0.997799
0.003, 0.25046, 0.251106, 0.997426
0.004, 0.23044, 0.231065, 0.997294
0.005, 0.216704, 0.2173, 0.997255
0.006, 0.206611, 0.207177, 0.997267
0.007, 0.198844, 0.19939, 0.99726
0.008, 0.192681, 0.193208, 0.997273
0.009, 0.187671, 0.188196, 0.997214
0.01, 0.183519, 0.184023, 0.997261
0.02, 0.163842, 0.164245, 0.997543
0.03, 0.158175, 0.158441, 0.998322
0.04, 0.156577, 0.156654, 0.99951
0.05, 0.156618, 0.156468, 1.00095
0.06, 0.157406, 0.157004, 1.00256
0.07, 0.158541, 0.157877, 1.0042
0.08, 0.159829, 0.158901, 1.00584
0.09, 0.161161, 0.159972, 1.00743
0.1, 0.162488, 0.161036, 1.00901
0.2, 0.171389, 0.168406, 1.01772
0.3, 0.172562, 0.170065, 1.01468
0.4, 0.168679, 0.168055, 1.00371
0.5, 0.161835, 0.163563, 0.989435
0.6, 0.153542, 0.157028, 0.977803
0.7, 0.144192, 0.148269, 0.972502
0.8, 0.133458, 0.136193, 0.979917
0.9, 0.117807, 0.117027, 1.00666
0.0001, 0.735359, 0.734295, 1.00145
0.0002, 0.5906, 0.586493, 1.007
0.0003, 0.518893, 0.513899, 1.00972
0.0004, 0.473241, 0.46798, 1.01124
