# mu value:
1.300000
# num_x_vals
36
# x, apfel++, lhapdf, ratio
0.0001, 13.8349, 13.8349, 1
0.0002, 11.3685, 11.3685, 1
0.0003, 10.1016, 10.1014, 1.00002
0.0004, 9.27437, 9.27434, 1
0.0005, 8.67143, 8.67143, 1
0.0006, 8.20288, 8.20278, 1.00001
0.0007, 7.82275, 7.82272, 1
0.0008, 7.50512, 7.50507, 1.00001
0.0009, 7.23368, 7.23363, 1.00001
0.001, 6.99752, 6.99752, 1
0.002, 5.59333, 5.59332, 1
0.003, 4.88211, 4.88204, 1.00001
0.004, 4.42193, 4.42191, 1
0.005, 4.0888, 4.08879, 1
0.006, 3.83131, 3.83122, 1.00002
0.007, 3.62329, 3.62327, 1
0.008, 3.45021, 3.45016, 1.00001
0.009, 3.30283, 3.30284, 0.999998
0.01, 3.17482, 3.17482, 1
0.02, 2.42138, 2.42137, 1
0.03, 2.04445, 2.04443, 1.00001
0.04, 1.80207, 1.80206, 1.00001
0.05, 1.62719, 1.62719, 1
0.06, 1.49225, 1.4922, 1.00004
0.07, 1.38329, 1.38328, 1.00001
0.08, 1.29264, 1.29263, 1.00001
0.09, 1.21534, 1.21532, 1.00001
0.1, 1.14824, 1.14824, 1
0.2, 0.749729, 0.749729, 1
0.3, 0.545298, 0.545298, 1
0.4, 0.409416, 0.409416, 1
0.5, 0.306777, 0.306777, 1
0.6, 0.222546, 0.222546, 1
0.7, 0.14962, 0.149621, 1
0.8, 0.0855243, 0.0855239, 1
0.9, 0.0324019, 0.0324018, 1
0.0001, 0.219224, 0.219224, 1
0.0002, 0.186191, 0.186191, 1
0.0003, 0.169309, 0.169307, 1.00001
0.0004, 0.158388, 0.158388, 1
0.0005, 0.150516, 0.150516, 1
0.0006, 0.144471, 0.144469, 1.00001
0.0007, 0.139627, 0.139626, 1
0.0008, 0.135631, 0.135631, 1
0.0009, 0.132261, 0.132261, 1.00001
0.001, 0.129368, 0.129368, 1
0.002, 0.113255, 0.113255, 1
0.003, 0.106234, 0.106233, 1.00001
0.004, 0.10237, 0.10237, 1
0.005, 0.100036, 0.100036, 1
0.006, 0.0985716, 0.098571, 1.00001
0.007, 0.0976507, 0.0976504, 1
0.008, 0.097094, 0.0970929, 1.00001
0.009, 0.0967964, 0.0967975, 0.999989
0.01, 0.0966736, 0.0966736, 1
0.02, 0.0996226, 0.0996225, 1
