# mu value:
3.162278
# num_x_vals
36
# x, apfel++, lhapdf, ratio
0.0001, 35.9264, 35.5373, 1.01095
0.0002, 27.8709, 27.6526, 1.0079
0.0003, 23.9268, 23.7783, 1.00625
0.0004, 21.4291, 21.3205, 1.00509
0.0005, 19.6496, 19.5666, 1.00424
0.0006, 18.2918, 18.2264, 1.00359
0.0007, 17.2067, 17.155, 1.00301
0.0008, 16.312, 16.2706, 1.00255
0.0009, 15.5561, 15.523, 1.00213
0.001, 14.9053, 14.8791, 1.00176
0.002, 11.1727, 11.1788, 0.999457
0.003, 9.38006, 9.39718, 0.998177
0.004, 8.25886, 8.28173, 0.997239
0.005, 7.46758, 7.49381, 0.9965
0.006, 6.86836, 6.8965, 0.99592
0.007, 6.39249, 6.4222, 0.995375
0.008, 6.00228, 6.03308, 0.994895
0.009, 5.67414, 5.70615, 0.99439
0.01, 5.39276, 5.4251, 0.99404
0.02, 3.80268, 3.83691, 0.991079
0.03, 3.0548, 3.08898, 0.988934
0.04, 2.59294, 2.62678, 0.987119
0.05, 2.26994, 2.30324, 0.985543
0.06, 2.0271, 2.05961, 0.984217
0.07, 1.83544, 1.86716, 0.983012
0.08, 1.67907, 1.70998, 0.981924
0.09, 1.548, 1.57816, 0.980893
0.1, 1.43787, 1.46553, 0.981129
0.2, 0.816899, 0.83483, 0.978522
0.3, 0.529538, 0.543448, 0.974405
0.4, 0.356385, 0.367184, 0.970588
0.5, 0.238648, 0.247016, 0.966122
0.6, 0.154387, 0.159701, 0.96673
0.7, 0.0909391, 0.0944797, 0.962525
0.8, 0.0447924, 0.0464714, 0.96387
0.9, 0.0141126, 0.014381, 0.98133
0.0001, 0.735376, 0.727114, 1.01136
0.0002, 0.591191, 0.587869, 1.00565
0.0003, 0.51936, 0.517856, 1.0029
0.0004, 0.473439, 0.47287, 1.0012
0.0005, 0.44053, 0.440507, 1.00005
0.0006, 0.415323, 0.41564, 0.999237
0.0007, 0.395128, 0.395683, 0.998596
0.0008, 0.37845, 0.379166, 0.998112
0.0009, 0.364346, 0.365178, 0.997722
0.001, 0.352198, 0.353117, 0.9974
0.002, 0.282785, 0.283905, 0.996055
0.003, 0.250049, 0.251106, 0.995791
0.004, 0.230081, 0.231065, 0.995742
0.005, 0.216382, 0.2173, 0.995772
0.006, 0.206316, 0.207177, 0.995845
0.007, 0.198571, 0.19939, 0.995891
0.008, 0.192426, 0.193208, 0.995951
0.009, 0.187431, 0.188196, 0.995935
0.01, 0.183291, 0.184023, 0.996022
0.02, 0.163685, 0.164245, 0.996585
0.03, 0.15805, 0.158441, 0.997537
0.04, 0.156474, 0.156654, 0.998848
0.05, 0.156529, 0.156468, 1.00039
0.06, 0.157328, 0.157004, 1.00206
0.07, 0.158472, 0.157877, 1.00377
0.08, 0.159769, 0.158901, 1.00546
0.09, 0.161107, 0.159972, 1.0071
0.1, 0.16244, 0.161036, 1.00871
0.2, 0.17138, 0.168406, 1.01766
0.3, 0.172577, 0.170065, 1.01477
0.4, 0.168713, 0.168055, 1.00391
0.5, 0.161883, 0.163563, 0.98973
0.6, 0.153603, 0.157028, 0.978191
0.7, 0.144265, 0.148269, 0.972994
0.8, 0.133543, 0.136193, 0.98054
0.9, 0.117903, 0.117027, 1.00748
0.0001, 0.733645, 0.734295, 0.999115
0.0002, 0.589289, 0.586493, 1.00477
0.0003, 0.517778, 0.513899, 1.00755
0.0004, 0.472248, 0.46798, 1.00912
0.0005, 0.439731, 0.435341, 1.01008
0.0006, 0.414896, 0.410511, 1.01068
0.0007, 0.395051, 0.390755, 1.01099
0.0008, 0.378701, 0.374525, 1.01115
0.0009, 0.364907, 0.360876, 1.01117
0.001, 0.35305, 0.349178, 1.01109
0.002, 0.285889, 0.283603, 1.00806
0.003, 0.254753, 0.253723, 1.00406
0.004, 0.236066, 0.236022, 1.00019
0.005, 0.223459, 0.224204, 0.99668
0.006, 0.214364, 0.215749, 0.993579
0.007, 0.207502, 0.209427, 0.990807
0.008, 0.202177, 0.204555, 0.988375
0.009, 0.197952, 0.200732, 0.986154
0.01, 0.194544, 0.197648, 0.984296
0.02, 0.181121, 0.185887, 0.974358
0.03, 0.180762, 0.185847, 0.972641
0.04, 0.184065, 0.188971, 0.974042
0.05, 0.188753, 0.193265, 0.976652
0.06, 0.193998, 0.198022, 0.979677
0.07, 0.199434, 0.202948, 0.982684
0.08, 0.204886, 0.207904, 0.985487
0.09, 0.210248, 0.212806, 0.98798
0.1, 0.215521, 0.217627, 0.990321
0.2, 0.258627, 0.259535, 0.996504
0.3, 0.287111, 0.291093, 0.986318
0.4, 0.306832, 0.314413, 0.975889
0.5, 0.322649, 0.331076, 0.974546
0.6, 0.339204, 0.343444, 0.987656
