# mu value:
1.300000
# num_x_vals
36
# x, INITIALPDFS_SAL3, SAL, ratio, DeltaPDFs
0.0001, 5.59648, 4.85535, 1.15264, 2.49689e+07
0.0002, 4.28564, 3.2409, 1.32236, 4.50451e+06
0.0003, 3.66584, 2.55496, 1.43479, 1.6553e+06
0.0004, 3.28085, 2.15646, 1.5214, 812386
0.0005, 3.01012, 1.88976, 1.59286, 467903
0.0006, 2.80551, 1.69598, 1.65421, 298406
0.0007, 2.64318, 1.54718, 1.70839, 203698
0.0008, 2.51012, 1.4286, 1.75706, 146425
0.0009, 2.39824, 1.33132, 1.80141, 109436
0.001, 2.30229, 1.24969, 1.84229, 84297
0.002, 1.75828, 0.820661, 2.14251, 15166.5
0.003, 1.49992, 0.638848, 2.34785, 5558.29
0.004, 1.33876, 0.533415, 2.5098, 2720.5
0.005, 1.22496, 0.462954, 2.64598, 1562.66
0.006, 1.1386, 0.411821, 2.7648, 993.893
0.007, 1.06981, 0.372597, 2.87122, 676.605
0.008, 1.01319, 0.341368, 2.96803, 485.045
0.009, 0.965398, 0.315772, 3.05727, 361.531
0.01, 0.924249, 0.294311, 3.14038, 277.724
0.02, 0.68674, 0.181833, 3.77676, 48.626
0.03, 0.569795, 0.134405, 4.23938, 17.3527
0.04, 0.494492, 0.107006, 4.62114, 8.28353
0.05, 0.439789, 0.0887576, 4.95494, 4.65621
0.06, 0.397207, 0.0755578, 5.257, 2.91396
0.07, 0.362516, 0.0654653, 5.53752, 1.96666
0.08, 0.333381, 0.0574526, 5.80271, 1.4116
0.09, 0.30834, 0.0509698, 6.04946, 1.06548
0.1, 0.286438, 0.0454818, 6.29785, 0.839237
0.2, 0.1541, 0.0170495, 9.03837, 0.277606
0.3, 0.0883294, 0.00639344, 13.8156, 0.195656
0.4, 0.0497985, 0.00126051, 39.5067, 0.160473
0.5, 0.0264486, -0.00122249, -21.635, 0.125511
0.6, 0.0126247, -0.00226269, -5.5795, 0.0850337
0.7, 0.00501947, -0.00227384, -2.20748, 0.0460265
0.8, 0.0014128, -0.00170359, -0.829307, 0.0170085
0.9, 0.000168779, -0.000823148, -0.205041, 0.00258921
0.0001, 0.0415167, 0.275961, 0.150444, 0.0345795
0.0002, 0.049581, 0.24899, 0.199129, 0.0362842
0.0003, 0.0550037, 0.234241, 0.234816, 0.0371356
0.0004, 0.0592059, 0.22424, 0.264029, 0.0376532
0.0005, 0.0626836, 0.216747, 0.289201, 0.0379956
0.0006, 0.0656747, 0.210799, 0.311552, 0.0382321
0.0007, 0.0683141, 0.205887, 0.331804, 0.0383989
0.0008, 0.0706849, 0.201722, 0.350408, 0.0385166
0.0009, 0.0728434, 0.198116, 0.36768, 0.0385986
0.001, 0.0748295, 0.194944, 0.383851, 0.0386536
0.002, 0.0892841, 0.175353, 0.509166, 0.0385239
0.003, 0.0989597, 0.164932, 0.600004, 0.0379901
0.004, 0.106424, 0.158016, 0.673498, 0.0373789
0.005, 0.112573, 0.15294, 0.736063, 0.0367661
0.006, 0.117838, 0.148987, 0.790929, 0.0361757
0.007, 0.122463, 0.145786, 0.840018, 0.0356162
0.008, 0.126598, 0.143124, 0.884533, 0.0350899
0.009, 0.130346, 0.140865, 0.925326, 0.0345969
0.01, 0.133778, 0.138916, 0.963015, 0.0341364
0.02, 0.158165, 0.128011, 1.23556, 0.0310154
0.03, 0.17369, 0.123409, 1.40744, 0.0298437
0.04, 0.185051, 0.121043, 1.5288, 0.0299117
0.05, 0.1939, 0.119731, 1.61946, 0.0307637
0.06, 0.201033, 0.118973, 1.68974, 0.0320913
0.07, 0.206909, 0.118517, 1.74582, 0.0336902
0.08, 0.211809, 0.118224, 1.79159, 0.0354274
0.09, 0.215926, 0.118012, 1.8297, 0.0372186
0.1, 0.219398, 0.117826, 1.86205, 0.0390105
0.2, 0.232925, 0.113897, 2.04505, 0.0534361
0.3, 0.226123, 0.105764, 2.13801, 0.0606626
0.4, 0.208648, 0.096479, 2.16262, 0.0622421
0.5, 0.184104, 0.088491, 2.08049, 0.0594136
0.6, 0.154328, 0.0828991, 1.86163, 0.0529762
0.7, 0.120409, 0.0795783, 1.51309, 0.0434722
0.8, 0.0830669, 0.0769751, 1.07914, 0.0312909
0.9, 0.0428061, 0.070946, 0.603362, 0.0167244
0.0001, 0.0415167, 0.276094, 0.150372, 0.0345795
0.0002, 0.049581, 0.249258, 0.198914, 0.0362842
0.0003, 0.0550037, 0.234645, 0.234412, 0.0371356
0.0004, 0.0592059, 0.22478, 0.263395, 0.0376532
0.0005, 0.0626836, 0.217424, 0.288301, 0.0379956
0.0006, 0.0656747, 0.211612, 0.310354, 0.0382321
0.0007, 0.0683141, 0.206837, 0.33028, 0.0383989
0.0008, 0.0706849, 0.202809, 0.348529, 0.0385166
0.0009, 0.0728434, 0.19934, 0.365422, 0.0385986
0.001, 0.0748295, 0.196306, 0.381189, 0.0386536
0.002, 0.0892841, 0.178087, 0.50135, 0.0385239
0.003, 0.0989597, 0.169036, 0.585436, 0.0379901
0.004, 0.106424, 0.163485, 0.650968, 0.0373789
0.005, 0.112573, 0.159767, 0.70461, 0.0367661
0.006, 0.117838, 0.157165, 0.749775, 0.0361757
0.007, 0.122463, 0.155306, 0.788525, 0.0356162
0.008, 0.126598, 0.153979, 0.822178, 0.0350899
0.009, 0.130346, 0.153045, 0.851681, 0.0345969
0.01, 0.133778, 0.152413, 0.877731, 0.0341364
0.02, 0.158165, 0.154184, 1.02582, 0.0310154
0.03, 0.17369, 0.161354, 1.07646, 0.0298437
0.04, 0.185051, 0.169884, 1.08928, 0.0299117
0.05, 0.1939, 0.178632, 1.08547, 0.0307637
0.06, 0.201033, 0.187145, 1.07421, 0.0320913
0.07, 0.206909, 0.195216, 1.0599, 0.0336902
0.08, 0.211809, 0.202751, 1.04467, 0.0354274
0.09, 0.215926, 0.209712, 1.02963, 0.0372186
0.1, 0.219398, 0.216083, 1.01534, 0.0390105
0.2, 0.232925, 0.251786, 0.925091, 0.0534361
0.3, 0.226123, 0.255338, 0.885583, 0.0606626
0.4, 0.208648, 0.248113, 0.840938, 0.0622421
0.5, 0.184104, 0.242688, 0.758605, 0.0594136
0.6, 0.154328, 0.244701, 0.630679, 0.0529762
0.7, 0.120409, 0.254323, 0.473449, 0.0434722
0.8, 0.0830669, 0.265768, 0.312555, 0.0312909
0.9, 0.0428061, 0.262793, 0.162889, 0.0167244
0.0001, 0.012455, 0.0767062, 0.162373, 0.0103739
0.0002, 0.0148743, 0.0706689, 0.210479, 0.0108853
0.0003, 0.0165011, 0.0671362, 0.245785, 0.0111407
0.0004, 0.0177618, 0.0646677, 0.274662, 0.011296
0.0005, 0.0188051, 0.0627869, 0.299507, 0.0113987
0.0006, 0.0197024, 0.0612778, 0.321526, 0.0114696
0.0007, 0.0204942, 0.0600234, 0.341438, 0.0115197
0.0008, 0.0212055, 0.0589551, 0.359689, 0.011555
0.0009, 0.021853, 0.0580279, 0.376595, 0.0115796
0.001, 0.0224489, 0.0572112, 0.392386, 0.0115961
0.002, 0.0267852, 0.0521961, 0.513165, 0.0115572
0.003, 0.0296879, 0.0496199, 0.598306, 0.011397
0.004, 0.0319271, 0.047998, 0.665176, 0.0112137
0.005, 0.033772, 0.0468819, 0.720363, 0.0110298
0.006, 0.0353514, 0.0460767, 0.76723, 0.0108527
0.007, 0.0367389, 0.0454801, 0.807802, 0.0106849
0.008, 0.0379794, 0.045033, 0.843368, 0.010527
0.009, 0.0391037, 0.0446975, 0.874851, 0.0103791
0.01, 0.0401333, 0.0444479, 0.90293, 0.0102409
0.02, 0.0474495, 0.0442805, 1.07157, 0.00930463
0.03, 0.0521071, 0.0457089, 1.13998, 0.00895312
0.04, 0.0555153, 0.0475777, 1.16684, 0.00897352
0.05, 0.0581699, 0.0495554, 1.17383, 0.00922911
0.06, 0.06031, 0.0515086, 1.17087, 0.00962738
0.07, 0.0620727, 0.0533747, 1.16296, 0.0101071
0.08, 0.0635427, 0.0551239, 1.15272, 0.0106282
0.09, 0.0647778, 0.0567422, 1.14162, 0.0111656
0.1, 0.0658193, 0.0582234, 1.13046, 0.0117032
0.2, 0.0698774, 0.0663258, 1.05355, 0.0160308
0.3, 0.067837, 0.0666235, 1.01821, 0.0181988
0.4, 0.0625943, 0.064323, 0.973123, 0.0186726
0.5, 0.0552313, 0.0625265, 0.883327, 0.0178241
0.6, 0.0462983, 0.0626239, 0.739307, 0.0158929
0.7, 0.0361228, 0.0646477, 0.558763, 0.0130417
0.8, 0.0249201, 0.0671444, 0.371142, 0.00938728
0.9, 0.0128418, 0.0660481, 0.194432, 0.00501733
0.0001, -1.73472e-18, -0.00873642, 1.98562e-16, 6.50521e-19
0.0002, -8.33675e-19, -0.00585066, 1.42492e-16, 8.4039e-19
0.0003, -1.16077e-18, -0.00462518, 2.50967e-16, 1.66324e-18
0.0004, -1.66951e-18, -0.00391404, 4.26545e-16, 1.13804e-18
0.0005, -8.78005e-19, -0.00343886, 2.55319e-16, 2.33985e-18
0.0006, 1.33603e-18, -0.00309431, -4.3177e-16, 1.19554e-18
0.0007, -2.47789e-18, -0.00283035, 8.7547e-16, 1.58144e-18
0.0008, -1.49312e-18, -0.00262057, 5.6977e-16, 1.04494e-18
0.0009, 9.95744e-19, -0.002449, -4.06593e-16, 1.34054e-18
0.001, 8.67362e-19, -0.00230551, -3.76213e-16, 6.50521e-19
0.002, -7.0083e-20, -0.00156591, 4.47555e-17, 1.87163e-18
0.003, -4.48523e-18, -0.00127091, 3.52913e-15, 1.84485e-18
0.004, -1.66229e-18, -0.00111359, 1.49273e-15, 3.88674e-18
0.005, -3.48043e-18, -0.00101939, 3.41421e-15, 2.33196e-18
0.006, -2.61311e-18, -0.000960101, 2.72171e-15, 3.11779e-18
0.007, 1.94319e-18, -0.000922311, -2.10687e-15, 3.55095e-18
0.008, -3.31487e-18, -0.000898944, 3.68751e-15, 1.40809e-18
0.009, -1.61927e-18, -0.000885719, 1.8282e-15, 1.9609e-18
0.01, -1.73472e-18, -0.00087992, 1.97146e-15, 1.93948e-18
0.02, -1.42822e-18, -0.00100242, 1.42478e-15, 2.46991e-18
0.03, -4.37109e-18, -0.00123271, 3.54593e-15, 4.75848e-18
0.04, 2.95379e-19, -0.00148818, -1.98484e-16, 2.06537e-18
0.05, -8.60124e-18, -0.0017489, 4.91809e-15, 6.25433e-18
0.06, -1.05028e-17, -0.00200751, 5.23179e-15, 5.30637e-18
0.07, -1.52462e-19, -0.00226068, 6.74408e-17, 4.31082e-18
0.08, -3.68132e-18, -0.00250685, 1.4685e-15, 2.40052e-18
0.09, -2.65546e-18, -0.00274531, 9.67271e-16, 3.92428e-18
0.1, 1.05959e-31, -0.00297541, -3.56117e-29, 3.00463e-18
0.2, -1.02488e-17, -0.00485341, 2.11167e-15, 7.61443e-18
0.3, -1.1621e-17, -0.00619321, 1.87641e-15, 3.88676e-18
0.4, -3.61875e-18, -0.00739597, 4.89287e-16, 1.81702e-18
0.5, 1.73748e-18, -0.00888899, -1.95465e-16, 3.68088e-18
0.6, -1.92933e-18, -0.0111058, 1.73722e-16, 2.72623e-18
0.7, -4.75949e-18, -0.0145032, 3.28168e-16, 1.26551e-18
0.8, -2.29183e-18, -0.0195481, 1.1724e-16, 2.24619e-18
0.9, -2.36659e-19, -0.0267855, 8.83536e-18, 1.17154e-18
0.0001, -4.33681e-18, -1.73472e-17, 0.25, 1.30104e-18
0.0002, -3.51754e-18, -3.71941e-18, 0.945724, 2.90847e-18
0.0003, -5.19371e-18, -9.80016e-18, 0.529962, 2.63062e-18
0.0004, -4.93382e-18, -1.0172e-17, 0.485037, 2.07464e-18
0.0005, -2.60758e-18, -1.72726e-17, 0.150966, 4.01355e-18
0.0006, -1.59848e-18, -1.22191e-17, 0.130818, 5.36786e-18
