# mu value:
1.300000
# num_x_vals
36
# x, INITIALPDFS_SAL5, SAL, ratio, DeltaPDFs
0.0001, 2.99918, 4.91689, 0.609976, 269.652
0.0002, 2.48162, 3.29232, 0.753762, 121.564
0.0003, 2.22108, 2.60117, 0.853877, 76.2968
0.0004, 2.05276, 2.19921, 0.933408, 54.8188
0.0005, 1.93092, 1.92994, 1.00051, 42.4284
0.0006, 1.83669, 1.73413, 1.05914, 34.4258
0.0007, 1.76049, 1.58364, 1.11167, 28.8467
0.0008, 1.69699, 1.46363, 1.15944, 24.7572
0.0009, 1.64283, 1.3651, 1.20345, 21.6377
0.001, 1.59579, 1.28237, 1.2444, 19.1832
0.002, 1.31684, 0.846272, 1.55605, 8.75578
0.003, 1.1754, 0.660424, 1.77976, 5.60406
0.004, 1.08339, 0.552146, 1.96213, 4.13008
0.005, 1.01632, 0.479483, 2.11962, 3.29367
0.006, 0.964098, 0.426553, 2.26021, 2.76281
0.007, 0.921592, 0.38581, 2.38872, 2.39919
0.008, 0.885938, 0.353267, 2.50784, 2.13712
0.009, 0.855328, 0.326512, 2.61959, 1.94033
0.01, 0.82857, 0.304017, 2.7254, 1.78767
0.02, 0.66522, 0.184847, 3.59876, 1.15754
0.03, 0.577512, 0.133713, 4.31903, 0.956609
0.04, 0.517564, 0.103873, 4.98265, 0.846266
0.05, 0.47193, 0.0838902, 5.62556, 0.770535
0.06, 0.435003, 0.069408, 6.26733, 0.712407
0.07, 0.40391, 0.0583437, 6.92295, 0.664809
0.08, 0.377031, 0.0495871, 7.60341, 0.624281
0.09, 0.35333, 0.0425283, 8.30812, 0.588823
0.1, 0.332121, 0.0366181, 9.06986, 0.557199
0.2, 0.193064, 0.00710817, 27.1609, 0.347382
0.3, 0.115792, -0.0025822, -44.8424, 0.223782
0.4, 0.0674136, -0.00658618, -10.2356, 0.140041
0.5, 0.036708, -0.00820445, -4.47416, 0.081929
0.6, 0.0178824, -0.00873329, -2.04762, 0.0428181
0.7, 0.00723341, -0.0082968, -0.871831, 0.0185403
0.8, 0.00206655, -0.00708425, -0.29171, 0.00565544
0.9, 0.000250149, -0.00481616, -0.0519396, 0.000728891
0.0001, 0.00213471, 0.264443, 0.00807246, 0.010857
0.0002, 0.00326134, 0.240655, 0.0135519, 0.0135717
0.0003, 0.00417899, 0.227305, 0.018385, 0.015453
0.0004, 0.0049828, 0.218136, 0.0228426, 0.0169364
0.0005, 0.00571129, 0.211214, 0.0270403, 0.0181786
0.0006, 0.00638486, 0.205687, 0.0310416, 0.0192563
0.0007, 0.00701598, 0.201105, 0.0348871, 0.0202134
0.0008, 0.00761284, 0.197207, 0.0386033, 0.0210775
0.0009, 0.00818128, 0.193823, 0.04221, 0.0218674
0.001, 0.00872563, 0.19084, 0.0457221, 0.0225965
0.002, 0.0133278, 0.172297, 0.0773534, 0.0279452
0.003, 0.0170707, 0.162362, 0.105139, 0.0315315
0.004, 0.0203436, 0.15575, 0.130617, 0.0342781
0.005, 0.0233045, 0.150887, 0.154449, 0.0365166
0.006, 0.0260367, 0.147098, 0.177002, 0.0384089
0.007, 0.0285917, 0.144028, 0.198515, 0.0400483
0.008, 0.031003, 0.141475, 0.219142, 0.0414928
0.009, 0.0332947, 0.139307, 0.239002, 0.0427823
0.01, 0.0354846, 0.137438, 0.258186, 0.043945
0.02, 0.0537809, 0.127005, 0.423455, 0.0515492
0.03, 0.0683088, 0.122646, 0.556957, 0.0555631
0.04, 0.0806952, 0.120445, 0.669978, 0.0579225
0.05, 0.0916075, 0.119256, 0.76816, 0.0593201
0.06, 0.101403, 0.118598, 0.855012, 0.0600932
0.07, 0.110303, 0.118228, 0.932975, 0.0604357
0.08, 0.118456, 0.11801, 1.00378, 0.0604673
0.09, 0.125967, 0.117866, 1.06874, 0.0602704
0.1, 0.132917, 0.117739, 1.12891, 0.0599031
0.2, 0.180741, 0.11418, 1.58295, 0.0527523
0.3, 0.202678, 0.106132, 1.90967, 0.0450837
0.4, 0.207276, 0.0966638, 2.1443, 0.101712
0.5, 0.198432, 0.0882639, 2.24817, 0.0612726
0.6, 0.178379, 0.0821249, 2.17205, 0.0532831
0.7, 0.148517, 0.0783401, 1.8958, 0.0468774
0.8, 0.109712, 0.0757975, 1.44744, 0.037425
0.9, 0.0623223, 0.0716736, 0.86953, 0.0235448
