# mu value:
1.414214
# num_x_vals
36
# x, apfel++, lhapdf, ratio
0.0001, 7.12514, 7.05731, 1.00961
0.0002, 6.14698, 6.09394, 1.0087
0.0003, 5.6259, 5.58039, 1.00816
0.0004, 5.27749, 5.23695, 1.00774
0.0005, 5.01894, 4.98199, 1.00742
0.0006, 4.81506, 4.78085, 1.00716
0.0007, 4.6476, 4.61567, 1.00692
0.0008, 4.50618, 4.47611, 1.00672
0.0009, 4.38416, 4.35568, 1.00654
0.001, 4.2771, 4.25003, 1.00637
0.002, 3.62044, 3.60151, 1.00526
0.003, 3.27206, 3.25713, 1.00459
0.004, 3.03954, 3.02718, 1.00408
0.005, 2.86713, 2.85658, 1.00369
0.006, 2.7312, 2.72198, 1.00339
0.007, 2.61953, 2.61141, 1.00311
0.008, 2.52519, 2.51794, 1.00288
0.009, 2.44375, 2.43727, 1.00266
0.01, 2.37221, 2.36634, 1.00248
0.02, 1.93137, 1.92881, 1.00133
0.03, 1.69463, 1.69339, 1.00073
0.04, 1.53463, 1.53409, 1.00035
0.05, 1.41454, 1.41439, 1.00011
0.06, 1.31876, 1.31881, 0.999962
0.07, 1.23919, 1.23939, 0.999842
0.08, 1.17127, 1.17153, 0.999775
0.09, 1.11202, 1.11233, 0.999722
0.1, 1.05954, 1.05984, 0.99972
0.2, 0.723563, 0.723278, 1.00039
0.3, 0.532274, 0.531537, 1.00139
0.4, 0.398445, 0.397422, 1.00257
0.5, 0.295585, 0.294514, 1.00363
0.6, 0.211874, 0.211019, 1.00405
0.7, 0.141184, 0.14078, 1.00287
0.8, 0.0808964, 0.0809877, 0.998873
0.9, 0.0318693, 0.0321835, 0.990238
0.0001, 0.409465, 0.417463, 0.980841
0.0002, 0.347752, 0.353519, 0.983687
0.0003, 0.315517, 0.320214, 0.985332
0.0004, 0.294273, 0.298312, 0.986462
0.0005, 0.278697, 0.282274, 0.987329
0.0006, 0.266543, 0.269771, 0.988036
0.0007, 0.256655, 0.259612, 0.988609
0.0008, 0.248376, 0.251112, 0.989105
0.0009, 0.241291, 0.243843, 0.989536
0.001, 0.235122, 0.237519, 0.98991
