# mu value:
1.414214
# num_x_vals
36
# x, INITIALPDFS_SAL3, SAL, ratio, DeltaPDFs
0.0001, 6.10215, 5.14321, 1.18645, 2.36238e+07
0.0002, 4.68542, 3.46353, 1.35279, 4.26181e+06
0.0003, 4.01475, 2.74811, 1.46091, 1.5661e+06
0.0004, 3.59775, 2.3317, 1.54297, 768605
0.0005, 3.30428, 2.05258, 1.60981, 442684
0.0006, 3.08231, 1.8495, 1.66656, 282320
0.0007, 2.90609, 1.69337, 1.71616, 192716
0.0008, 2.76155, 1.5688, 1.7603, 138529
0.0009, 2.63995, 1.4665, 1.80017, 103534
0.001, 2.5356, 1.38058, 1.83663, 79750.7
0.002, 1.94267, 0.927195, 2.09521, 14347.5
0.003, 1.65999, 0.733686, 2.26253, 5257.76
0.004, 1.48314, 0.62083, 2.38897, 2573.22
0.005, 1.35796, 0.545031, 2.49153, 1477.95
0.006, 1.26277, 0.489775, 2.57826, 939.948
0.007, 1.1868, 0.447209, 2.6538, 639.834
0.008, 1.12419, 0.413185, 2.72079, 458.65
0.009, 1.07126, 0.385191, 2.78111, 341.831
0.01, 1.02563, 0.361634, 2.83608, 262.571
0.02, 0.761103, 0.236297, 3.22096, 45.9356
0.03, 0.630135, 0.181862, 3.46491, 16.3784
0.04, 0.545618, 0.149627, 3.64653, 7.81162
0.05, 0.484189, 0.12768, 3.7922, 4.38742
0.06, 0.436392, 0.111487, 3.91429, 2.74395
0.07, 0.397493, 0.098881, 4.01991, 1.85112
0.08, 0.364872, 0.0887105, 4.11307, 1.32846
0.09, 0.336872, 0.0802748, 4.19648, 1.00286
0.1, 0.312447, 0.0731293, 4.27252, 0.790213
0.2, 0.166269, 0.0345977, 4.80578, 0.263295
0.3, 0.0948747, 0.018395, 5.15764, 0.186752
0.4, 0.0535725, 0.00983206, 5.44876, 0.152376
0.5, 0.0287193, 0.00501027, 5.73208, 0.117531
0.6, 0.0140271, 0.00231206, 6.06693, 0.0782222
0.7, 0.0058557, 0.000893351, 6.55476, 0.041459
0.8, 0.00185552, 0.000245301, 7.56429, 0.0149175
0.9, 0.000330068, 2.86758e-05, 11.5103, 0.00217811
0.0001, 0.0533467, 0.283756, 0.188002, 20642.4
0.0002, 0.0587694, 0.253999, 0.231377, 3723.59
0.0003, 0.0629508, 0.238077, 0.264414, 1368.18
0.0004, 0.0663857, 0.227399, 0.291935, 671.401
0.0005, 0.0693261, 0.219457, 0.315898, 386.659
0.0006, 0.0719126, 0.213184, 0.337326, 246.564
0.0007, 0.0742322, 0.208025, 0.356843, 168.291
0.0008, 0.0763416, 0.203664, 0.374841, 120.959
0.0009, 0.078281, 0.199898, 0.391604, 90.393
0.001, 0.0800796, 0.196593, 0.407337, 69.6206
0.002, 0.0934816, 0.176321, 0.53018, 12.5109
0.003, 0.102665, 0.165628, 0.619853, 4.57923
0.004, 0.109825, 0.158566, 0.692613, 2.2385
0.005, 0.115761, 0.153398, 0.754641, 1.2844
0.006, 0.120864, 0.149385, 0.809075, 0.816316
0.007, 0.12536, 0.146142, 0.857797, 0.555648
0.008, 0.129389, 0.143449, 0.901984, 0.398655
0.009, 0.133047, 0.141167, 0.942475, 0.297769
0.01, 0.136401, 0.139202, 0.979881, 0.229631
0.02, 0.160328, 0.128267, 1.24995, 0.0510594
0.03, 0.175604, 0.123702, 1.41957, 0.0335183
0.04, 0.186786, 0.121382, 1.53883, 0.0307411
0.05, 0.195489, 0.120111, 1.62757, 0.0308195
0.06, 0.202497, 0.11939, 1.69609, 0.0318763
0.07, 0.208258, 0.118965, 1.75058, 0.0333741
0.08, 0.213051, 0.118699, 1.79489, 0.0350799
0.09, 0.217068, 0.118508, 1.83168, 0.0368696
0.1, 0.220443, 0.11834, 1.8628, 0.0386725
