# mu value:
3.162278
# num_x_vals
36
# x, INITIALPDFS_SAL4, SAL, ratio, DeltaPDFs
0.0001, 7.31035, 9.23508, 0.791585, 154.524
0.0002, 6.08617, 6.67945, 0.911178, 70.8102
0.0003, 5.45854, 5.55466, 0.982697, 44.9196
0.0004, 5.04865, 4.88452, 1.0336, 32.5471
0.0005, 4.74962, 4.42681, 1.07292, 25.3719
0.0006, 4.51695, 4.08848, 1.1048, 20.7183
0.0007, 4.32791, 3.82475, 1.13155, 17.4628
0.0008, 4.16973, 3.61173, 1.1545, 15.0691
0.0009, 4.03435, 3.43484, 1.17454, 13.2383
0.001, 3.9164, 3.28474, 1.1923, 11.7943
0.002, 3.21004, 2.46242, 1.30361, 5.60547
0.003, 2.84727, 2.0891, 1.36291, 3.69851
0.004, 2.60968, 1.86177, 1.40171, 2.78867
0.005, 2.4358, 1.70376, 1.42966, 2.2606
0.006, 2.30005, 1.58518, 1.45097, 1.917
0.007, 2.18938, 1.49153, 1.46788, 1.67538
0.008, 2.09647, 1.41496, 1.48164, 1.49645
0.009, 2.01667, 1.35067, 1.49308, 1.35838
0.01, 1.9469, 1.29556, 1.50275, 1.24838
0.02, 1.52259, 0.9812, 1.55176, 0.749654
0.03, 1.29807, 0.828042, 1.56764, 0.570657
0.04, 1.14737, 0.729622, 1.57255, 0.472331
0.05, 1.03478, 0.658101, 1.57237, 0.407844
0.06, 0.945345, 0.602372, 1.56937, 0.361231
0.07, 0.871397, 0.556945, 1.5646, 0.325354
0.08, 0.808545, 0.518734, 1.55869, 0.29658
0.09, 0.753966, 0.485779, 1.55208, 0.272762
0.1, 0.706642, 0.457974, 1.54297, 0.252581
0.2, 0.41126, 0.28396, 1.4483, 0.139518
0.3, 0.260742, 0.194264, 1.3422, 0.0841968
0.4, 0.171627, 0.139534, 1.23001, 0.0496368
0.5, 0.116019, 0.103195, 1.12427, 0.0274735
0.6, 0.0801059, 0.0773507, 1.03562, 0.0142385
0.7, 0.055539, 0.0567265, 0.979066, 0.00715795
0.8, 0.0363926, 0.0381968, 0.952766, 0.00366332
0.9, 0.0185417, 0.0194903, 0.951331, 0.0014896
0.0001, 0.22237, 0.483657, 0.459768, 2.54819
0.0002, 0.18705, 0.398839, 0.468986, 1.17319
0.0003, 0.169497, 0.358487, 0.472811, 0.748669
0.0004, 0.158351, 0.33317, 0.475286, 0.546352
0.0005, 0.150436, 0.315186, 0.477292, 0.42947
0.0006, 0.144434, 0.301461, 0.479114, 0.35404
0.0007, 0.13968, 0.290476, 0.480866, 0.301596
0.0008, 0.1358, 0.281395, 0.482595, 0.263322
0.0009, 0.13256, 0.273701, 0.484324, 0.234298
0.001, 0.129805, 0.267055, 0.486062, 0.211631
0.002, 0.115112, 0.22835, 0.504105, 0.119937
0.003, 0.109336, 0.209218, 0.522597, 0.0967182
0.004, 0.106557, 0.197005, 0.540883, 0.0880035
0.005, 0.105188, 0.188261, 0.558734, 0.0841253
0.006, 0.104601, 0.181574, 0.576079, 0.0822465
0.007, 0.104488, 0.176229, 0.592909, 0.0813065
0.008, 0.104683, 0.171828, 0.609232, 0.0808514
0.009, 0.105088, 0.168122, 0.625067, 0.0806586
0.01, 0.105637, 0.164945, 0.640438, 0.0806123
0.02, 0.113944, 0.147373, 0.773172, 0.0815494
0.03, 0.122799, 0.139851, 0.878068, 0.081734
0.04, 0.130908, 0.135766, 0.964218, 0.0811237
0.05, 0.13819, 0.133277, 1.03686, 0.0800198
0.06, 0.144717, 0.131637, 1.09937, 0.078607
0.07, 0.150578, 0.130476, 1.15407, 0.0769982
0.08, 0.155849, 0.129595, 1.20259, 0.0752638
0.09, 0.160592, 0.128868, 1.24618, 0.0734533
0.1, 0.164886, 0.128255, 1.28561, 0.0715912
0.2, 0.189572, 0.121953, 1.55447, 0.0536818
0.3, 0.194247, 0.114454, 1.69716, 0.04003
0.4, 0.188413, 0.108696, 1.7334, 0.031118
0.5, 0.176841, 0.106605, 1.65885, 0.0258439
0.6, 0.162149, 0.108366, 1.49631, 0.0225527
0.7, 0.145209, 0.112082, 1.29557, 0.0198757
0.8, 0.1246, 0.113057, 1.10209, 0.0171441
0.9, 0.0927403, 0.0990309, 0.936479, 0.0140196
0.0001, 0.222445, 0.48409, 0.459512, 2.54818
0.0002, 0.187191, 0.399631, 0.468409, 1.17318
0.0003, 0.1697, 0.359615, 0.471894, 0.748652
0.0004, 0.158616, 0.334621, 0.474018, 0.546329
0.0005, 0.15076, 0.316949, 0.475662, 0.42944
0.0006, 0.144818, 0.303529, 0.477114, 0.354002
0.0007, 0.140122, 0.292843, 0.478489, 0.30155
0.0008, 0.1363, 0.284056, 0.479834, 0.263267
0.0009, 0.133117, 0.276651, 0.481172, 0.234234
0.001, 0.130419, 0.27029, 0.482514, 0.211557
0.002, 0.116274, 0.234288, 0.496285, 0.119745
0.003, 0.111024, 0.217681, 0.510032, 0.0963955
0.004, 0.108756, 0.207878, 0.523172, 0.0875539
0.005, 0.107889, 0.201458, 0.535538, 0.0835549
0.006, 0.107794, 0.197024, 0.547109, 0.0815608
0.007, 0.108164, 0.193872, 0.557917, 0.0805099
0.008, 0.108837, 0.191612, 0.568007, 0.0799474
0.009, 0.109712, 0.189999, 0.577434, 0.0796502
0.01, 0.110727, 0.188873, 0.58625, 0.0795021
0.02, 0.123421, 0.189976, 0.649667, 0.0795109
0.03, 0.136292, 0.198658, 0.686065, 0.0788734
0.04, 0.148123, 0.208915, 0.709011, 0.0775142
0.05, 0.158877, 0.219238, 0.72468, 0.0757209
