# mu value:
1.300000
# num_x_vals
36
# x, INITIALPDFS_SAL5, SAL, ratio, DeltaPDFs
0.0001, 3.89112, 4.91689, 0.791377, 5.26907
0.0002, 3.18853, 3.29232, 0.968475, 3.92283
0.0003, 2.8376, 2.60117, 1.0909, 3.30674
0.0004, 2.61202, 2.19921, 1.18771, 2.93205
0.0005, 2.44931, 1.92994, 1.26911, 2.67274
0.0006, 2.32384, 1.73413, 1.34006, 2.47927
0.0007, 2.22263, 1.58364, 1.40349, 2.32744
0.0008, 2.13846, 1.46363, 1.46107, 2.20416
0.0009, 2.0668, 1.3651, 1.51402, 2.10137
0.001, 2.00465, 1.28237, 1.56323, 2.01388
0.002, 1.63825, 0.846272, 1.93584, 1.5308
0.003, 1.454, 0.660424, 2.20162, 1.31039
0.004, 1.33479, 0.552146, 2.41745, 1.17636
0.005, 1.24825, 0.479483, 2.60333, 1.08346
0.006, 1.18109, 0.426553, 2.76893, 1.01396
0.007, 1.12658, 0.38581, 2.92005, 0.959221
0.008, 1.08098, 0.353267, 3.05994, 0.914589
0.009, 1.04191, 0.326512, 3.19102, 0.877198
0.01, 1.00782, 0.304017, 3.31502, 0.845208
0.02, 0.801315, 0.184847, 4.33502, 0.663431
0.03, 0.691724, 0.133713, 5.17319, 0.574359
0.04, 0.617427, 0.103873, 5.94405, 0.516092
0.05, 0.56123, 0.0838902, 6.69006, 0.472748
0.06, 0.515997, 0.069408, 7.43426, 0.438084
0.07, 0.478082, 0.0583437, 8.19423, 0.409046
0.08, 0.445433, 0.0495871, 8.98283, 0.383966
0.09, 0.416744, 0.0425283, 9.79921, 0.361814
0.1, 0.39115, 0.0366181, 10.6819, 0.341922
0.2, 0.225181, 0.00710817, 31.6792, 0.207812
0.3, 0.134289, -0.0025822, -52.0059, 0.128752
0.4, 0.0778683, -0.00658618, -11.823, 0.076887
0.5, 0.0422685, -0.00820445, -5.1519, 0.042749
0.6, 0.0205387, -0.00873329, -2.35177, 0.0211974
0.7, 0.00828995, -0.0082968, -0.999174, 0.00870737
0.8, 0.00236397, -0.00708425, -0.333694, 0.00252178
0.9, 0.000285679, -0.00481616, -0.0593169, 0.000309008
0.0001, 0.00225, 0.264443, 0.00850844, 0.000684312
0.0002, 0.00341117, 0.240655, 0.0141745, 0.00096631
0.0003, 0.0043514, 0.227305, 0.0191435, 0.00118086
0.0004, 0.00517187, 0.218136, 0.0237094, 0.00136062
0.0005, 0.00591339, 0.211214, 0.0279972, 0.00151821
0.0006, 0.00659747, 0.205687, 0.0320753, 0.0016601
0.0007, 0.00723726, 0.201105, 0.0359874, 0.00179014
0.0008, 0.00784136, 0.197207, 0.0397621, 0.0019108
0.0009, 0.00841589, 0.193823, 0.0434204, 0.00202383
0.001, 0.0089654, 0.19084, 0.0469785, 0.00213049
0.002, 0.0135896, 0.172297, 0.0788733, 0.00298371
0.003, 0.0173285, 0.162362, 0.106727, 0.00363114
0.004, 0.0205857, 0.15575, 0.132171, 0.00417338
