# mu values:
4.000000
# num_x_vals
36
# x, apfel++, lhapdf, ratio
0.0001, 21.3818, 21.5563, 0.991903
0.0002, 17.3315, 17.4193, 0.994962
0.0003, 15.2762, 15.3316, 0.996387
0.0004, 13.9443, 13.9835, 0.997195
0.0005, 12.979, 13.0085, 0.997729
0.0006, 12.2322, 12.2553, 0.998111
0.0007, 11.6284, 11.6475, 0.99836
0.0008, 11.1255, 11.1416, 0.998556
0.0009, 10.6969, 10.7109, 0.998694
0.001, 10.325, 10.3375, 0.998791
0.002, 8.1316, 8.1402, 0.998943
0.003, 7.03379, 7.04329, 0.998651
0.004, 6.32862, 6.33963, 0.998263
0.005, 5.82083, 5.83314, 0.997889
0.006, 5.42995, 5.44319, 0.997569
0.007, 5.11527, 5.1294, 0.997246
0.008, 4.85411, 4.86891, 0.996961
0.009, 4.63217, 4.6477, 0.996657
0.01, 4.44004, 4.45583, 0.996458
0.02, 3.31643, 3.3327, 0.995117
0.03, 2.75929, 2.77396, 0.994714
0.04, 2.40259, 2.41537, 0.994708
0.05, 2.1459, 2.15682, 0.994935
0.06, 1.94818, 1.9573, 0.995343
0.07, 1.7888, 1.79635, 0.995799
0.08, 1.65628, 1.66242, 0.996308
0.09, 1.54331, 1.54826, 0.996804
0.1, 1.44611, 1.44925, 0.997833
0.2, 0.86986, 0.865208, 1.00538
0.3, 0.58185, 0.575047, 1.01183
0.4, 0.401249, 0.393249, 1.02034
0.5, 0.276272, 0.267955, 1.03104
0.6, 0.184985, 0.177593, 1.04162
0.7, 0.116244, 0.111103, 1.04628
0.8, 0.0641568, 0.0619071, 1.03634
0.9, 0.0258317, 0.0255904, 1.00943
0.0001, 0.925195, 1.02336, 0.904079
0.0002, 0.758779, 0.826466, 0.918101
0.0003, 0.673887, 0.727454, 0.926364
0.0004, 0.618736, 0.663754, 0.932176
0.0005, 0.578708, 0.617846, 0.936655
0.0006, 0.547717, 0.582501, 0.940286
0.0007, 0.522656, 0.554073, 0.943298
0.0008, 0.501784, 0.53049, 0.945888
0.0009, 0.483997, 0.510473, 0.948136
0.001, 0.468567, 0.493169, 0.950115
0.002, 0.377886, 0.392694, 0.962292
0.003, 0.332964, 0.343809, 0.968457
0.004, 0.304455, 0.313152, 0.972228
0.005, 0.284189, 0.291544, 0.974772
0.006, 0.268796, 0.275236, 0.976601
0.007, 0.256572, 0.262363, 0.977925
0.008, 0.246568, 0.251874, 0.978936
0.009, 0.238187, 0.243133, 0.979656
0.01, 0.231031, 0.235676, 0.980291
0.02, 0.192016, 0.195423, 0.982563
0.03, 0.175561, 0.178546, 0.983278
0.04, 0.166698, 0.169392, 0.984095
0.05, 0.161414, 0.163844, 0.985169
0.06, 0.158109, 0.160278, 0.986464
