# mu values:
4.000000
# num_x_vals
36
# x, apfel++, lhapdf, ratio
0.0001, 42.2124, 41.8579, 1.00847
0.0002, 32.431, 32.2411, 1.00589
0.0003, 27.6798, 27.5558, 1.0045
0.0004, 24.6862, 24.5996, 1.00352
0.0005, 22.5617, 22.4986, 1.0028
0.0006, 20.9455, 20.8984, 1.00225
0.0007, 19.6573, 19.6227, 1.00176
0.0008, 18.5975, 18.572, 1.00137
0.0009, 17.7038, 17.6858, 1.00102
0.001, 16.9357, 16.9238, 1.0007
0.002, 12.5577, 12.5736, 0.998735
0.003, 10.4743, 10.4992, 0.997633
0.004, 9.17902, 9.20838, 0.996811
0.005, 8.26895, 8.30085, 0.996157
0.006, 7.58225, 7.61542, 0.995644
0.007, 7.03857, 7.07285, 0.995152
0.008, 6.5939, 6.62894, 0.994715
0.009, 6.22084, 6.25687, 0.994242
0.01, 5.9016, 5.93766, 0.993927
0.02, 4.11064, 4.14741, 0.991134
0.03, 3.27741, 3.31375, 0.989031
0.04, 2.76642, 2.8023, 0.987199
0.05, 2.41095, 2.44624, 0.985572
0.06, 2.14482, 2.1793, 0.98418
0.07, 1.93555, 1.96923, 0.982893
0.08, 1.76533, 1.79822, 0.981712
0.09, 1.62306, 1.6552, 0.980583
0.1, 1.50398, 1.53333, 0.980861
0.2, 0.838092, 0.85728, 0.977617
0.3, 0.534946, 0.549844, 0.972905
0.4, 0.355175, 0.366337, 0.969529
0.5, 0.235, 0.243034, 0.966945
0.6, 0.150708, 0.154995, 0.972343
0.7, 0.0881991, 0.0906087, 0.973406
0.8, 0.0434332, 0.0443118, 0.980172
0.9, 0.0138522, 0.0139621, 0.992127
0.0001, 0.900197, 0.894337, 1.00655
0.0002, 0.716853, 0.716775, 1.00011
0.0003, 0.626052, 0.627957, 0.996965
0.0004, 0.568206, 0.571061, 0.995001
0.0005, 0.526852, 0.530212, 0.993663
0.0006, 0.495232, 0.498872, 0.992702
0.0007, 0.469934, 0.473751, 0.991944
0.0008, 0.449065, 0.452976, 0.991367
0.0009, 0.431433, 0.435396, 0.990898
0.001, 0.416257, 0.420245, 0.99051
0.002, 0.32969, 0.333411, 0.988838
0.003, 0.288883, 0.292249, 0.988483
0.004, 0.263945, 0.267039, 0.988414
0.005, 0.246782, 0.249665, 0.988452
0.006, 0.234122, 0.236834, 0.988546
0.007, 0.224336, 0.226919, 0.988615
0.008, 0.216533, 0.219008, 0.988698
0.009, 0.210155, 0.212556, 0.988701
0.01, 0.204838, 0.207156, 0.988808
0.02, 0.178767, 0.180676, 0.989429
0.03, 0.170229, 0.171888, 0.990346
0.04, 0.166912, 0.168319, 0.991642
0.05, 0.165776, 0.166905, 0.993231
0.06, 0.165692, 0.16652, 0.99503
0.07, 0.166147, 0.16666, 0.996919
0.08, 0.166885, 0.167077, 0.998846
0.09, 0.167757, 0.167628, 1.00077
0.1, 0.168694, 0.168238, 1.00271
0.2, 0.175424, 0.172715, 1.01569
0.3, 0.175666, 0.172834, 1.01639
0.4, 0.171405, 0.170111, 1.00761
