# mu value:
1.300000
# num_x_vals
36
# x, evolved, exact, ratio
0.0001, 6.08653, 6.08373, 1.00046
0.0002, 5.29741, 5.29522, 1.00041
0.0003, 4.87426, 4.87233, 1.0004
0.0004, 4.59011, 4.58842, 1.00037
0.0005, 4.37857, 4.37704, 1.00035
0.0006, 4.21133, 4.20988, 1.00035
0.0007, 4.07367, 4.07234, 1.00033
0.0008, 3.95719, 3.95593, 1.00032
0.0009, 3.85653, 3.85534, 1.00031
0.001, 3.76808, 3.76696, 1.0003
0.002, 3.22262, 3.22183, 1.00025
0.003, 2.93094, 2.9303, 1.00022
0.004, 2.73524, 2.73472, 1.00019
0.005, 2.58954, 2.58911, 1.00017
0.006, 2.47429, 2.47389, 1.00016
0.007, 2.37934, 2.379, 1.00014
0.008, 2.29893, 2.29862, 1.00013
0.009, 2.22937, 2.2291, 1.00012
0.01, 2.16812, 2.16789, 1.00011
0.02, 1.78788, 1.78778, 1.00006
0.03, 1.5813, 1.58124, 1.00004
0.04, 1.44055, 1.44053, 1.00001
0.05, 1.33422, 1.33423, 0.999997
0.06, 1.24895, 1.24895, 1
0.07, 1.17779, 1.17781, 0.999987
0.08, 1.11679, 1.1168, 0.999985
0.09, 1.06339, 1.0634, 0.999983
0.1, 1.0159, 1.01592, 0.999978
0.2, 0.707709, 0.707701, 1.00001
0.3, 0.528535, 0.528502, 1.00006
0.4, 0.401056, 0.401007, 1.00012
0.5, 0.301559, 0.301506, 1.00018
0.6, 0.219297, 0.219253, 1.0002
0.7, 0.148576, 0.148553, 1.00015
0.8, 0.0868669, 0.0868679, 0.999989
0.9, 0.035116, 0.0351288, 0.999635
0.0001, 0.371999, 0.372379, 0.998981
0.0002, 0.316854, 0.317129, 0.999133
0.0003, 0.288024, 0.288246, 0.99923
0.0004, 0.269015, 0.269209, 0.999281
0.0005, 0.255075, 0.255247, 0.999325
0.0006, 0.244196, 0.244349, 0.999372
0.0007, 0.235344, 0.235486, 0.999395
0.0008, 0.227933, 0.228065, 0.999422
0.0009, 0.221591, 0.221714, 0.999446
0.001, 0.216069, 0.216186, 0.999461
0.002, 0.183275, 0.183351, 0.999586
0.003, 0.166871, 0.166927, 0.999661
0.004, 0.156456, 0.156504, 0.999693
0.005, 0.149082, 0.149124, 0.999721
0.006, 0.143518, 0.143554, 0.999753
0.007, 0.139138, 0.139171, 0.999764
0.008, 0.135589, 0.135618, 0.999785
0.009, 0.132653, 0.132682, 0.999782
0.01, 0.130171, 0.130197, 0.999798
0.02, 0.117633, 0.11765, 0.999862
0.03, 0.113535, 0.113547, 0.999892
0.04, 0.112201, 0.11221, 0.999919
0.05, 0.112116, 0.112122, 0.999938
0.06, 0.112677, 0.11268, 0.999975
0.07, 0.113593, 0.113597, 0.999969
0.08, 0.114717, 0.114719, 0.999983
0.09, 0.115951, 0.115952, 0.999993
0.1, 0.117244, 0.117244, 1
0.2, 0.129108, 0.129105, 1.00002
0.3, 0.136899, 0.136902, 0.999979
0.4, 0.141925, 0.141937, 0.999909
0.5, 0.145485, 0.145508, 0.999839
0.6, 0.14703, 0.147061, 0.999788
0.7, 0.143077, 0.143109, 0.999772
0.8, 0.126202, 0.126224, 0.999823
0.9, 0.0841615, 0.0841484, 1.00016
0.0001, 0.367313, 0.367676, 0.999014
0.0002, 0.314694, 0.314971, 0.999123
0.0003, 0.286963, 0.287193, 0.999197
0.0004, 0.268587, 0.268793, 0.999234
0.0005, 0.255062, 0.255249, 0.999268
0.0006, 0.244478, 0.244648, 0.999306
0.0007, 0.235847, 0.236007, 0.999323
0.0008, 0.228609, 0.228759, 0.999346
0.0009, 0.222406, 0.222547, 0.999366
0.001, 0.216998, 0.217133, 0.999378
0.002, 0.184798, 0.184892, 0.999492
0.003, 0.1687, 0.168772, 0.99957
0.004, 0.158543, 0.158605, 0.999607
0.005, 0.15142, 0.151474, 0.999643
0.006, 0.146113, 0.14616, 0.999682
0.007, 0.141998, 0.14204, 0.999705
0.008, 0.138723, 0.138759, 0.999737
0.009, 0.13607, 0.136106, 0.999737
0.01, 0.133875, 0.133907, 0.999764
0.02, 0.124458, 0.124471, 0.999897
0.03, 0.123653, 0.123658, 0.999967
0.04, 0.125632, 0.125629, 1.00002
0.05, 0.128819, 0.128812, 1.00006
0.06, 0.132587, 0.132573, 1.00011
0.07, 0.136628, 0.136616, 1.00009
0.08, 0.140797, 0.140783, 1.0001
0.09, 0.144984, 0.14497, 1.0001
0.1, 0.149144, 0.14913, 1.00009
0.2, 0.185447, 0.185449, 0.999988
0.3, 0.213587, 0.213611, 0.999886
0.4, 0.241105, 0.24115, 0.999815
0.5, 0.273924, 0.273992, 0.999753
0.6, 0.310458, 0.310559, 0.999672
0.7, 0.336451, 0.336582, 0.999612
0.8, 0.321131, 0.321229, 0.999695
0.9, 0.218202, 0.218087, 1.00053
0.0001, 0.370998, 0.371387, 0.998953
0.0002, 0.313965, 0.314261, 0.999059
0.0003, 0.28385, 0.284097, 0.999131
0.0004, 0.263834, 0.264054, 0.999164
0.0005, 0.249048, 0.249249, 0.999196
0.0006, 0.237434, 0.237616, 0.999233
0.0007, 0.227925, 0.228097, 0.999249
0.0008, 0.219918, 0.220079, 0.99927
0.0009, 0.213028, 0.21318, 0.999288
0.001, 0.206997, 0.207142, 0.999298
0.002, 0.170336, 0.170438, 0.999399
0.003, 0.15116, 0.151241, 0.999465
0.004, 0.138494, 0.138564, 0.999495
0.005, 0.129182, 0.129243, 0.999521
0.006, 0.121895, 0.121949, 0.99956
0.007, 0.115949, 0.115999, 0.999566
0.008, 0.110959, 0.111005, 0.999588
0.009, 0.106678, 0.106722, 0.999592
0.01, 0.102937, 0.102977, 0.999605
0.02, 0.0804633, 0.0804886, 0.999687
0.03, 0.0689857, 0.0690034, 0.999743
0.04, 0.0615968, 0.0616109, 0.999772
0.05, 0.0563203, 0.0563316, 0.999799
0.06, 0.0523234, 0.0523307, 0.999861
0.07, 0.0491755, 0.0491831, 0.999845
0.08, 0.0466376, 0.0466438, 0.999866
0.09, 0.04455, 0.0445554, 0.999879
0.1, 0.0428126, 0.0428176, 0.999883
0.2, 0.0350682, 0.0350727, 0.999871
0.3, 0.0348014, 0.034808, 0.999811
0.4, 0.0385424, 0.0385503, 0.999794
0.5, 0.0460058, 0.0460165, 0.999767
0.6, 0.0562859, 0.0563056, 0.99965
0.7, 0.0657438, 0.0657764, 0.999504
0.8, 0.0664743, 0.0665063, 0.99952
0.9, 0.0464183, 0.0463951, 1.0005
0.0001, -1.38778e-17, 0, -inf
0.0002, -2.1056e-17, 0, -inf
