# mu value:
20.000000
# num_x_vals
36
# x, evolved, exact, ratio
0.0001, 50.36, 49.2158, 1.02325
0.0002, 38.8137, 37.647, 1.03099
0.0003, 33.1941, 32.0928, 1.03432
0.0004, 29.6488, 28.6166, 1.03607
0.0005, 27.1304, 26.1594, 1.03712
0.0006, 25.2132, 24.2955, 1.03777
0.0007, 23.6841, 22.814, 1.03814
0.0008, 22.4255, 21.5968, 1.03837
0.0009, 21.3637, 20.5723, 1.03847
0.001, 20.4507, 19.6928, 1.03849
0.002, 15.2401, 14.6967, 1.03697
0.003, 12.7557, 12.3266, 1.03481
0.004, 11.2093, 10.8544, 1.0327
0.005, 10.1219, 9.81976, 1.03077
0.006, 9.30086, 9.03821, 1.02906
0.007, 8.65039, 8.41925, 1.02745
0.008, 8.11808, 7.91247, 1.02599
0.009, 7.6713, 7.48732, 1.02457
0.01, 7.28883, 7.12227, 1.02339
0.02, 5.13855, 5.06478, 1.01456
0.03, 4.13369, 4.09632, 1.00912
0.04, 3.51464, 3.49639, 1.00522
0.05, 3.08194, 3.07511, 1.00222
0.06, 2.75644, 2.75679, 0.999874
0.07, 2.49924, 2.50449, 0.997903
0.08, 2.28905, 2.29772, 0.996227
0.09, 2.11274, 2.12377, 0.994809
0.1, 1.96413, 1.97468, 0.994658
0.2, 1.11767, 1.13004, 0.989053
0.3, 0.723856, 0.733748, 0.986519
0.4, 0.489644, 0.494126, 0.99093
0.5, 0.334124, 0.333746, 1.00113
0.6, 0.224338, 0.221373, 1.0134
0.7, 0.142904, 0.140795, 1.01498
0.8, 0.0809389, 0.081395, 0.994395
0.9, 0.0334164, 0.0349995, 0.954768
0.0001, 1.96425, 2.05159, 0.95743
0.0002, 1.5508, 1.59333, 0.973306
0.0003, 1.34634, 1.37023, 0.982566
0.0004, 1.21605, 1.2296, 0.988978
0.0005, 1.12281, 1.12977, 0.993842
0.0006, 1.05141, 1.05382, 0.997718
0.0007, 0.9942, 0.993337, 1.00087
0.0008, 0.946914, 0.94358, 1.00353
0.0009, 0.906885, 0.901662, 1.00579
0.001, 0.872361, 0.865658, 1.00774
0.002, 0.67341, 0.661191, 1.01848
0.003, 0.577431, 0.564746, 1.02246
0.004, 0.517417, 0.505344, 1.02389
0.005, 0.475165, 0.463984, 1.0241
0.006, 0.443288, 0.433041, 1.02366
0.007, 0.418093, 0.408773, 1.0228
0.008, 0.397544, 0.389097, 1.02171
0.009, 0.380365, 0.372758, 1.02041
0.01, 0.365729, 0.358854, 1.01916
0.02, 0.285818, 0.283942, 1.00661
0.03, 0.251369, 0.2519, 0.997892
0.04, 0.232033, 0.233769, 0.992574
0.05, 0.219813, 0.222111, 0.989655
0.06, 0.211551, 0.214033, 0.988403
0.07, 0.205704, 0.208159, 0.988205
0.08, 0.201446, 0.203747, 0.988702
0.09, 0.198266, 0.200344, 0.989627
0.1, 0.195892, 0.197679, 0.990961
0.2, 0.188116, 0.188382, 0.998589
0.3, 0.188324, 0.190191, 0.990178
0.4, 0.191546, 0.196459, 0.974995
0.5, 0.197301, 0.204893, 0.962944
0.6, 0.20386, 0.212296, 0.960262
0.7, 0.207134, 0.213214, 0.971484
0.8, 0.199717, 0.198437, 1.00645
0.9, 0.165792, 0.150879, 1.09884
0.0001, 1.9616, 2.06944, 0.94789
0.0002, 1.55042, 1.6208, 0.956573
0.0003, 1.34707, 1.4, 0.962197
0.0004, 1.21752, 1.25991, 0.966357
0.0005, 1.12484, 1.16001, 0.969689
0.0006, 1.05392, 1.08375, 0.972472
0.0007, 0.997108, 1.02287, 0.974817
0.0008, 0.950189, 0.972679, 0.976878
0.0009, 0.910498, 0.930327, 0.978686
0.001, 0.876291, 0.893905, 0.980296
0.002, 0.679992, 0.686507, 0.990511
0.003, 0.586317, 0.588805, 0.995773
0.004, 0.528472, 0.529043, 0.998919
0.005, 0.488309, 0.487841, 1.00096
0.006, 0.458463, 0.457384, 1.00236
0.007, 0.43525, 0.433822, 1.00329
0.008, 0.416642, 0.415001, 1.00395
0.009, 0.401369, 0.399641, 1.00432
0.01, 0.388603, 0.386779, 1.00472
0.02, 0.32601, 0.324157, 1.00571
0.03, 0.307006, 0.304933, 1.0068
0.04, 0.301739, 0.29918, 1.00855
0.05, 0.30248, 0.299327, 1.01053
0.06, 0.306243, 0.30247, 1.01248
0.07, 0.311619, 0.307275, 1.01414
0.08, 0.317877, 0.313047, 1.01543
0.09, 0.324582, 0.319356, 1.01636
0.1, 0.33158, 0.325985, 1.01716
0.2, 0.397046, 0.392586, 1.01136
0.3, 0.4542, 0.454141, 1.00013
0.4, 0.514909, 0.519335, 0.991477
0.5, 0.584204, 0.594487, 0.982702
0.6, 0.656572, 0.67538, 0.972152
0.7, 0.714972, 0.740901, 0.965003
0.8, 0.728338, 0.743854, 0.979141
0.9, 0.632239, 0.591157, 1.06949
0.0001, 1.96116, 2.0529, 0.955313
0.0002, 1.54533, 1.61577, 0.956409
0.0003, 1.33924, 1.39828, 0.95778
0.0004, 1.20766, 1.25922, 0.959055
0.0005, 1.11334, 1.15943, 0.96025
0.0006, 1.041, 1.08283, 0.961367
0.0007, 0.982939, 1.02137, 0.962371
0.0008, 0.934885, 0.970478, 0.963324
0.0009, 0.894149, 0.927346, 0.964202
0.001, 0.858968, 0.890102, 0.965022
0.002, 0.655041, 0.674429, 0.971253
0.003, 0.555537, 0.56953, 0.97543
0.004, 0.492692, 0.503522, 0.978491
0.005, 0.448036, 0.456768, 0.980883
0.006, 0.41405, 0.421277, 0.982843
0.007, 0.386962, 0.393084, 0.984425
0.008, 0.364689, 0.369959, 0.985757
0.009, 0.345925, 0.350548, 0.986813
0.01, 0.329815, 0.333877, 0.987836
0.02, 0.23889, 0.24064, 0.992727
0.03, 0.19696, 0.198168, 0.993903
0.04, 0.17194, 0.173019, 0.993761
0.05, 0.155182, 0.156267, 0.993056
0.06, 0.143196, 0.144329, 0.992147
0.07, 0.134242, 0.135456, 0.991041
0.08, 0.127368, 0.128676, 0.98983
0.09, 0.121973, 0.123383, 0.988574
0.1, 0.117718, 0.119204, 0.987537
0.2, 0.102379, 0.104842, 0.976501
0.3, 0.105588, 0.10791, 0.978481
0.4, 0.116902, 0.117766, 0.992663
0.5, 0.133818, 0.133366, 1.0034
0.6, 0.153462, 0.153647, 0.998794
0.7, 0.170726, 0.173678, 0.983006
0.8, 0.177149, 0.180702, 0.980341
0.9, 0.156017, 0.147586, 1.05712
0.0001, 1.57459, 1.63653, 0.962152
0.0002, 1.22117, 1.26156, 0.967991
0.0003, 1.04795, 1.07825, 0.971905
0.0004, 0.938203, 0.962391, 0.974867
0.0005, 0.86, 0.879972, 0.977304
0.0006, 0.800328, 0.817172, 0.979387
0.0007, 0.752647, 0.767093, 0.981168
0.0008, 0.71334, 0.725849, 0.982767
0.0009, 0.680142, 0.691068, 0.984189
0.001, 0.651566, 0.661171, 0.985474
0.002, 0.488113, 0.490978, 0.994164
0.003, 0.410204, 0.410565, 0.999121
0.004, 0.361943, 0.361111, 1.0023
0.005, 0.328256, 0.326792, 1.00448
0.006, 0.303054, 0.30124, 1.00602
0.007, 0.283302, 0.281319, 1.00705
0.008, 0.267332, 0.265277, 1.00775
0.009, 0.254102, 0.252067, 1.00807
0.01, 0.242936, 0.240914, 1.00839
0.02, 0.18501, 0.183946, 1.00578
0.03, 0.163611, 0.163467, 1.00088
0.04, 0.15417, 0.154733, 0.996363
0.05, 0.150236, 0.15136, 0.99257
0.06, 0.149266, 0.150854, 0.989478
0.07, 0.150033, 0.152038, 0.986815
0.08, 0.151881, 0.154281, 0.984441
0.09, 0.154403, 0.15719, 0.982271
0.1, 0.157446, 0.16055, 0.980665
0.2, 0.194335, 0.200627, 0.968639
0.3, 0.23484, 0.241961, 0.970569
0.4, 0.284566, 0.289989, 0.981299
0.5, 0.348934, 0.353339, 0.987533
0.6, 0.428104, 0.435506, 0.983003
0.7, 0.51353, 0.527698, 0.97315
0.8, 0.581282, 0.597093, 0.973519
0.9, 0.564804, 0.558093, 1.01202
0.0001, 1.01145, 1.00657, 1.00485
0.0002, 0.773376, 0.769545, 1.00498
0.0003, 0.657982, 0.654349, 1.00555
0.0004, 0.585382, 0.581795, 1.00617
0.0005, 0.533919, 0.530305, 1.00682
0.0006, 0.494809, 0.49114, 1.00747
0.0007, 0.463661, 0.45995, 1.00807
0.0008, 0.438055, 0.434288, 1.00867
0.0009, 0.416478, 0.412666, 1.00924
