# mu value:
1.414214
# num_x_vals
36
# x, evolved, exact, ratio
0.0001, 7.12799, 7.05731, 1.01002
0.0002, 6.1492, 6.09394, 1.00907
0.0003, 5.6278, 5.58039, 1.0085
0.0004, 5.27918, 5.23695, 1.00806
0.0005, 5.02048, 4.98199, 1.00772
0.0006, 4.81648, 4.78085, 1.00745
0.0007, 4.64892, 4.61567, 1.0072
0.0008, 4.50742, 4.47611, 1.00699
0.0009, 4.38534, 4.35568, 1.00681
0.001, 4.27822, 4.25003, 1.00663
0.002, 3.62121, 3.60151, 1.00547
0.003, 3.27267, 3.25713, 1.00477
0.004, 3.04004, 3.02718, 1.00425
0.005, 2.86755, 2.85658, 1.00384
0.006, 2.73157, 2.72198, 1.00352
0.007, 2.61984, 2.61141, 1.00323
0.008, 2.52547, 2.51794, 1.00299
0.009, 2.444, 2.43727, 1.00276
0.01, 2.37244, 2.36634, 1.00257
0.02, 1.93146, 1.92881, 1.00137
0.03, 1.69466, 1.69339, 1.00075
0.04, 1.53464, 1.53409, 1.00036
0.05, 1.41453, 1.41439, 1.0001
0.06, 1.31874, 1.31881, 0.999949
0.07, 1.23917, 1.23939, 0.999825
0.08, 1.17125, 1.17153, 0.999754
0.09, 1.11199, 1.11233, 0.999699
0.1, 1.05952, 1.05984, 0.999699
0.2, 0.723571, 0.723278, 1.0004
0.3, 0.532305, 0.531537, 1.00145
0.4, 0.398491, 0.397422, 1.00269
0.5, 0.295633, 0.294514, 1.0038
0.6, 0.211912, 0.211019, 1.00423
0.7, 0.141203, 0.14078, 1.003
0.8, 0.080894, 0.0809877, 0.998843
0.9, 0.0318579, 0.0321835, 0.989883
0.0001, 0.409098, 0.417463, 0.979962
0.0002, 0.347486, 0.353519, 0.982934
0.0003, 0.315299, 0.320214, 0.984653
0.0004, 0.294086, 0.298312, 0.985834
0.0005, 0.278531, 0.282274, 0.986739
0.0006, 0.266393, 0.269771, 0.987478
0.0007, 0.256516, 0.259612, 0.988076
0.0008, 0.248248, 0.251112, 0.988595
0.0009, 0.241171, 0.243843, 0.989045
0.001, 0.23501, 0.237519, 0.989436
0.002, 0.198391, 0.200016, 0.991877
0.003, 0.180039, 0.18128, 0.993154
0.004, 0.168363, 0.169387, 0.993957
0.005, 0.160076, 0.160956, 0.994534
0.006, 0.153808, 0.154584, 0.994982
0.007, 0.148859, 0.14956, 0.995318
0.008, 0.144839, 0.145478, 0.995607
0.009, 0.141502, 0.142096, 0.99582
0.01, 0.138674, 0.139227, 0.996031
0.02, 0.124126, 0.124477, 0.99718
0.03, 0.119055, 0.119318, 0.997797
0.04, 0.117112, 0.117316, 0.998263
0.05, 0.116595, 0.116753, 0.998649
0.06, 0.116829, 0.116945, 0.999003
0.07, 0.117482, 0.117567, 0.999278
0.08, 0.118387, 0.118443, 0.999529
0.09, 0.119433, 0.119464, 0.999741
0.1, 0.120561, 0.12057, 0.999925
0.2, 0.131367, 0.131311, 1.00043
0.3, 0.13855, 0.138626, 0.999452
0.4, 0.143234, 0.143531, 0.997933
0.5, 0.146632, 0.147159, 0.996417
0.6, 0.148097, 0.148793, 0.995323
0.7, 0.144081, 0.144795, 0.995064
0.8, 0.127235, 0.127656, 0.996696
0.9, 0.0854597, 0.0851198, 1.00399
0.0001, 0.404517, 0.41254, 0.980551
0.0002, 0.345405, 0.351513, 0.982622
0.0003, 0.314307, 0.319462, 0.983864
0.0004, 0.293722, 0.298274, 0.984737
0.0005, 0.278581, 0.282702, 0.985425
0.0006, 0.266739, 0.270526, 0.986001
0.0007, 0.257086, 0.260611, 0.986473
0.0008, 0.248992, 0.2523, 0.986891
0.0009, 0.242058, 0.245181, 0.987262
0.001, 0.236014, 0.23898, 0.987588
0.002, 0.200034, 0.202098, 0.98979
0.003, 0.18204, 0.183672, 0.991113
0.004, 0.170672, 0.17204, 0.992052
0.005, 0.162688, 0.163868, 0.992799
0.006, 0.156727, 0.157763, 0.993432
0.007, 0.152093, 0.153017, 0.993963
0.008, 0.148395, 0.149224, 0.994447
0.009, 0.145389, 0.146143, 0.99484
0.01, 0.142895, 0.143579, 0.995238
0.02, 0.131902, 0.13218, 0.997895
0.03, 0.130507, 0.130576, 0.999473
0.04, 0.132221, 0.132153, 1.00052
0.05, 0.13529, 0.135127, 1.00121
0.06, 0.139017, 0.138784, 1.00168
0.07, 0.143058, 0.142785, 1.00191
0.08, 0.14725, 0.146951, 1.00204
0.09, 0.151474, 0.151164, 1.00206
0.1, 0.15568, 0.155368, 1.002
0.2, 0.192499, 0.192535, 0.999812
0.3, 0.221323, 0.221853, 0.997609
0.4, 0.249953, 0.250914, 0.996168
0.5, 0.284154, 0.285637, 0.994807
0.6, 0.32189, 0.324126, 0.993101
0.7, 0.348537, 0.3514, 0.991854
0.8, 0.333537, 0.33549, 0.994179
0.9, 0.230919, 0.228291, 1.01151
0.0001, 0.407996, 0.416597, 0.979354
0.0002, 0.344473, 0.351027, 0.98133
0.0003, 0.310985, 0.316524, 0.982501
0.0004, 0.28875, 0.293649, 0.983315
0.0005, 0.272338, 0.27678, 0.983952
0.0006, 0.259454, 0.263544, 0.984481
0.0007, 0.248912, 0.252725, 0.984913
0.0008, 0.240039, 0.243622, 0.985293
0.0009, 0.232406, 0.235796, 0.985625
0.001, 0.225728, 0.228952, 0.985916
0.002, 0.185184, 0.187465, 0.987833
0.003, 0.16402, 0.165857, 0.988925
0.004, 0.15006, 0.151628, 0.98966
0.005, 0.139808, 0.141189, 0.990219
0.006, 0.131793, 0.133033, 0.990684
0.007, 0.125259, 0.126391, 0.991042
0.008, 0.119779, 0.120823, 0.991365
0.009, 0.115082, 0.116054, 0.991624
0.01, 0.110979, 0.111889, 0.991872
0.02, 0.0864066, 0.086977, 0.993442
0.03, 0.0739206, 0.0743374, 0.994393
0.04, 0.0659158, 0.0662405, 0.995098
0.05, 0.0602196, 0.060481, 0.995677
0.06, 0.0559182, 0.0561312, 0.996205
0.07, 0.05254, 0.05272, 0.996586
0.08, 0.0498225, 0.0499761, 0.996926
0.09, 0.0475918, 0.0477257, 0.997193
0.1, 0.0457393, 0.0458584, 0.997403
0.2, 0.0375303, 0.0376386, 0.997123
0.3, 0.0372872, 0.0374419, 0.995868
0.4, 0.0412942, 0.0414677, 0.995817
0.5, 0.049153, 0.0493841, 0.995321
0.6, 0.0598022, 0.0602272, 0.992944
0.7, 0.0694632, 0.0701684, 0.98995
0.8, 0.0702387, 0.070887, 0.990853
0.9, 0.050128, 0.0495975, 1.0107
0.0001, -2.02152e-31, 0, -inf
0.0002, -7.82933e-18, 0, -inf
0.0003, -6.27346e-18, 0, -inf
0.0004, -3.37067e-20, 0, -inf
0.0005, -1.73881e-17, 0, -inf
0.0006, 3.39995e-18, 0, inf
0.0007, -9.95037e-18, 0, -inf
0.0008, -5.89683e-18, 0, -inf
0.0009, -9.46231e-19, 0, -inf
0.001, -6.93889e-18, 0, -inf
0.002, -6.77401e-18, 0, -inf
0.003, -4.7218e-18, 0, -inf
0.004, -3.57775e-18, 0, -inf
0.005, -8.79478e-18, 0, -inf
0.006, -1.07976e-18, 0, -inf
0.007, -9.24414e-18, 0, -inf
0.008, 5.95372e-19, 0, inf
0.009, -8.71403e-18, 0, -inf
0.01, -5.20417e-18, 0, -inf
0.02, 6.05068e-20, 0, inf
0.03, -3.40145e-18, 0, -inf
0.04, -1.58528e-18, 0, -inf
0.05, -1.65682e-18, 0, -inf
