# mu value:
1.300000
# num_x_vals
36
# x, evolved, exact, ratio
0.0001, 13.8368, 13.8349, 1.00013
0.0002, 11.3697, 11.3685, 1.00011
0.0003, 10.1026, 10.1014, 1.00011
0.0004, 9.27519, 9.27434, 1.00009
0.0005, 8.67216, 8.67143, 1.00008
0.0006, 8.20353, 8.20278, 1.00009
0.0007, 7.82335, 7.82272, 1.00008
0.0008, 7.50567, 7.50507, 1.00008
0.0009, 7.2342, 7.23363, 1.00008
0.001, 6.99801, 6.99752, 1.00007
0.002, 5.59366, 5.59332, 1.00006
0.003, 4.88237, 4.88204, 1.00007
0.004, 4.42215, 4.42191, 1.00006
0.005, 4.08899, 4.08879, 1.00005
0.006, 3.83149, 3.83122, 1.00007
0.007, 3.62345, 3.62327, 1.00005
0.008, 3.45036, 3.45016, 1.00006
0.009, 3.30297, 3.30284, 1.00004
0.01, 3.17495, 3.17482, 1.00004
0.02, 2.42145, 2.42137, 1.00003
0.03, 2.0445, 2.04443, 1.00003
0.04, 1.8021, 1.80206, 1.00002
0.05, 1.6272, 1.62719, 1.00001
0.06, 1.49225, 1.4922, 1.00004
0.07, 1.38328, 1.38328, 1
0.08, 1.29263, 1.29263, 1
0.09, 1.21532, 1.21532, 0.999994
0.1, 1.14822, 1.14824, 0.999983
0.2, 0.749737, 0.749729, 1.00001
0.3, 0.545307, 0.545298, 1.00002
0.4, 0.40942, 0.409416, 1.00001
0.5, 0.306768, 0.306777, 0.999973
0.6, 0.222528, 0.222546, 0.999917
0.7, 0.149591, 0.149621, 0.999802
0.8, 0.085497, 0.0855239, 0.999685
0.9, 0.0323922, 0.0324018, 0.999703
0.0001, 0.219228, 0.219224, 1.00002
0.0002, 0.186195, 0.186191, 1.00002
0.0003, 0.169313, 0.169307, 1.00004
0.0004, 0.158393, 0.158388, 1.00003
0.0005, 0.150521, 0.150516, 1.00003
0.0006, 0.144476, 0.144469, 1.00005
0.0007, 0.139633, 0.139626, 1.00004
0.0008, 0.135638, 0.135631, 1.00005
0.0009, 0.132268, 0.132261, 1.00005
0.001, 0.129375, 0.129368, 1.00005
0.002, 0.113263, 0.113255, 1.00008
0.003, 0.106243, 0.106233, 1.0001
0.004, 0.10238, 0.10237, 1.0001
0.005, 0.100046, 0.100036, 1.0001
0.006, 0.0985819, 0.098571, 1.00011
0.007, 0.0976611, 0.0976504, 1.00011
0.008, 0.0971045, 0.0970929, 1.00012
0.009, 0.096807, 0.0967975, 1.0001
0.01, 0.0966843, 0.0966736, 1.00011
0.02, 0.0996335, 0.0996225, 1.00011
0.03, 0.104474, 0.104464, 1.0001
0.04, 0.109322, 0.10931, 1.00011
0.05, 0.113864, 0.113852, 1.00011
0.06, 0.118051, 0.118038, 1.00011
0.07, 0.121894, 0.121881, 1.00011
0.08, 0.125424, 0.125411, 1.00011
0.09, 0.128668, 0.128654, 1.00011
0.1, 0.131655, 0.13164, 1.00011
0.2, 0.151414, 0.151399, 1.0001
0.3, 0.159726, 0.159719, 1.00004
0.4, 0.161204, 0.161208, 0.999972
0.5, 0.157802, 0.157819, 0.999894
0.6, 0.150411, 0.150435, 0.999842
0.7, 0.139236, 0.13926, 0.999832
0.8, 0.123627, 0.12364, 0.999902
0.9, 0.100566, 0.100554, 1.00013
0.0001, 0.217475, 0.217482, 0.999968
0.0002, 0.183948, 0.183937, 1.00006
0.0003, 0.167205, 0.167186, 1.00011
0.0004, 0.156548, 0.156528, 1.00013
0.0005, 0.148964, 0.148943, 1.00014
0.0006, 0.143204, 0.143181, 1.00016
0.0007, 0.138633, 0.138612, 1.00016
0.0008, 0.134896, 0.134875, 1.00016
0.0009, 0.13177, 0.131749, 1.00016
0.001, 0.129107, 0.129086, 1.00016
0.002, 0.114732, 0.114717, 1.00013
0.003, 0.108863, 0.108852, 1.00011
0.004, 0.105856, 0.10585, 1.00006
0.005, 0.104204, 0.1042, 1.00004
0.006, 0.103305, 0.103304, 1.00002
0.007, 0.10287, 0.102871, 0.999992
0.008, 0.102739, 0.102741, 0.999983
0.009, 0.102823, 0.102829, 0.999945
0.01, 0.103046, 0.103052, 0.999943
0.02, 0.108492, 0.108505, 0.999883
0.03, 0.115175, 0.11519, 0.999867
0.04, 0.121685, 0.121698, 0.999889
0.05, 0.127836, 0.127848, 0.999909
0.06, 0.133623, 0.133631, 0.999943
0.07, 0.139073, 0.13908, 0.999946
0.08, 0.144229, 0.144234, 0.999964
0.09, 0.149114, 0.149117, 0.999978
0.1, 0.153763, 0.153764, 0.999994
0.2, 0.190825, 0.19082, 1.00003
0.3, 0.216643, 0.216655, 0.999949
0.4, 0.234752, 0.234787, 0.999854
0.5, 0.246458, 0.246504, 0.99981
0.6, 0.25269, 0.252722, 0.999874
0.7, 0.255463, 0.255456, 1.00003
0.8, 0.259279, 0.259235, 1.00017
0.9, 0.266225, 0.266229, 0.999984
0.0001, 0.213801, 0.213788, 1.00006
0.0002, 0.180709, 0.1807, 1.00005
0.0003, 0.163377, 0.163368, 1.00005
0.0004, 0.151927, 0.151921, 1.00004
0.0005, 0.143513, 0.143508, 1.00003
0.0006, 0.136932, 0.136926, 1.00004
0.0007, 0.131567, 0.131562, 1.00003
0.0008, 0.127066, 0.127061, 1.00004
0.0009, 0.123205, 0.123201, 1.00004
0.001, 0.119837, 0.119834, 1.00003
0.002, 0.0996342, 0.0996318, 1.00002
0.003, 0.0893085, 0.0893059, 1.00003
0.004, 0.0826116, 0.0826105, 1.00001
0.005, 0.0777656, 0.0777652, 1
0.006, 0.0740268, 0.0740259, 1.00001
0.007, 0.0710148, 0.0710152, 0.999994
0.008, 0.0685168, 0.0685172, 0.999993
0.009, 0.066398, 0.0663997, 0.999975
0.01, 0.0645643, 0.0645661, 0.999971
0.02, 0.0539948, 0.0539992, 0.999919
0.03, 0.0489457, 0.0489513, 0.999886
0.04, 0.0458364, 0.045843, 0.999857
0.05, 0.0436806, 0.0436877, 0.999838
0.06, 0.0420767, 0.0420832, 0.999847
0.07, 0.0408237, 0.0408309, 0.999824
0.08, 0.0398129, 0.03982, 0.999823
0.09, 0.0389743, 0.0389812, 0.999824
0.1, 0.038265, 0.0382717, 0.999824
0.2, 0.0344444, 0.0344479, 0.999899
0.3, 0.0329766, 0.0329785, 0.999942
0.4, 0.0328124, 0.0328144, 0.99994
0.5, 0.0340531, 0.0340554, 0.999931
0.6, 0.0369994, 0.037001, 0.999955
0.7, 0.0418882, 0.0418893, 0.999974
0.8, 0.0485926, 0.0485936, 0.99998
0.9, 0.0556086, 0.0556132, 0.999917
0.0001, -3.46945e-18, 0, -inf
0.0002, -6.84825e-18, 0, -inf
0.0003, -6.81365e-18, 0, -inf
0.0004, 6.70165e-19, 0, inf
0.0005, 5.90888e-20, 0, inf
0.0006, -8.8483e-18, 0, -inf
0.0007, -2.09573e-19, 0, -inf
0.0008, -2.08171e-18, 0, -inf
0.0009, -3.02218e-18, 0, -inf
0.001, 5.56357e-32, 0, inf
0.002, -1.62203e-18, 0, -inf
0.003, -2.63637e-18, 0, -inf
0.004, 1.58637e-18, 0, inf
0.005, -3.51423e-18, 0, -inf
0.006, -3.30907e-18, 0, -inf
0.007, 5.59868e-20, 0, inf
0.008, -3.92237e-18, 0, -inf
0.009, -4.37904e-18, 0, -inf
0.01, -1.56331e-31, 0, -inf
0.02, -1.71134e-18, 0, -inf
0.03, -6.02708e-18, 0, -inf
0.04, -5.46718e-18, 0, -inf
0.05, 1.73191e-18, 0, inf
0.06, -1.02525e-18, 0, -inf
0.07, 2.03855e-18, 0, inf
0.08, -3.10191e-18, 0, -inf
0.09, -3.26519e-19, 0, -inf
0.1, 5.87013e-31, 0, inf
0.2, -1.54652e-19, 0, -inf
0.3, -6.77395e-18, 0, -inf
0.4, -5.04523e-18, 0, -inf
0.5, -1.95171e-18, 0, -inf
0.6, 1.06293e-17, 0, inf
0.7, -8.27517e-18, 0, -inf
0.8, 2.56696e-18, 0, inf
0.9, -4.97003e-18, 0, -inf
0.0001, -1.73472e-17, 0, -inf
0.0002, -1.40868e-17, 0, -inf
0.0003, -1.90096e-17, 0, -inf
0.0004, -1.21529e-17, 0, -inf
0.0005, -3.3981e-18, 0, -inf
0.0006, -1.90693e-17, 0, -inf
0.0007, -3.22327e-18, 0, -inf
0.0008, -1.56092e-17, 0, -inf
0.0009, -9.01485e-18, 0, -inf
0.001, 3.49792e-32, 0, inf
