# mu values:
1.414214
# num_x_vals
36
# x, SAL
0.0001, 5.1432
0.0002, 3.46351
0.0003, 2.74798
0.0004, 2.33168
0.0005, 2.05258
0.0006, 1.84942
0.0007, 1.69335
0.0008, 1.56877
0.0009, 1.46647
0.001, 1.38058
0.002, 0.927189
0.003, 0.733652
0.004, 0.620823
0.005, 0.54503
0.006, 0.489753
0.007, 0.447204
0.008, 0.413178
0.009, 0.385182
0.01, 0.361634
0.02, 0.236295
0.03, 0.181853
0.04, 0.149625
0.05, 0.12768
0.06, 0.111481
0.07, 0.0988796
0.08, 0.0887086
0.09, 0.080273
0.1, 0.0731293
0.2, 0.0345977
0.3, 0.018395
0.4, 0.00983203
0.5, 0.00501027
0.6, 0.00231205
0.7, 0.00089335
0.8, 0.000245297
0.9, 2.86712e-05
0.0001, 0.283756
0.0002, 0.253998
0.0003, 0.238075
0.0004, 0.227398
0.0005, 0.219457
0.0006, 0.213183
0.0007, 0.208025
0.0008, 0.203663
0.0009, 0.199898
0.001, 0.196593
0.002, 0.17632
0.003, 0.165627
0.004, 0.158566
0.005, 0.153398
0.006, 0.149384
0.007, 0.146141
0.008, 0.143449
0.009, 0.141167
0.01, 0.139202
0.02, 0.128267
0.03, 0.123702
0.04, 0.121382
0.05, 0.120111
0.06, 0.119389
0.07, 0.118965
0.08, 0.118699
0.09, 0.118508
0.1, 0.11834
0.2, 0.114496
0.3, 0.106447
0.4, 0.0973483
0.5, 0.0896619
0.6, 0.0844964
0.7, 0.0817072
0.8, 0.079757
0.9, 0.0745
0.0001, 0.283905
0.0002, 0.254295
0.0003, 0.23852
0.0004, 0.227991
0.0005, 0.220197
0.0006, 0.214071
0.0007, 0.20906
0.0008, 0.204846
0.0009, 0.201228
0.001, 0.198071
0.002, 0.179264
0.003, 0.170025
0.004, 0.164407
0.005, 0.160672
0.006, 0.158078
0.007, 0.156245
0.008, 0.154952
0.009, 0.154057
0.01, 0.153469
0.02, 0.155717
0.03, 0.163319
0.04, 0.172216
0.05, 0.181272
0.06, 0.190044
0.07, 0.198335
0.08, 0.206058
0.09, 0.213177
0.1, 0.219686
0.2, 0.256165
0.3, 0.26029
0.4, 0.253919
0.5, 0.249712
0.6, 0.253343
0.7, 0.264893
0.8, 0.27861
0.9, 0.278168
0.0001, 0.0851615
0.0002, 0.0762686
0.0003, 0.0715262
0.0004, 0.0683577
0.0005, 0.0660098
0.0006, 0.064162
0.0007, 0.062649
0.0008, 0.0613751
0.0009, 0.0602797
0.001, 0.0593227
0.002, 0.053583
0.003, 0.0507143
0.004, 0.0489327
0.005, 0.0477166
0.006, 0.0468439
0.007, 0.0462
0.008, 0.0457186
0.009, 0.0453578
0.01, 0.0450896
0.02, 0.0448852
0.03, 0.0463545
0.04, 0.0482757
0.05, 0.0503041
0.06, 0.0523028
0.07, 0.0542093
0.08, 0.0559934
0.09, 0.0576417
0.1, 0.0591493
0.2, 0.0674049
0.3, 0.0678309
0.4, 0.0657376
0.5, 0.0642437
0.6, 0.0647464
0.7, 0.0672556
0.8, 0.0703262
0.9, 0.0698726
0.0001, 0
0.0002, 0
0.0003, 0
0.0004, 0
0.0005, 0
0.0006, 0
0.0007, 0
0.0008, 0
0.0009, 0
0.001, 0
0.002, 0
0.003, 0
0.004, 0
0.005, 0
0.006, 0
0.007, 0
0.008, 0
0.009, 0
0.01, 0
0.02, 0
0.03, 0
0.04, 0
0.05, 0
0.06, 0
0.07, 0
0.08, 0
0.09, 0
0.1, 0
0.2, 0
0.3, 0
0.4, 0
0.5, 0
0.6, 0
0.7, 0
0.8, 0
0.9, 0
0.0001, 0
0.0002, 0
0.0003, 0
0.0004, 0
0.0005, 0
0.0006, 0
0.0007, 0
0.0008, 0
0.0009, 0
0.001, 0
0.002, 0
0.003, 0
0.004, 0
0.005, 0
0.006, 0
0.007, 0
0.008, 0
0.009, 0
0.01, 0
0.02, 0
0.03, 0
0.04, 0
0.05, 0
0.06, 0
0.07, 0
0.08, 0
0.09, 0
0.1, 0
0.2, 0
0.3, 0
0.4, 0
0.5, 0
0.6, 0
0.7, 0
0.8, 0
0.9, 0
0.0001, 0
0.0002, 0
0.0003, 0
0.0004, 0
0.0005, 0
0.0006, 0
0.0007, 0
0.0008, 0
0.0009, 0
0.001, 0
0.002, 0
0.003, 0
0.004, 0
0.005, 0
0.006, 0
0.007, 0
0.008, 0
0.009, 0
0.01, 0
0.02, 0
0.03, 0
0.04, 0
0.05, 0
0.06, 0
0.07, 0
0.08, 0
0.09, 0
0.1, 0
0.2, 0
0.3, 0
0.4, 0
0.5, 0
0.6, 0
0.7, 0
0.8, 0
0.9, 0
